id_escola,codigo_inep,nome_canonico,assessora_gerencial_2026,ano_escolar,componente,previstos_2026,avaliados_2026,taxa_participacao_2026,proficiencia_media_2026,pct_defasagem_2026,pct_intermediario_2026,pct_adequado_2026,posicao_relativa_menor_proficiencia_2026,posicao_relativa_maior_defasagem_2026,posicao_relativa_menor_participacao_2026,painel_resultado_balanceado,delta_participacao,delta_proficiencia,variacao_relativa_previstos,aumento_participacao_10pp,queda_participacao_10pp,mudanca_previstos_20pct,alerta_composicao_serie,uso_no_indice_carga_operacional,peso_no_indice_carga_operacional,natureza
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,eliane,2,Língua Portuguesa,61,50,81.9672131147541,51.2,28.32,47.12,24.88,48.07692307692308,30.76923076923077,67.3076923076923,TRUE,20.56370434282428,-12.942857142857136,7.017543859649122,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,eliane,3,Língua Portuguesa,61,53,86.88524590163935,64.90566037735849,22.58490566037736,11.660377358490566,65.75471698113208,17.307692307692307,21.153846153846153,40.38461538461539,TRUE,16.358930112165666,4.457899183328635,-35.78947368421053,TRUE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,eliane,4,Língua Portuguesa,83,69,83.13253012048193,56.608695652173914,32.84057971014493,21.434782608695652,45.98550724637681,42.30769230769231,63.46153846153846,88.46153846153847,TRUE,3.6932777840333273,-14.238363171355497,-22.429906542056074,FALSE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,eliane,5,Língua Portuguesa,90,79,87.77777777777777,66.78481012658227,14.708860759493673,33.063291139240505,52.265822784810126,25,32.69230769230769,61.53846153846154,TRUE,11.54015401540154,-0.5788262370540878,-10.891089108910892,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,1,Língua Portuguesa,41,36,87.8048780487805,46,31.5,52,17,19.230769230769226,11.538461538461538,23.07692307692308,TRUE,24.646983311938392,-23,115.78947368421052,TRUE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,2,Língua Portuguesa,20,18,90,67,19,19,63,17.307692307692307,17.307692307692307,34.61538461538461,TRUE,2,-28,-20,FALSE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,3,Língua Portuguesa,24,22,91.66666666666669,77,0,33,67,3.8461538461538396,0,17.307692307692307,TRUE,9.057971014492765,-9,4.3478260869565215,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,4,Língua Portuguesa,24,24,100,78,9,23,68,1.9230769230769198,1.9230769230769231,1.9230769230769198,TRUE,17.391304347826093,3,4.3478260869565215,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,5,Língua Portuguesa,22,21,95.45454545454544,78,10,19,71,5.769230769230774,13.461538461538462,9.615384615384613,FALSE,,,,,,,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,jalize,1,Língua Portuguesa,70,51,72.85714285714286,26.84313725490196,54.21568627450981,39.80392156862745,6.549019607843137,59.61538461538461,53.84615384615385,90.38461538461539,TRUE,19.692585895117546,-60.60924369747899,-11.39240506329114,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,jalize,2,Língua Portuguesa,85,62,72.94117647058823,62.03225806451613,23.016129032258064,27.5,49.483870967741936,23.07692307692308,25,92.3076923076923,TRUE,3.0487033523086637,0.18610421836228144,-8.602150537634408,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,jalize,3,Língua Portuguesa,103,76,73.7864077669903,36.26315789473684,47.86842105263158,27.19736842105263,24.93421052631579,82.6923076923077,84.61538461538461,94.23076923076923,TRUE,10.67961165048544,-25.35222672064777,0,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,jalize,4,Língua Portuguesa,92,72,78.26086956521739,55.583333333333336,23.916666666666668,38.861111111111114,36.986111111111114,48.07692307692308,34.61538461538461,96.15384615384616,TRUE,5.0901378579003165,2.700000000000003,12.195121951219512,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,jalize,5,Língua Portuguesa,81,59,72.8395061728395,50.88135593220339,32.42372881355932,33.40677966101695,34.40677966101695,80.76923076923077,80.76923076923077,96.15384615384616,TRUE,0.8395061728395063,2.3535781544256125,-19,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_023,43169490,EMEF JOSE MARIANO BECK,nathalia,1,Língua Portuguesa,71,55,77.46478873239437,17.21818181818182,72.9090909090909,21.78181818181818,5.963636363636364,78.84615384615384,76.92307692307692,78.84615384615384,TRUE,9.772481040086674,-49.66818181818182,9.23076923076923,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_023,43169490,EMEF JOSE MARIANO BECK,nathalia,2,Língua Portuguesa,60,48,80,59.625,30.4375,22.458333333333332,46.75,28.84615384615384,42.30769230769231,76.92307692307692,TRUE,0,-1.3173076923076934,-7.6923076923076925,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_023,43169490,EMEF JOSE MARIANO BECK,nathalia,3,Língua Portuguesa,67,56,83.58208955223881,36.089285714285715,47.94642857142857,28.035714285714285,24.017857142857142,84.61538461538461,86.53846153846153,57.69230769230769,TRUE,4.170324846356465,-2.484788359788361,-1.4705882352941178,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_023,43169490,EMEF JOSE MARIANO BECK,nathalia,4,Língua Portuguesa,68,62,91.17647058823528,28.580645161290324,63.87096774193548,18.70967741935484,17.419354838709676,98.07692307692308,98.07692307692308,31.730769230769226,TRUE,22.922502334267037,-19.884471117779444,7.936507936507937,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_023,43169490,EMEF JOSE MARIANO BECK,nathalia,5,Língua Portuguesa,68,63,92.6470588235294,46.857142857142854,34.79365079365079,45.96825396825397,19.238095238095237,90.38461538461539,88.46153846153847,30.769230769230774,TRUE,29.489164086687303,2.8849206349206327,19.29824561403509,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_024,43109209,EMEF LAURO RODRIGUES,clarissa,1,Língua Portuguesa,88,79,89.77272727272727,57.30379746835443,23.64556962025317,37.607594936708864,39,1.9230769230769198,5.769230769230769,15.384615384615387,TRUE,8.820346320346317,-6.049143708116155,39.68253968253968,FALSE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_024,43109209,EMEF LAURO RODRIGUES,clarissa,2,Língua Portuguesa,66,59,89.39393939393939,73.44067796610169,16.440677966101696,17.627118644067796,66.28813559322033,3.8461538461538396,11.538461538461538,36.53846153846154,TRUE,3.2828282828282767,7.521323127392009,-8.333333333333334,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_024,43109209,EMEF LAURO RODRIGUES,clarissa,3,Língua Portuguesa,65,64,98.46153846153848,62.109375,15.03125,33.3125,51.65625,19.230769230769226,13.461538461538462,3.8461538461538396,TRUE,14.89989462592203,2.5519979508196755,-10.95890410958904,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_024,43109209,EMEF LAURO RODRIGUES,clarissa,4,Língua Portuguesa,69,58,84.05797101449275,55.94827586206897,30.603448275862068,29.017241379310345,40.37931034482759,46.15384615384615,48.07692307692308,82.6923076923077,TRUE,-1.9635343618513303,-8.001724137931035,-25.806451612903224,FALSE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_024,43109209,EMEF LAURO RODRIGUES,clarissa,5,Língua Portuguesa,79,73,92.40506329113924,66.8082191780822,12.534246575342468,42.73972602739726,44.38356164383562,23.07692307692308,19.23076923076923,32.69230769230769,TRUE,4.733830414426919,-7.660530821917803,8.219178082191782,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,graziela,1,Língua Portuguesa,41,35,85.36585365853658,52.05714285714286,34.94285714285714,32.02857142857143,33.02857142857143,7.692307692307693,17.307692307692307,32.69230769230769,TRUE,11.896465903434532,12.057142857142855,-16.3265306122449,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,graziela,2,Língua Portuguesa,49,41,83.6734693877551,44.26829268292683,46.21951219512195,25.73170731707317,28.048780487804876,73.07692307692308,80.76923076923077,61.53846153846154,TRUE,15.74894108586831,-23.426151761517616,-7.547169811320755,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,graziela,3,Língua Portuguesa,63,54,85.71428571428571,29.703703703703702,62.31481481481482,17.962962962962962,19.72222222222222,94.23076923076923,94.23076923076923,50,TRUE,8.441558441558442,-31.15904139433551,-4.545454545454546,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,graziela,4,Língua Portuguesa,53,45,84.90566037735849,65.02222222222223,15.533333333333331,29.42222222222222,54.55555555555556,23.07692307692308,15.384615384615385,75,TRUE,13.20754716981132,-1.9777777777777743,0,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,graziela,5,Língua Portuguesa,52,45,86.53846153846153,55.06666666666667,29.666666666666668,29.666666666666668,40.666666666666664,67.3076923076923,76.92307692307692,75,TRUE,14.538461538461531,7.3259259259259295,-30.666666666666668,TRUE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_026,43109144,EMEF LIDOVINO FANTON,julia,1,Língua Portuguesa,92,64,69.56521739130434,48.9375,34.828125,38.296875,26.875,9.615384615384613,15.384615384615385,100,TRUE,-9.81622590766473,9.288149350649348,-5.154639175257732,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_026,43109144,EMEF LIDOVINO FANTON,julia,2,Língua Portuguesa,91,69,75.82417582417582,45.08695652173913,38.98550724637681,38.11594202898551,22.652173913043477,67.3076923076923,59.61538461538461,86.53846153846153,TRUE,4.26454279665289,4.612597547380162,-16.513761467889907,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_026,43109144,EMEF LIDOVINO FANTON,julia,3,Língua Portuguesa,135,87,64.44444444444444,45.72413793103448,39.701149425287355,25.885057471264368,34.60919540229885,61.53846153846154,73.07692307692308,100,TRUE,-7.583527583527584,23.928021426180116,-5.594405594405594,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_026,43109144,EMEF LIDOVINO FANTON,julia,4,Língua Portuguesa,111,96,86.48648648648648,27.4375,63.541666666666664,20.635416666666668,15.927083333333334,100,96.15384615384616,69.23076923076923,TRUE,6.978289765175006,-13.59342783505155,-9.01639344262295,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_026,43109144,EMEF LIDOVINO FANTON,julia,5,Língua Portuguesa,106,74,69.81132075471699,40.78378378378378,41.270270270270274,41.608108108108105,17.324324324324323,96.15384615384616,94.23076923076923,98.07692307692308,TRUE,-11.49709046023628,-10.76794035414725,-0.9345794392523364,FALSE,TRUE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_027,43183018,EMEF MARIO QUINTANA,ruti,1,Língua Portuguesa,46,41,89.1304347826087,3.7560975609756095,91.92682926829268,8.073170731707316,0,100,98.07692307692308,17.307692307692307,TRUE,18.019323671497588,-12.74390243902439,2.2222222222222223,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_027,43183018,EMEF MARIO QUINTANA,ruti,2,Língua Portuguesa,44,34,77.27272727272727,34.029411764705884,48.294117647058826,35.205882352941174,17.058823529411764,94.23076923076923,88.46153846153847,84.61538461538461,TRUE,-16.604823747680896,-14.970588235294116,-10.20408163265306,FALSE,TRUE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_027,43183018,EMEF MARIO QUINTANA,ruti,3,Língua Portuguesa,49,43,87.75510204081633,41.51162790697674,42.95348837209303,31.023255813953487,26.023255813953487,78.84615384615384,78.84615384615384,30.769230769230774,TRUE,5.402160864345731,-13.488372093023258,-3.92156862745098,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_027,43183018,EMEF MARIO QUINTANA,ruti,4,Língua Portuguesa,46,40,86.95652173913044,45,44,23,33,80.76923076923077,80.76923076923077,67.3076923076923,TRUE,4.956521739130437,0.48780487804877737,-8,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_027,43183018,EMEF MARIO QUINTANA,ruti,5,Língua Portuguesa,48,41,85.41666666666667,53.390243902439025,35.65853658536585,27.365853658536587,36.97560975609756,73.07692307692308,90.38461538461539,80.76923076923077,TRUE,-2.5833333333333286,-6.5643015521064285,-4,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_028,43177018,EMEF MIGRANTES,nathalia,1,Língua Portuguesa,23,18,78.26086956521739,35,36.666666666666664,58,5.333333333333333,49.03846153846154,19.23076923076923,73.07692307692308,TRUE,0.4830917874396192,-39,27.77777777777778,FALSE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_028,43177018,EMEF MIGRANTES,nathalia,2,Língua Portuguesa,18,16,88.88888888888889,57,40,20,40,34.61538461538461,65.38461538461539,38.46153846153846,TRUE,-1.587301587301596,-5,-14.285714285714286,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_028,43177018,EMEF MIGRANTES,nathalia,3,Língua Portuguesa,18,13,72.22222222222223,55,23,38,38,30.769230769230774,23.076923076923077,96.15384615384616,TRUE,-24.074074074074066,3.8461538461538463,-33.333333333333336,FALSE,TRUE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_028,43177018,EMEF MIGRANTES,nathalia,4,Língua Portuguesa,19,16,84.21052631578948,51,23,46,31,65.38461538461539,32.69230769230769,80.76923076923077,TRUE,12.781954887218047,-31,171.42857142857142,TRUE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_028,43177018,EMEF MIGRANTES,nathalia,5,Língua Portuguesa,8,7,87.5,56,14,57,29,61.53846153846154,25,65.38461538461539,TRUE,16.07142857142857,18,-42.857142857142854,TRUE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,1,Língua Portuguesa,91,81,89.01098901098901,47.75308641975309,38.28395061728395,33.27160493827161,28.69135802469136,15.384615384615387,21.153846153846153,19.230769230769226,TRUE,14.010989010989007,-20.762065095398427,3.409090909090909,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,2,Língua Portuguesa,99,92,92.92929292929291,86.32608695652173,5.173913043478261,13.98913043478261,81.06521739130434,1.9230769230769198,1.9230769230769231,11.538461538461533,TRUE,13.131313131313137,15.174188222344526,0,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,3,Língua Portuguesa,104,91,87.5,74.42857142857143,10.692307692307692,22.67032967032967,66.63736263736264,5.769230769230774,7.6923076923076925,32.69230769230769,TRUE,0.15822784810126225,5.921325051759837,31.64556962025317,FALSE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,4,Língua Portuguesa,77,72,93.50649350649353,75.61111111111111,11.5,22.77777777777778,66.02777777777777,3.8461538461538396,5.769230769230769,15.384615384615387,TRUE,3.786867338269218,-6.493055555555557,-28.037383177570092,FALSE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,5,Língua Portuguesa,107,100,93.45794392523364,81.85,6.16,24.5,69.34,0,7.6923076923076925,23.07692307692308,TRUE,2.0293724966622193,6.933333333333323,1.9047619047619049,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,1,Língua Portuguesa,93,67,72.04301075268818,38.6865671641791,42.61194029850746,40.92537313432836,16.46268656716418,38.46153846153846,25,92.3076923076923,TRUE,-0.5760368663594448,21.08000978712992,10.714285714285714,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,2,Língua Portuguesa,74,60,81.08108108108108,35.85,53.333333333333336,24.416666666666668,22.5,92.3076923076923,94.23076923076923,75,TRUE,-0.8338125359401971,-8.903246753246755,-21.27659574468085,FALSE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,3,Língua Portuguesa,103,78,75.72815533980582,53.17948717948718,31.93589743589743,22.32051282051282,45.97435897435897,32.69230769230769,36.53846153846154,90.38461538461539,TRUE,-5.825242718446603,-4.249084249084248,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,4,Língua Portuguesa,98,77,78.57142857142857,32.94805194805195,65.05194805194805,7.935064935064935,27.285714285714285,96.15384615384616,100,94.23076923076923,TRUE,-4.606141522029375,-2.9845323216109705,-8.411214953271028,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,5,Língua Portuguesa,102,86,84.31372549019608,39.77906976744186,44.36046511627907,35.97674418604651,19.627906976744185,98.07692307692308,98.07692307692308,86.53846153846153,TRUE,6.836248012718599,-1.5,-8.108108108108109,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,julia,1,Língua Portuguesa,63,52,82.53968253968254,38.92307692307692,54.65384615384615,21.442307692307693,23.903846153846153,36.53846153846154,55.76923076923077,48.07692307692308,TRUE,11.111111111111114,-40.57692307692308,50,TRUE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,julia,2,Língua Portuguesa,43,35,81.3953488372093,72.88571428571429,9.714285714285714,32.6,57.68571428571428,5.769230769230774,3.8461538461538463,73.07692307692308,TRUE,-2.3255813953488484,13.885714285714286,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,julia,3,Língua Portuguesa,44,38,86.36363636363636,83.89473684210526,9.31578947368421,9,82.15789473684211,0,3.8461538461538463,46.15384615384615,TRUE,18.181818181818173,49.22807017543859,0,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,julia,4,Língua Portuguesa,42,38,90.47619047619048,61.10526315789474,25.42105263157895,28,47.05263157894737,32.69230769230769,38.46153846153846,38.46153846153846,TRUE,9.625126646403244,-5.73684210526315,-10.638297872340424,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
