cenario,descricao_cenario,assessora_gerencial,tipo_carteira,carteira_nominal,numero_escolas,carga_potencial_total_cenario,indice_medio_cenario,indice_mediano_cenario,carga_total_rede_cenario,participacao_carga_rede_cenario_pct,ordem_carga_total_todas_categorias,ordem_carga_total_carteiras_nominais,percentil_carga_total_cenario_carteiras_nominais,faixa_carga_total_cenario_carteiras_nominais,carga_total_equilibrado,ordem_equilibrado_nominais,faixa_equilibrado_nominais,diferenca_carga_total_para_equilibrado,mudanca_ordem_nominais_para_equilibrado,mudou_faixa_carga_total_carteira
desafio_educacional,Maior ênfase no desafio educacional observado.,priscila,Carteira nominal,TRUE,4,202.10267489711936,50.52566872427984,48.434039468761696,2474.551905683278,8.167243307079241,8,8,30,Faixa 2 — intermediária inferior entre carteiras nominais,180.5602787130565,8,Faixa 2 — intermediária inferior entre carteiras nominais,21.542396184062852,0,FALSE
desafio_educacional,Maior ênfase no desafio educacional observado.,graziela,Carteira nominal,TRUE,4,187.92828282828285,46.98207070707071,46.57786195286195,2474.551905683278,7.594436891651773,9,9,20,Faixa 1 — menor carga relativa entre carteiras nominais,165.674031986532,9,Faixa 1 — menor carga relativa entre carteiras nominais,22.25425084175086,0,FALSE
desafio_educacional,Maior ênfase no desafio educacional observado.,ruti,Carteira nominal,TRUE,4,180.04747474747475,45.01186868686869,43.10963804713805,2474.551905683278,7.2759627443644055,10,10,10,Faixa 1 — menor carga relativa entre carteiras nominais,154.95854377104376,10,Faixa 1 — menor carga relativa entre carteiras nominais,25.088930976430987,0,FALSE
desafio_educacional,Maior ênfase no desafio educacional observado.,marian,Carteira nominal,TRUE,4,169.5095117845118,42.37737794612795,41.129335016835014,2474.551905683278,6.85010936304068,11,11,0,Faixa 1 — menor carga relativa entre carteiras nominais,148.13152356902356,11,Faixa 1 — menor carga relativa entre carteiras nominais,21.377988215488244,0,FALSE
desafio_educacional,Maior ênfase no desafio educacional observado.,Sem vinculação informada,Sem vinculação informada,FALSE,1,47.196462361168244,47.196462361168244,47.196462361168244,2474.551905683278,1.9072730805432938,13,,,,47.10180995475113,,,0.09465240641711148,,
transicao_administrativa,Maior ênfase nos arranjos e transições administrativas.,outras,Agrupamento residual,FALSE,2,80.94095117845117,40.470475589225586,40.470475589225586,1993.7783326604406,4.059676537383465,12,,,,77.1925505050505,,,3.748400673400667,,
transicao_administrativa,Maior ênfase nos arranjos e transições administrativas.,jalize,Carteira nominal,TRUE,5,212.51604002992894,42.50320800598578,42.363299663299664,1993.7783326604406,10.658960253939245,1,1,100,Faixa 4 — maior carga relativa entre carteiras nominais,233.41650299289188,1,Faixa 4 — maior carga relativa entre carteiras nominais,-20.900462962962933,0,FALSE
transicao_administrativa,Maior ênfase nos arranjos e transições administrativas.,clarissa,Carteira nominal,TRUE,6,197.32849326599327,32.88808221099888,32.169170875420875,1993.7783326604406,9.897213247506999,2,2,90,Faixa 4 — maior carga relativa entre carteiras nominais,230.7685185185185,2,Faixa 4 — maior carga relativa entre carteiras nominais,-33.44002525252523,0,FALSE
transicao_administrativa,Maior ênfase nos arranjos e transições administrativas.,julia,Carteira nominal,TRUE,5,190.75479797979798,38.1509595959596,43.34957912457912,1993.7783326604406,9.567502808863424,3,3,80,Faixa 4 — maior carga relativa entre carteiras nominais,199.34490740740742,4,Faixa 3 — intermediária superior entre carteiras nominais,-8.590109427609434,-1,TRUE
transicao_administrativa,Maior ênfase nos arranjos e transições administrativas.,andreia,Carteira nominal,TRUE,5,183.609132996633,36.721826599326604,42.70951178451179,1993.7783326604406,9.209104642622446,4,4,70,Faixa 3 — intermediária superior entre carteiras nominais,214.14856902356902,3,Faixa 4 — maior carga relativa entre carteiras nominais,-30.539436026936016,1,TRUE
transicao_administrativa,Maior ênfase nos arranjos e transições administrativas.,nathalia,Carteira nominal,TRUE,6,169.17011784511786,28.195019640852976,29.98979377104377,1993.7783326604406,8.484901007996315,5,5,60,Faixa 3 — intermediária superior entre carteiras nominais,192.59806397306397,6,Faixa 2 — intermediária inferior entre carteiras nominais,-23.427946127946115,-1,TRUE
transicao_administrativa,Maior ênfase nos arranjos e transições administrativas.,priscila,Carteira nominal,TRUE,4,167.7447904975683,41.93619762439207,43.01250467639356,1993.7783326604406,8.41341225098652,6,6,50,Faixa 2 — intermediária inferior entre carteiras nominais,180.5602787130565,8,Faixa 2 — intermediária inferior entre carteiras nominais,-12.815488215488216,-2,FALSE
transicao_administrativa,Maior ênfase nos arranjos e transições administrativas.,amanda,Carteira nominal,TRUE,5,167.70736531986532,33.541473063973065,33.765151515151516,1993.7783326604406,8.41153515276101,7,7,40,Faixa 2 — intermediária inferior entre carteiras nominais,192.94002525252526,5,Faixa 3 — intermediária superior entre carteiras nominais,-25.232659932659942,2,TRUE
transicao_administrativa,Maior ênfase nos arranjos e transições administrativas.,eliane,Carteira nominal,TRUE,5,165.16241582491583,33.03248316498316,30.962457912457914,1993.7783326604406,8.28389059703181,8,8,30,Faixa 2 — intermediária inferior entre carteiras nominais,191.5909090909091,7,Faixa 2 — intermediária inferior entre carteiras nominais,-26.428493265993268,1,FALSE
transicao_administrativa,Maior ênfase nos arranjos e transições administrativas.,graziela,Carteira nominal,TRUE,4,143.78371212121212,35.94592803030303,35.77451599326599,1993.7783326604406,7.211619755610006,9,9,20,Faixa 1 — menor carga relativa entre carteiras nominais,165.674031986532,9,Faixa 1 — menor carga relativa entre carteiras nominais,-21.890319865319867,0,FALSE
transicao_administrativa,Maior ênfase nos arranjos e transições administrativas.,ruti,Carteira nominal,TRUE,4,135.13493265993264,33.78373316498316,31.88137626262626,1993.7783326604406,6.777831338933876,10,10,10,Faixa 1 — menor carga relativa entre carteiras nominais,154.95854377104376,10,Faixa 1 — menor carga relativa entre carteiras nominais,-19.82361111111112,0,FALSE
transicao_administrativa,Maior ênfase nos arranjos e transições administrativas.,marian,Carteira nominal,TRUE,4,129.230765993266,32.3076914983165,31.82786195286195,1993.7783326604406,6.481701795847293,11,11,0,Faixa 1 — menor carga relativa entre carteiras nominais,148.13152356902356,11,Faixa 1 — menor carga relativa entre carteiras nominais,-18.900757575757552,0,FALSE
transicao_administrativa,Maior ênfase nos arranjos e transições administrativas.,Sem vinculação informada,Sem vinculação informada,FALSE,1,50.69481694775813,50.69481694775813,50.69481694775813,1993.7783326604406,2.5426506105175903,13,,,,47.10180995475113,,,3.5930069930069948,,
