fonte,nome_original,chave_origem,chave_dimensao,id_escola_provisorio,nome_canonico,metodo_correspondencia
Contexto CAEd,EMEF MORRO DA CRUZ,EMEF MORRO DA CRUZ,EMEF MORRO DA CRUZ,ESC_030,EMEF MORRO DA CRUZ,exata_normalizada
CAEd,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,ESC_031,EMEF NEUSA GOULART BRIZOLA,exata_normalizada
Contexto CAEd,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,ESC_031,EMEF NEUSA GOULART BRIZOLA,exata_normalizada
CAEd,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,ESC_032,EMEF NOSSA SENHORA DE FATIMA,exata_normalizada
Contexto CAEd,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,ESC_032,EMEF NOSSA SENHORA DE FATIMA,exata_normalizada
CAEd,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,ESC_033,EMEF NOSSA SENHORA DO CARMO,exata_normalizada
Contexto CAEd,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,ESC_033,EMEF NOSSA SENHORA DO CARMO,exata_normalizada
CAEd,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,ESC_034,EMEF PEPITA DE LEAO,exata_normalizada
Contexto CAEd,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,ESC_034,EMEF PEPITA DE LEAO,exata_normalizada
CAEd,EMEF PORTO NOVO,EMEF PORTO NOVO,EMEF PORTO NOVO,ESC_035,EMEF PORTO NOVO,exata_normalizada
Contexto CAEd,EMEF PORTO NOVO,EMEF PORTO NOVO,EMEF PORTO NOVO,ESC_035,EMEF PORTO NOVO,exata_normalizada
CAEd,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,ESC_036,EMEF PRES JOAO BELCHIOR MARQUES GOULART,exata_normalizada
Contexto CAEd,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,ESC_036,EMEF PRES JOAO BELCHIOR MARQUES GOULART,exata_normalizada
CAEd,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,ESC_037,EMEF PRESIDENTE VARGAS,exata_normalizada
Contexto CAEd,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,ESC_037,EMEF PRESIDENTE VARGAS,exata_normalizada
CAEd,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,ESC_038,EMEF PROF ANA IRIS DO AMARAL,exata_normalizada
Contexto CAEd,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,ESC_038,EMEF PROF ANA IRIS DO AMARAL,exata_normalizada
CAEd,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,ESC_039,EMEF PROF ANISIO TEIXEIRA,exata_normalizada
Contexto CAEd,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,ESC_039,EMEF PROF ANISIO TEIXEIRA,exata_normalizada
CAEd,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ESC_040,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,exata_normalizada
Contexto CAEd,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ESC_040,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,exata_normalizada
CAEd,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,ESC_041,EMEF PROF JUDITH MACEDO DE ARAUJO,exata_normalizada
Contexto CAEd,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,ESC_041,EMEF PROF JUDITH MACEDO DE ARAUJO,exata_normalizada
CAEd,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,ESC_042,EMEF PROF LARRY JOSE RIBEIRO ALVES,exata_normalizada
Contexto CAEd,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,ESC_042,EMEF PROF LARRY JOSE RIBEIRO ALVES,exata_normalizada
CAEd,EMEF RINCAO,EMEF RINCAO,EMEF RINCAO,ESC_043,EMEF RINCAO,exata_normalizada
