id_escola,codigo_inep,nome_canonico,assessora_vinculo_administrativo,assessora_gerencial_2026,incluir_indice_carga_2026,matriculas_anos_iniciais,turmas_anos_iniciais,turmas_anos_iniciais_validas,numero_etapas_amplas_ofertadas,score_dimensao_volume,cobertura_dimensao_volume,score_dimensao_estrutural,cobertura_dimensao_estrutural,score_dimensao_administrativa,cobertura_dimensao_administrativa,contribuicao_volume,contribuicao_estrutural,contribuicao_administrativa,indice_carga_potencial_operacional,cobertura_indice_operacional,interpretacao_cautelosa,resultados_educacionais_no_indice,nota_uso
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,clarissa,TRUE,465,21,21,4,69.71153846153845,1,32.11538461538461,1,0,1,27.884615384615383,11.240384615384613,0,39.125,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_023,43169490,EMEF JOSE MARIANO BECK,nathalia,nathalia,TRUE,329,15,15,4,41.394230769230774,1,21.153846153846153,1,0,1,16.55769230769231,7.403846153846153,0,23.961538461538463,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_024,43109209,EMEF LAURO RODRIGUES,clarissa,clarissa,TRUE,339,15,15,3,37.35576923076923,1,48.55769230769231,1,0,1,14.942307692307693,16.995192307692307,0,31.9375,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,graziela,graziela,TRUE,247,11,11,4,31.58653846153846,1,33.07692307692307,1,0,1,12.634615384615385,11.576923076923075,0,24.21153846153846,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_026,43109144,EMEF LIDOVINO FANTON,julia,julia,TRUE,563,23,23,4,91.58653846153845,1,56.25,1,0,1,36.63461538461538,19.6875,0,56.32211538461538,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_027,43183018,EMEF MARIO QUINTANA,ruti,ruti,TRUE,233,10,10,2,15.144230769230768,1,64.27884615384616,1,0,1,6.0576923076923075,22.497596153846153,0,28.55528846153846,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_028,43177018,EMEF MIGRANTES,nathalia,nathalia,TRUE,80,5,5,3,9.807692307692307,1,31.923076923076923,1,0,1,3.923076923076923,11.173076923076923,0,15.096153846153847,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,amanda,TRUE,488,19,19,3,65.04807692307692,1,73.75,1,0,1,26.01923076923077,25.8125,0,51.831730769230774,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,andreia,TRUE,538,21,21,3,77.21153846153845,1,47.30769230769231,1,0,1,30.884615384615383,16.557692307692307,0,47.44230769230769,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,julia,julia,TRUE,218,10,10,3,17.307692307692307,1,45,1,0,1,6.923076923076923,15.749999999999998,0,22.67307692307692,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,amanda,amanda,TRUE,377,16,16,4,50.81730769230769,1,31.826923076923073,1,0,1,20.32692307692308,11.139423076923075,0,31.466346153846153,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,amanda,amanda,TRUE,408,16,16,4,54.855769230769226,1,66.63461538461539,1,0,1,21.942307692307693,23.322115384615383,0,45.26442307692308,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_034,43105521,EMEF PEPITA DE LEAO,nathalia,nathalia,TRUE,255,12,12,3,28.26923076923077,1,43.65384615384615,1,0,1,11.307692307692308,15.278846153846153,0,26.58653846153846,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_035,43048200,EMEF PORTO NOVO,marian,marian,TRUE,237,10,10,3,20.769230769230766,1,49.61538461538461,1,0,1,8.307692307692307,17.365384615384613,0,25.67307692307692,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_036,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,marian,TRUE,358,18,18,3,43.75,1,34.80769230769231,1,0,1,17.5,12.182692307692307,0,29.682692307692307,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_037,43105530,EMEF PRESIDENTE VARGAS,eliane,eliane,TRUE,239,11,11,2,19.615384615384613,1,61.05769230769231,1,0,1,7.846153846153846,21.370192307692307,0,29.216346153846153,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_038,43109195,EMEF PROF ANA IRIS DO AMARAL,eliane,eliane,TRUE,224,10,10,3,18.46153846153846,1,67.64423076923077,1,0,1,7.384615384615384,23.67548076923077,0,31.060096153846153,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,andreia,andreia,TRUE,471,19,19,3,61.58653846153846,1,57.11538461538461,1,0,1,24.634615384615387,19.990384615384613,0,44.625,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_040,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,ruti,TRUE,109,5,5,3,12.115384615384615,1,59.71153846153846,1,0,1,4.846153846153847,20.89903846153846,0,25.745192307692307,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_041,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,graziela,graziela,TRUE,367,14,14,3,39.61538461538461,1,46.25,1,0,1,15.846153846153847,16.1875,0,32.03365384615385,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
