id_escola,codigo_inep,nome_canonico,assessora_vinculo_administrativo,assessora_gerencial_2025,assessora_gerencial_2026,pertence_universo_avaliativo_2025,pertence_universo_avaliativo_2026,recebe_assessoramento_2025,recebe_assessoramento_2026,incluir_indice_carga_2025,incluir_indice_carga_2026,grupo_administrativo_2024_final,matriculas_anos_iniciais,turmas_anos_iniciais,docentes_anos_iniciais,alunos_por_turma_anos_iniciais,pct_matriculas_anos_iniciais_integral,pct_matriculas_educacao_especial,indice_infraestrutura_basica,possui_alerta_composicao
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,,julia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,70,4,11,17.5,0,9.090909090909092,80,TRUE
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,jalize,,jalize,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,477,21,26,22.714285714285715,30.39832285115304,9.821428571428571,100,TRUE
ESC_023,43169490,EMEF JOSE MARIANO BECK,nathalia,,nathalia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,329,15,24,21.933333333333337,0,6.185567010309279,100,TRUE
ESC_024,43109209,EMEF LAURO RODRIGUES,clarissa,,clarissa,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,339,15,27,22.6,20.64896755162242,7.451564828614009,90,TRUE
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,graziela,,graziela,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,247,11,21,22.454545454545453,10.121457489878544,7.889908256880734,100,TRUE
ESC_026,43109144,EMEF LIDOVINO FANTON,julia,,julia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,563,23,35,24.47826086956522,14.209591474245116,6.009852216748769,80,TRUE
ESC_027,43183018,EMEF MARIO QUINTANA,ruti,,ruti,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,233,10,20,23.3,100,7.960199004975125,70,TRUE
ESC_028,43177018,EMEF MIGRANTES,nathalia,,nathalia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,80,5,10,16,0,7.975460122699387,90,TRUE
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,,amanda,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,488,19,20,25.68421052631579,9.221311475409836,7.818930041152264,80,TRUE
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,,andreia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,538,21,27,25.61904761904762,10.037174721189592,6.2438057482656095,100,TRUE
ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,julia,,julia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,218,10,31,21.8,100,14.698162729658792,100,TRUE
ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,amanda,,amanda,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,377,16,24,23.5625,0,6.575342465753424,100,TRUE
ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,amanda,,amanda,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,408,16,22,25.5,38.23529411764706,7.363420427553444,90,TRUE
ESC_034,43105521,EMEF PEPITA DE LEAO,nathalia,,nathalia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,255,12,19,21.25,18.823529411764707,13.174946004319654,100,TRUE
ESC_035,43048200,EMEF PORTO NOVO,marian,,marian,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,237,10,33,23.7,100,12.368972746331236,100,TRUE
ESC_036,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,,marian,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,358,18,23,19.88888888888889,4.4692737430167595,9.74124809741248,100,TRUE
ESC_037,43105530,EMEF PRESIDENTE VARGAS,eliane,,eliane,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,239,11,18,21.727272727272727,43.93305439330544,11.009174311926603,80,TRUE
ESC_038,43109195,EMEF PROF ANA IRIS DO AMARAL,eliane,,eliane,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,224,10,21,22.4,100,11.442786069651742,70,TRUE
ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,andreia,,andreia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,471,19,27,24.789473684210527,11.46496815286624,10.571428571428571,100,TRUE
ESC_040,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,,ruti,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,109,5,19,21.8,100,18.867924528301888,80,TRUE
ESC_041,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,graziela,,graziela,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,367,14,19,26.214285714285715,14.168937329700272,6.004901960784314,100,TRUE
ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,,amanda,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,420,16,22,26.25,21.19047619047619,6.1946902654867255,100,TRUE
ESC_043,43293050,EMEF RINCAO,jalize,,jalize,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,270,10,17,27,0,10.061601642710473,80,FALSE
ESC_044,43167179,EMEF SAINT HILAIRE,andreia,,andreia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,494,22,30,22.454545454545453,5.668016194331984,12.261306532663315,90,TRUE
ESC_045,43167535,EMEF SAO PEDRO,marian,,marian,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,477,22,31,21.681818181818183,5.031446540880503,6.70611439842209,100,TRUE
ESC_046,43107842,EMEF SEN ALBERTO PASQUALINI,julia,,julia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,535,21,32,25.47619047619047,17.94392523364486,9.370314842578711,90,TRUE
ESC_047,43189253,EMEF TIMBAUVA,nathalia,,nathalia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,353,15,22,23.533333333333335,30.878186968838527,9.295774647887324,80,TRUE
ESC_048,43172482,EMEF VER ANTONIO GIUDICE,clarissa,,clarissa,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,404,18,27,22.444444444444443,0,9.766022380467955,100,TRUE
ESC_049,43109080,EMEF VER CARLOS PESSOA DE BRUM,priscila,,priscila,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,574,22,25,26.09090909090909,36.23693379790941,6.63265306122449,90,TRUE
ESC_050,43109101,EMEF VER MARTIM ARANHA,priscila,,priscila,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,333,15,20,22.2,21.62162162162162,10.66481994459834,90,TRUE
ESC_051,43175120,EMEF VILA MONTE CRISTO,graziela,,graziela,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,454,20,29,22.7,6.387665198237886,11.580882352941176,70,TRUE
ESC_052,43173721,EMEF WENCESLAU FONTOURA,eliane,,eliane,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,446,17,25,26.235294117647054,34.75336322869955,9.976525821596244,90,TRUE
ESC_053,43105246,EMEM EMILIO MEYER,ruti,,ruti,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,377,18,27,20.944444444444443,0.7957559681697612,9.70873786407767,90,TRUE
ESC_054,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,,julia,SIM,SIM,NAO,SIM,FALSE,TRUE,"Estadual em 2024, municipalizada posteriormente",154,8,17,19.25,100,5.194805194805195,60,TRUE
ESC_055,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,,,SIM,SIM,NAO,NAO,FALSE,FALSE,Privada conveniada ou supervisionada,159,8,13,19.875,0,4.406779661016949,80,TRUE
