nome_completo,grupo,ordinal_position,column_name,data_type,is_nullable,erro_colunas,coluna_normalizada,papel_sugerido
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,79,energia_renovavel,INT64,YES,,energia_renovavel,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,80,energia_inexistente,INT64,YES,,energia_inexistente,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,81,esgoto_rede_publica,INT64,YES,,esgoto_rede_publica,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,82,esgoto_fossa,INT64,YES,,esgoto_fossa,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,83,esgoto_fossa_septica,INT64,YES,,esgoto_fossa_septica,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,84,esgoto_fossa_comum,INT64,YES,,esgoto_fossa_comum,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,85,esgoto_inexistente,INT64,YES,,esgoto_inexistente,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,86,lixo_servico_coleta,INT64,YES,,lixo_servico_coleta,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,87,lixo_queima,INT64,YES,,lixo_queima,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,88,lixo_enterrado,INT64,YES,,lixo_enterrado,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,89,lixo_destino_final_publico,INT64,YES,,lixo_destino_final_publico,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,90,lixo_descarta_outra_area,INT64,YES,,lixo_descarta_outra_area,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,91,lixo_joga_outra_area,INT64,YES,,lixo_joga_outra_area,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,92,lixo_outros,INT64,YES,,lixo_outros,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,93,lixo_reciclagem,INT64,YES,,lixo_reciclagem,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,94,tratamento_lixo_separacao,INT64,YES,,tratamento_lixo_separacao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,95,tratamento_lixo_reutilizacao,INT64,YES,,tratamento_lixo_reutilizacao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,96,tratamento_lixo_reciclagem,INT64,YES,,tratamento_lixo_reciclagem,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,97,tratamento_lixo_inexistente,INT64,YES,,tratamento_lixo_inexistente,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,98,almoxarifado,INT64,YES,,almoxarifado,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,99,area_verde,INT64,YES,,area_verde,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,100,auditorio,INT64,YES,,auditorio,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,101,banheiro_fora_predio,INT64,YES,,banheiro_fora_predio,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,102,banheiro_dentro_predio,INT64,YES,,banheiro_dentro_predio,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,103,banheiro,INT64,YES,,banheiro,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,104,banheiro_educacao_infantil,INT64,YES,,banheiro_educacao_infantil,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,105,banheiro_pne,INT64,YES,,banheiro_pne,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,106,banheiro_funcionarios,INT64,YES,,banheiro_funcionarios,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,107,banheiro_chuveiro,INT64,YES,,banheiro_chuveiro,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,108,bercario,INT64,YES,,bercario,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,109,biblioteca,INT64,YES,,biblioteca,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,110,biblioteca_sala_leitura,INT64,YES,,biblioteca_sala_leitura,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,111,cozinha,INT64,YES,,cozinha,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,112,despensa,INT64,YES,,despensa,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,113,dormitorio_aluno,INT64,YES,,dormitorio_aluno,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,114,dormitorio_professor,INT64,YES,,dormitorio_professor,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,115,laboratorio_ciencias,INT64,YES,,laboratorio_ciencias,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,116,laboratorio_informatica,INT64,YES,,laboratorio_informatica,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,117,laboratorio_educacao_profissional,INT64,YES,,laboratorio_educacao_profissional,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,118,patio_coberto,INT64,YES,,patio_coberto,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,119,patio_descoberto,INT64,YES,,patio_descoberto,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,120,parque_infantil,INT64,YES,,parque_infantil,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,121,piscina,INT64,YES,,piscina,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,122,quadra_esportes,INT64,YES,,quadra_esportes,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,123,quadra_esportes_coberta,INT64,YES,,quadra_esportes_coberta,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,124,quadra_esportes_descoberta,INT64,YES,,quadra_esportes_descoberta,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,125,refeitorio,INT64,YES,,refeitorio,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,126,sala_atelie_artes,INT64,YES,,sala_atelie_artes,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,127,sala_musica_coral,INT64,YES,,sala_musica_coral,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,128,sala_estudio_danca,INT64,YES,,sala_estudio_danca,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,129,sala_multiuso,INT64,YES,,sala_multiuso,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,130,sala_estudio_gravacao,INT64,YES,,sala_estudio_gravacao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,131,sala_oficinas_educacao_profissional,INT64,YES,,sala_oficinas_educacao_profissional,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,132,sala_diretoria,INT64,YES,,sala_diretoria,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,133,sala_leitura,INT64,YES,,sala_leitura,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,134,sala_professor,INT64,YES,,sala_professor,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,135,sala_repouso_aluno,INT64,YES,,sala_repouso_aluno,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,136,secretaria,INT64,YES,,secretaria,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,137,sala_atendimento_especial,INT64,YES,,sala_atendimento_especial,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,138,terreirao,INT64,YES,,terreirao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,139,viveiro,INT64,YES,,viveiro,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,140,dependencia_pne,INT64,YES,,dependencia_pne,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,141,lavanderia,INT64,YES,,lavanderia,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,142,dependencia_outras,INT64,YES,,dependencia_outras,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,143,acessibilidade_corrimao,INT64,YES,,acessibilidade_corrimao,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,144,acessibilidade_elevador,INT64,YES,,acessibilidade_elevador,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,145,acessibilidade_pisos_tateis,INT64,YES,,acessibilidade_pisos_tateis,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,146,acessibilidade_vao_livre,INT64,YES,,acessibilidade_vao_livre,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,147,acessibilidade_rampas,INT64,YES,,acessibilidade_rampas,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,148,acessibilidade_sinal_sonoro,INT64,YES,,acessibilidade_sinal_sonoro,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,149,acessibilidade_sinal_tatil,INT64,YES,,acessibilidade_sinal_tatil,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,150,acessibilidade_sinal_visual,INT64,YES,,acessibilidade_sinal_visual,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,151,acessibilidade_inexistente,INT64,YES,,acessibilidade_inexistente,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,152,quantidade_sala_existente,INT64,YES,,quantidade_sala_existente,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,153,quantidade_sala_utilizada,INT64,YES,,quantidade_sala_utilizada,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,154,quantidade_sala_utilizada_dentro,INT64,YES,,quantidade_sala_utilizada_dentro,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,155,quantidade_sala_utilizada_fora,INT64,YES,,quantidade_sala_utilizada_fora,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,156,quantidade_sala_utilizada_climatizada,INT64,YES,,quantidade_sala_utilizada_climatizada,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,157,quantidade_sala_utilizada_acessivel,INT64,YES,,quantidade_sala_utilizada_acessivel,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,158,equipamento_parabolica,INT64,YES,,equipamento_parabolica,infraestrutura
