nome_completo,grupo,id_escola,codigo_inep,nome_canonico,assessora,tipo_vinculo_rede,status_rede_2025,numero_linhas_2024,encontrado_2024
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_011,43109225,EMEF DEP VICTOR ISSLER,clarissa,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,jalize,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_013,43106331,EMEF ESPIRITO SANTO,priscila,rede_municipal_direta_ou_nao_classificada,vinculo_estadual_em_2025_a_confirmar,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_014,43106382,EMEF EVARISTO GONCALVES NETTO,jalize,rede_municipal_direta_ou_nao_classificada,vinculo_estadual_em_2025_a_confirmar,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_015,43109233,EMEF GABRIEL OBINO,amanda,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,clarissa,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,andreia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_018,43105548,EMEF HEITOR VILLA LOBOS,jalize,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_019,43172474,EMEF JEAN PIAGET,clarissa,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_020,43109217,EMEF JOAO ANTONIO SATTE,eliane,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,rede_municipal_direta_ou_nao_classificada,existencia_ou_funcionamento_em_2025_a_confirmar,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,jalize,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_023,43169490,EMEF JOSE MARIANO BECK,nathalia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_024,43109209,EMEF LAURO RODRIGUES,clarissa,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,graziela,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_026,43109144,EMEF LIDOVINO FANTON,julia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_027,43183018,EMEF MARIO QUINTANA,ruti,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_028,43177018,EMEF MIGRANTES,nathalia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,julia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,amanda,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,amanda,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_034,43105521,EMEF PEPITA DE LEAO,nathalia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_035,43048200,EMEF PORTO NOVO,marian,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_036,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_037,43105530,EMEF PRESIDENTE VARGAS,eliane,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_038,43109195,EMEF PROF ANA IRIS DO AMARAL,eliane,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,andreia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_040,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_041,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,graziela,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_043,43293050,EMEF RINCAO,jalize,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_044,43167179,EMEF SAINT HILAIRE,andreia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_045,43167535,EMEF SAO PEDRO,marian,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_046,43107842,EMEF SEN ALBERTO PASQUALINI,julia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_047,43189253,EMEF TIMBAUVA,nathalia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_048,43172482,EMEF VER ANTONIO GIUDICE,clarissa,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_049,43109080,EMEF VER CARLOS PESSOA DE BRUM,priscila,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_050,43109101,EMEF VER MARTIM ARANHA,priscila,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_051,43175120,EMEF VILA MONTE CRISTO,graziela,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_052,43173721,EMEF WENCESLAU FONTOURA,eliane,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_053,43105246,EMEM EMILIO MEYER,ruti,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_054,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_055,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
