nome_completo,grupo,ordinal_position,column_name,data_type,is_nullable,erro_colunas,coluna_normalizada,papel_sugerido
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,338,quantidade_matricula_fundamental_anos_iniciais,INT64,YES,,quantidade_matricula_fundamental_anos_iniciais,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,339,quantidade_matricula_fundamental_1_ano,INT64,YES,,quantidade_matricula_fundamental_1_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,340,quantidade_matricula_fundamental_2_ano,INT64,YES,,quantidade_matricula_fundamental_2_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,341,quantidade_matricula_fundamental_3_ano,INT64,YES,,quantidade_matricula_fundamental_3_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,342,quantidade_matricula_fundamental_4_ano,INT64,YES,,quantidade_matricula_fundamental_4_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,343,quantidade_matricula_fundamental_5_ano,INT64,YES,,quantidade_matricula_fundamental_5_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,344,quantidade_matricula_fundamental_anos_finais,INT64,YES,,quantidade_matricula_fundamental_anos_finais,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,345,quantidade_matricula_fundamental_6_ano,INT64,YES,,quantidade_matricula_fundamental_6_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,346,quantidade_matricula_fundamental_7_ano,INT64,YES,,quantidade_matricula_fundamental_7_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,347,quantidade_matricula_fundamental_8_ano,INT64,YES,,quantidade_matricula_fundamental_8_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,348,quantidade_matricula_fundamental_9_ano,INT64,YES,,quantidade_matricula_fundamental_9_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,349,quantidade_matricula_medio,INT64,YES,,quantidade_matricula_medio,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,350,quantidade_matricula_medio_propedeutico,INT64,YES,,quantidade_matricula_medio_propedeutico,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,351,quantidade_matricula_medio_propedeutico_1_ano,INT64,YES,,quantidade_matricula_medio_propedeutico_1_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,352,quantidade_matricula_medio_propedeutico_2_ano,INT64,YES,,quantidade_matricula_medio_propedeutico_2_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,353,quantidade_matricula_medio_propedeutico_3_ano,INT64,YES,,quantidade_matricula_medio_propedeutico_3_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,354,quantidade_matricula_medio_propedeutico_4_ano,INT64,YES,,quantidade_matricula_medio_propedeutico_4_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,355,quantidade_matricula_medio_propedeutico_nao_seriado,INT64,YES,,quantidade_matricula_medio_propedeutico_nao_seriado,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,356,quantidade_matricula_medio_tecnico,INT64,YES,,quantidade_matricula_medio_tecnico,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,357,quantidade_matricula_medio_tecnico_1_ano,INT64,YES,,quantidade_matricula_medio_tecnico_1_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,358,quantidade_matricula_medio_tecnico_2_ano,INT64,YES,,quantidade_matricula_medio_tecnico_2_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,359,quantidade_matricula_medio_tecnico_3_ano,INT64,YES,,quantidade_matricula_medio_tecnico_3_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,360,quantidade_matricula_medio_tecnico_4_ano,INT64,YES,,quantidade_matricula_medio_tecnico_4_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,361,quantidade_matricula_medio_tecnico_nao_seriado,INT64,YES,,quantidade_matricula_medio_tecnico_nao_seriado,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,362,quantidade_matricula_medio_magisterio,INT64,YES,,quantidade_matricula_medio_magisterio,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,363,quantidade_matricula_medio_magisterio_1_ano,INT64,YES,,quantidade_matricula_medio_magisterio_1_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,364,quantidade_matricula_medio_magisterio_2_ano,INT64,YES,,quantidade_matricula_medio_magisterio_2_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,365,quantidade_matricula_medio_magisterio_3_ano,INT64,YES,,quantidade_matricula_medio_magisterio_3_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,366,quantidade_matricula_medio_magisterio_4_ano,INT64,YES,,quantidade_matricula_medio_magisterio_4_ano,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,367,quantidade_matricula_profissional,INT64,YES,,quantidade_matricula_profissional,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,368,quantidade_matricula_profissional_tecnica,INT64,YES,,quantidade_matricula_profissional_tecnica,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,369,quantidade_matricula_profissional_tecnica_concomitante,INT64,YES,,quantidade_matricula_profissional_tecnica_concomitante,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,370,quantidade_matricula_profissional_tecnica_subsequente,INT64,YES,,quantidade_matricula_profissional_tecnica_subsequente,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,371,quantidade_matricula_profissional_fic_concomitante,INT64,YES,,quantidade_matricula_profissional_fic_concomitante,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,372,quantidade_matricula_eja,INT64,YES,,quantidade_matricula_eja,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,373,quantidade_matricula_eja_fundamental,INT64,YES,,quantidade_matricula_eja_fundamental,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,374,quantidade_matricula_eja_fundamental_anos_iniciais,INT64,YES,,quantidade_matricula_eja_fundamental_anos_iniciais,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,375,quantidade_matricula_eja_fundamental_anos_finais,INT64,YES,,quantidade_matricula_eja_fundamental_anos_finais,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,376,quantidade_matricula_eja_fundamental_fic,INT64,YES,,quantidade_matricula_eja_fundamental_fic,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,377,quantidade_matricula_eja_medio,INT64,YES,,quantidade_matricula_eja_medio,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,378,quantidade_matricula_eja_medio_nao_profissionalizante,INT64,YES,,quantidade_matricula_eja_medio_nao_profissionalizante,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,379,quantidade_matricula_eja_medio_fic,INT64,YES,,quantidade_matricula_eja_medio_fic,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,380,quantidade_matricula_eja_medio_tecnico,INT64,YES,,quantidade_matricula_eja_medio_tecnico,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,381,quantidade_matricula_especial,INT64,YES,,quantidade_matricula_especial,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,382,quantidade_matricula_especial_comum,INT64,YES,,quantidade_matricula_especial_comum,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,383,quantidade_matricula_especial_exclusiva,INT64,YES,,quantidade_matricula_especial_exclusiva,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,384,quantidade_matricula_feminino,INT64,YES,,quantidade_matricula_feminino,porte_recursos
