assessora_gerencial,tipo_carteira,carteira_nominal,ordem_interna_carga_potencial,id_escola,codigo_inep,nome_canonico,matriculas_anos_iniciais,turmas_anos_iniciais,turmas_anos_iniciais_validas,numero_etapas_amplas_ofertadas,numero_series_resultado_2026,numero_series_comparaveis,painel_completo_cinco_series,qualidade_evidencia_educacional,interpretacao_educacional_cautelosa,score_dimensao_volume,score_dimensao_estrutural,score_dimensao_educacional,score_dimensao_administrativa,indice_carga_potencial,percentil_indice_carga_potencial,faixa_indice_carga_potencial,indice_carga_potencial_operacional,faixa_indice_operacional,indice_carga_potencial_desafio_educacional,faixa_indice_desafio_educacional,indice_carga_potencial_transicao_administrativa,faixa_indice_transicao_administrativa,contribuicao_volume_indice_principal,contribuicao_estrutural_indice_principal,contribuicao_educacional_indice_principal,contribuicao_administrativa_indice_principal,numero_cenarios_com_mudanca_faixa,sensibilidade_faixa,possui_complexidade_administrativa,interpretacao_indice_cautelosa,painel_incompleto,possui_alerta_composicao,participacao_2026_abaixo_80,caso_para_leitura_detalhada,entre_duas_maiores_cargas_da_carteira,participacao_indice_na_carteira_pct,participacao_acumulada_indice_carteira_pct,tipo_vinculo_rede_final,status_rede_2025_final,municipalizada_apos_2024,escola_nova_recente
eliane,Carteira nominal,TRUE,3,ESC_020,43109217,EMEF JOAO ANTONIO SATTE,417,20,20,3,5,5,TRUE,Completa — cinco séries,FALSE,57.58838383838384,36.5,48.57912457912458,0,35.66687710437711,32.72727272727273,Faixa 2 — intermediária inferior,41.876178451178454,Faixa 3 — intermediária superior,40.074326599326604,Faixa 2 — intermediária inferior,30.962457912457914,Faixa 2 — intermediária inferior,14.39709595959596,9.125,12.144781144781145,0,1,Sensibilidade moderada,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18.616163613198015,69.20247352928254,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
eliane,Carteira nominal,TRUE,4,ESC_037,43105530,EMEF PRESIDENTE VARGAS,239,11,11,2,5,5,TRUE,Completa — cinco séries,FALSE,21.576599326599325,61.159932659932664,50.6506734006734,0,33.34680134680135,23.636363636363637,Faixa 1 — menor carga potencial relativa,34.05075757575758,Faixa 1 — menor carga potencial relativa,39.865572390572396,Faixa 2 — intermediária inferior,29.20997474747475,Faixa 1 — menor carga potencial relativa,5.394149831649831,15.289983164983166,12.66266835016835,0,1,Sensibilidade moderada,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17.405210667369623,86.60768419665217,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
eliane,Carteira nominal,TRUE,5,ESC_038,43109195,EMEF PROF ANA IRIS DO AMARAL,224,10,10,3,5,5,TRUE,Completa — cinco séries,FALSE,20.856902356902356,68.02861952861953,13.748316498316498,0,25.658459595959595,3.6363636363636362,Faixa 1 — menor carga potencial relativa,28.099579124579126,Faixa 1 — menor carga potencial relativa,26.677861952861953,Faixa 1 — menor carga potencial relativa,21.2141835016835,Faixa 1 — menor carga potencial relativa,5.214225589225589,17.007154882154882,3.4370791245791246,0,0,Estável nos cenários,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,13.392315803347831,100,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
graziela,Carteira nominal,TRUE,1,ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,517,22,22,4,5,5,TRUE,Completa — cinco séries,FALSE,84.71801346801347,59.14646464646465,53.7003367003367,0,49.3912037037037,80,Faixa 4 — maior carga potencial relativa,59.41388888888889,Faixa 4 — maior carga potencial relativa,53.21035353535354,Faixa 4 — maior carga potencial relativa,42.1979797979798,Faixa 3 — intermediária superior,21.179503367003367,14.786616161616163,13.425084175084175,0,1,Sensibilidade moderada,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,29.812278431008927,29.812278431008927,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
graziela,Carteira nominal,TRUE,2,ESC_051,43175120,EMEF VILA MONTE CRISTO,454,20,20,4,5,5,TRUE,Completa — cinco séries,FALSE,68.08838383838383,69.48653198653199,50.102693602693606,0,46.91940235690235,74.54545454545455,Faixa 3 — intermediária superior,54.62752525252525,Faixa 4 — maior carga potencial relativa,51.03038720538721,Faixa 3 — intermediária superior,40.04065656565657,Faixa 3 — intermediária superior,17.02209595959596,17.371632996632997,12.525673400673401,0,1,Sensibilidade moderada,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,28.320311755747298,58.132590186756225,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
graziela,Carteira nominal,TRUE,3,ESC_041,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,367,14,14,3,5,5,TRUE,Completa — cinco séries,FALSE,42.246632996633,45.978114478114485,55.4537037037037,0,35.919612794612796,34.54545454545455,Faixa 2 — intermediária inferior,39.483922558922565,Faixa 2 — intermediária inferior,42.1253367003367,Faixa 2 — intermediária inferior,31.508375420875424,Faixa 2 — intermediária inferior,10.56165824915825,11.494528619528621,13.863425925925926,0,0,Estável nos cenários,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,21.6808949259669,79.81348511272313,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
graziela,Carteira nominal,TRUE,4,ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,247,11,11,4,5,5,TRUE,Completa — cinco séries,FALSE,34.53114478114478,33.611111111111114,65.63299663299664,0,33.443813131313135,25.454545454545453,Faixa 2 — intermediária inferior,35.34183501683502,Faixa 2 — intermediária inferior,41.56220538720539,Faixa 2 — intermediária inferior,30.03670033670034,Faixa 2 — intermediária inferior,8.632786195286196,8.402777777777779,16.40824915824916,0,0,Estável nos cenários,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,20.18651488727688,100,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
jalize,Carteira nominal,TRUE,1,ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,677,27,27,4,5,5,TRUE,Completa — cinco séries,FALSE,97.54545454545455,62.61784511784512,48.109427609427605,0,52.06818181818182,92.72727272727273,Faixa 4 — maior carga potencial relativa,64.29452861952862,Faixa 4 — maior carga potencial relativa,54.407323232323236,Faixa 4 — maior carga potencial relativa,44.06001683501684,Faixa 4 — maior carga potencial relativa,24.386363636363637,15.65446127946128,12.027356902356901,0,0,Estável nos cenários,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,22.30698393239463,22.30698393239463,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
jalize,Carteira nominal,TRUE,2,ESC_014,43106382,EMEF EVARISTO GONCALVES NETTO,100,5,5,1,5,0,FALSE,Completa — cinco séries,FALSE,4.934343434343434,38.10437710437711,87.66180321735877,70,50.17513093901983,87.27272727272727,Faixa 4 — maior carga potencial relativa,39.5321922933034,Faixa 2 — intermediária inferior,56.077684249906476,Faixa 4 — maior carga potencial relativa,55.0231949120838,Faixa 4 — maior carga potencial relativa,1.2335858585858586,9.526094276094277,21.91545080433969,17.5,1,Sensibilidade moderada,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,21.495965493300098,43.80294942569473,rede_municipal_direta_ou_nao_classificada,vinculo_estadual_em_2025_a_confirmar,FALSE,FALSE
jalize,Carteira nominal,TRUE,3,ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,477,21,21,4,5,5,TRUE,Completa — cinco séries,FALSE,75.08080808080807,52.92255892255893,67.05050505050505,0,48.763468013468014,78.18181818181819,Faixa 4 — maior carga potencial relativa,56.673063973063975,Faixa 4 — maior carga potencial relativa,55.067003367003366,Faixa 4 — maior carga potencial relativa,42.363299663299664,Faixa 3 — intermediária superior,18.770202020202017,13.230639730639732,16.762626262626263,0,1,Sensibilidade moderada,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,20.89118266627145,64.69413209196618,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
