fonte,nome_original,chave_origem,chave_dimensao,nome_vinculo,assessora,metodo_correspondencia,observacao_correspondencia,id_escola,nome_canonico,codigo_inep,nome_inep,metodo_correspondencia_inep,status_codigo_inep
CAEd,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,andreia,exata_normalizada,,ESC_006,EMEF CAMPOS DO CRISTAL,43173713,EMEF CAMPOS DO CRISTAL,exata_normalizada,consolidado
Contexto CAEd,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,andreia,exata_normalizada,,ESC_006,EMEF CAMPOS DO CRISTAL,43173713,EMEF CAMPOS DO CRISTAL,exata_normalizada,consolidado
CAEd,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,ruti,exata_normalizada,,ESC_007,EMEF CHAPEU DO SOL,43187560,EMEF CHAPEU DO SOL,exata_normalizada,consolidado
Contexto CAEd,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,ruti,exata_normalizada,,ESC_007,EMEF CHAPEU DO SOL,43187560,EMEF CHAPEU DO SOL,exata_normalizada,consolidado
CAEd,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,eliane,exata_normalizada,,ESC_008,EMEF CHICO MENDES,43177581,EMEF CHICO MENDES,exata_normalizada,consolidado
Contexto CAEd,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,eliane,exata_normalizada,,ESC_008,EMEF CHICO MENDES,43177581,EMEF CHICO MENDES,exata_normalizada,consolidado
CAEd,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,nathalia,exata_normalizada,,ESC_009,EMEF DECIO MARTINS COSTA,43105475,EMEF DECIO MARTINS COSTA,exata_normalizada,consolidado
Contexto CAEd,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,nathalia,exata_normalizada,,ESC_009,EMEF DECIO MARTINS COSTA,43105475,EMEF DECIO MARTINS COSTA,exata_normalizada,consolidado
CAEd,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,exata_normalizada,,ESC_010,EMEF DEP MARCIRIO GOULART LOUREIRO,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,exata_normalizada,consolidado
Contexto CAEd,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,exata_normalizada,,ESC_010,EMEF DEP MARCIRIO GOULART LOUREIRO,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,exata_normalizada,consolidado
CAEd,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,clarissa,exata_normalizada,,ESC_011,EMEF DEP VICTOR ISSLER,43109225,EMEF DEP VICTOR ISSLER,exata_normalizada,consolidado
Contexto CAEd,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,clarissa,exata_normalizada,,ESC_011,EMEF DEP VICTOR ISSLER,43109225,EMEF DEP VICTOR ISSLER,exata_normalizada,consolidado
CAEd,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,jalize,exata_normalizada,,ESC_012,EMEF DOLORES ALCARAZ CALDAS,43105483,EMEF DOLORES ALCARAZ CALDAS,exata_normalizada,consolidado
Contexto CAEd,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,jalize,exata_normalizada,,ESC_012,EMEF DOLORES ALCARAZ CALDAS,43105483,EMEF DOLORES ALCARAZ CALDAS,exata_normalizada,consolidado
CAEd,EMEF ESPIRITO SANTO,EMEF ESPIRITO SANTO,EMEF ESPIRITO SANTO,EMEF ESPIRITO SANTO,priscila,exata_normalizada,,ESC_013,EMEF ESPIRITO SANTO,43106331,ESC EST ENS FUN ESPIRITO SANTO,aceite_manual,consolidado
Contexto CAEd,EMEF ESPIRITO SANTO,EMEF ESPIRITO SANTO,EMEF ESPIRITO SANTO,EMEF ESPIRITO SANTO,priscila,exata_normalizada,,ESC_013,EMEF ESPIRITO SANTO,43106331,ESC EST ENS FUN ESPIRITO SANTO,aceite_manual,consolidado
CAEd,EMEF EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,jalize,exata_normalizada,,ESC_014,EMEF EVARISTO GONCALVES NETTO,43106382,ESC EST ENS FUN EVARISTO GONCALVES NETTO,aceite_manual,consolidado
Contexto CAEd,EMEF EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,jalize,exata_normalizada,,ESC_014,EMEF EVARISTO GONCALVES NETTO,43106382,ESC EST ENS FUN EVARISTO GONCALVES NETTO,aceite_manual,consolidado
CAEd,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,amanda,exata_normalizada,,ESC_015,EMEF GABRIEL OBINO,43109233,EMEF GABRIEL OBINO,exata_normalizada,consolidado
Contexto CAEd,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,amanda,exata_normalizada,,ESC_015,EMEF GABRIEL OBINO,43109233,EMEF GABRIEL OBINO,exata_normalizada,consolidado
CAEd,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,clarissa,exata_normalizada,,ESC_016,EMEF GOV ILDO MENEGHETTI,43107508,EMEF GOV ILDO MENEGHETTI,exata_normalizada,consolidado
Contexto CAEd,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,clarissa,exata_normalizada,,ESC_016,EMEF GOV ILDO MENEGHETTI,43107508,EMEF GOV ILDO MENEGHETTI,exata_normalizada,consolidado
CAEd,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,andreia,exata_normalizada,,ESC_017,EMEF GRANDE ORIENTE DO RGS,43108571,EMEF GRANDE ORIENTE DO RGS,exata_normalizada,consolidado
Contexto CAEd,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,andreia,exata_normalizada,,ESC_017,EMEF GRANDE ORIENTE DO RGS,43108571,EMEF GRANDE ORIENTE DO RGS,exata_normalizada,consolidado
CAEd,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,jalize,exata_normalizada,,ESC_018,EMEF HEITOR VILLA LOBOS,43105548,EMEF HEITOR VILLA LOBOS,exata_normalizada,consolidado
Contexto CAEd,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,jalize,exata_normalizada,,ESC_018,EMEF HEITOR VILLA LOBOS,43105548,EMEF HEITOR VILLA LOBOS,exata_normalizada,consolidado
CAEd,EMEF JEAN PIAGET,EMEF JEAN PIAGET,EMEF JEAN PIAGET,EMEF JEAN PIAGET,clarissa,exata_normalizada,,ESC_019,EMEF JEAN PIAGET,43172474,EMEF JEAN PIAGET,exata_normalizada,consolidado
Contexto CAEd,EMEF JEAN PIAGET,EMEF JEAN PIAGET,EMEF JEAN PIAGET,EMEF JEAN PIAGET,clarissa,exata_normalizada,,ESC_019,EMEF JEAN PIAGET,43172474,EMEF JEAN PIAGET,exata_normalizada,consolidado
CAEd,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,eliane,exata_normalizada,,ESC_020,EMEF JOAO ANTONIO SATTE,43109217,EMEF JOAO ANTONIO SATTE,exata_normalizada,consolidado
Contexto CAEd,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,eliane,exata_normalizada,,ESC_020,EMEF JOAO ANTONIO SATTE,43109217,EMEF JOAO ANTONIO SATTE,exata_normalizada,consolidado
CAEd,EMEF JOAO CARLOS D AVILA PAIXAO CORTES (LACADOR),EMEF JOAO CARLOS D AVILA PAIXAO CORTES LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,validada_manualmente,,ESC_021,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,aceite_manual,consolidado
CAEd,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,exata_normalizada,,ESC_021,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,aceite_manual,consolidado
Contexto CAEd,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,exata_normalizada,,ESC_021,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,aceite_manual,consolidado
CAEd,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,jalize,exata_normalizada,,ESC_022,EMEF JOSE LOUREIRO DA SILVA,43105491,EMEF JOSE LOUREIRO DA SILVA,exata_normalizada,consolidado
Contexto CAEd,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,jalize,exata_normalizada,,ESC_022,EMEF JOSE LOUREIRO DA SILVA,43105491,EMEF JOSE LOUREIRO DA SILVA,exata_normalizada,consolidado
CAEd,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,nathalia,exata_normalizada,,ESC_023,EMEF JOSE MARIANO BECK,43169490,EMEF JOSE MARIANO BECK,exata_normalizada,consolidado
Contexto CAEd,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,nathalia,exata_normalizada,,ESC_023,EMEF JOSE MARIANO BECK,43169490,EMEF JOSE MARIANO BECK,exata_normalizada,consolidado
CAEd,EMEF LAURO RODRIGUES,EMEF LAURO RODRIGUES,EMEF LAURO RODRIGUES,EMEF LAURO RODRIGUES,clarissa,exata_normalizada,,ESC_024,EMEF LAURO RODRIGUES,43109209,EMEF LAURO RODRIGUES,exata_normalizada,consolidado
Contexto CAEd,EMEF LAURO RODRIGUES,EMEF LAURO RODRIGUES,EMEF LAURO RODRIGUES,EMEF LAURO RODRIGUES,clarissa,exata_normalizada,,ESC_024,EMEF LAURO RODRIGUES,43109209,EMEF LAURO RODRIGUES,exata_normalizada,consolidado
CAEd,EMEF LEOCADIA FELIZARDO PRESTES,EMEF LEOCADIA FELIZARDO PRESTES,EMEF LEOCADIA FELIZARDO PRESTES,EMEF LEOCADIA FELIZARDO PRESTES,graziela,exata_normalizada,,ESC_025,EMEF LEOCADIA FELIZARDO PRESTES,43109063,EMEF LEOCADIA FELIZARDO PRESTES,exata_normalizada,consolidado
Contexto CAEd,EMEF LEOCADIA FELIZARDO PRESTES,EMEF LEOCADIA FELIZARDO PRESTES,EMEF LEOCADIA FELIZARDO PRESTES,EMEF LEOCADIA FELIZARDO PRESTES,graziela,exata_normalizada,,ESC_025,EMEF LEOCADIA FELIZARDO PRESTES,43109063,EMEF LEOCADIA FELIZARDO PRESTES,exata_normalizada,consolidado
CAEd,EMEF LIDOVINO FANTON,EMEF LIDOVINO FANTON,EMEF LIDOVINO FANTON,EMEF LIDOVINO FANTON,julia,exata_normalizada,,ESC_026,EMEF LIDOVINO FANTON,43109144,EMEF LIDOVINO FANTON,exata_normalizada,consolidado
Contexto CAEd,EMEF LIDOVINO FANTON,EMEF LIDOVINO FANTON,EMEF LIDOVINO FANTON,EMEF LIDOVINO FANTON,julia,exata_normalizada,,ESC_026,EMEF LIDOVINO FANTON,43109144,EMEF LIDOVINO FANTON,exata_normalizada,consolidado
CAEd,EMEF MARIO QUINTANA,EMEF MARIO QUINTANA,EMEF MARIO QUINTANA,EMEF MARIO QUINTANA,ruti,exata_normalizada,,ESC_027,EMEF MARIO QUINTANA,43183018,EMEF MARIO QUINTANA,exata_normalizada,consolidado
Contexto CAEd,EMEF MARIO QUINTANA,EMEF MARIO QUINTANA,EMEF MARIO QUINTANA,EMEF MARIO QUINTANA,ruti,exata_normalizada,,ESC_027,EMEF MARIO QUINTANA,43183018,EMEF MARIO QUINTANA,exata_normalizada,consolidado
CAEd,EMEF MIGRANTES,EMEF MIGRANTES,EMEF MIGRANTES,EMEF MIGRANTES,nathalia,exata_normalizada,,ESC_028,EMEF MIGRANTES,43177018,EMEF MIGRANTES,exata_normalizada,consolidado
Contexto CAEd,EMEF MIGRANTES,EMEF MIGRANTES,EMEF MIGRANTES,EMEF MIGRANTES,nathalia,exata_normalizada,,ESC_028,EMEF MIGRANTES,43177018,EMEF MIGRANTES,exata_normalizada,consolidado
CAEd,EMEF MORADAS DA HIPICA,EMEF MORADAS DA HIPICA,EMEF MORADAS DA HIPICA,EMEF MORADAS DA HIPICA,amanda,exata_normalizada,,ESC_029,EMEF MORADAS DA HIPICA,43293069,EMEF MORADAS DA HIPICA,exata_normalizada,consolidado
Contexto CAEd,EMEF MORADAS DA HIPICA,EMEF MORADAS DA HIPICA,EMEF MORADAS DA HIPICA,EMEF MORADAS DA HIPICA,amanda,exata_normalizada,,ESC_029,EMEF MORADAS DA HIPICA,43293069,EMEF MORADAS DA HIPICA,exata_normalizada,consolidado
CAEd,EMEF MORRO DA CRUZ,EMEF MORRO DA CRUZ,EMEF MORRO DA CRUZ,EMEF MORRO DA CRUZ,andreia,exata_normalizada,,ESC_030,EMEF MORRO DA CRUZ,43177034,EMEF MORRO DA CRUZ,exata_normalizada,consolidado
Contexto CAEd,EMEF MORRO DA CRUZ,EMEF MORRO DA CRUZ,EMEF MORRO DA CRUZ,EMEF MORRO DA CRUZ,andreia,exata_normalizada,,ESC_030,EMEF MORRO DA CRUZ,43177034,EMEF MORRO DA CRUZ,exata_normalizada,consolidado
CAEd,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,julia,exata_normalizada,,ESC_031,EMEF NEUSA GOULART BRIZOLA,43177042,EMEF NEUSA GOULART BRIZOLA,exata_normalizada,consolidado
Contexto CAEd,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,julia,exata_normalizada,,ESC_031,EMEF NEUSA GOULART BRIZOLA,43177042,EMEF NEUSA GOULART BRIZOLA,exata_normalizada,consolidado
CAEd,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,amanda,exata_normalizada,,ESC_032,EMEF NOSSA SENHORA DE FATIMA,43105513,EMEF NOSSA SENHORA DE FATIMA,exata_normalizada,consolidado
Contexto CAEd,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,amanda,exata_normalizada,,ESC_032,EMEF NOSSA SENHORA DE FATIMA,43105513,EMEF NOSSA SENHORA DE FATIMA,exata_normalizada,consolidado
CAEd,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,amanda,exata_normalizada,,ESC_033,EMEF NOSSA SENHORA DO CARMO,43204643,EMEF NOSSA SENHORA DO CARMO,exata_normalizada,consolidado
Contexto CAEd,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,amanda,exata_normalizada,,ESC_033,EMEF NOSSA SENHORA DO CARMO,43204643,EMEF NOSSA SENHORA DO CARMO,exata_normalizada,consolidado
CAEd,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,nathalia,exata_normalizada,,ESC_034,EMEF PEPITA DE LEAO,43105521,EMEF PEPITA DE LEAO,exata_normalizada,consolidado
Contexto CAEd,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,nathalia,exata_normalizada,,ESC_034,EMEF PEPITA DE LEAO,43105521,EMEF PEPITA DE LEAO,exata_normalizada,consolidado
CAEd,EMEF PORTO NOVO,EMEF PORTO NOVO,EMEF PORTO NOVO,EMEF PORTO NOVO,marian,exata_normalizada,,ESC_035,EMEF PORTO NOVO,43048200,EMEF PORTO NOVO,exata_normalizada,consolidado
Contexto CAEd,EMEF PORTO NOVO,EMEF PORTO NOVO,EMEF PORTO NOVO,EMEF PORTO NOVO,marian,exata_normalizada,,ESC_035,EMEF PORTO NOVO,43048200,EMEF PORTO NOVO,exata_normalizada,consolidado
CAEd,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,exata_normalizada,,ESC_036,EMEF PRES JOAO BELCHIOR MARQUES GOULART,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,exata_normalizada,consolidado
Contexto CAEd,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,exata_normalizada,,ESC_036,EMEF PRES JOAO BELCHIOR MARQUES GOULART,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,exata_normalizada,consolidado
CAEd,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,eliane,exata_normalizada,,ESC_037,EMEF PRESIDENTE VARGAS,43105530,EMEF PRESIDENTE VARGAS,exata_normalizada,consolidado
Contexto CAEd,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,eliane,exata_normalizada,,ESC_037,EMEF PRESIDENTE VARGAS,43105530,EMEF PRESIDENTE VARGAS,exata_normalizada,consolidado
CAEd,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,eliane,exata_normalizada,,ESC_038,EMEF PROF ANA IRIS DO AMARAL,43109195,EMEF PROF ANA IRIS DO AMARAL,exata_normalizada,consolidado
Contexto CAEd,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,eliane,exata_normalizada,,ESC_038,EMEF PROF ANA IRIS DO AMARAL,43109195,EMEF PROF ANA IRIS DO AMARAL,exata_normalizada,consolidado
CAEd,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,andreia,exata_normalizada,,ESC_039,EMEF PROF ANISIO TEIXEIRA,43172490,EMEF PROF ANISIO TEIXEIRA,exata_normalizada,consolidado
Contexto CAEd,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,andreia,exata_normalizada,,ESC_039,EMEF PROF ANISIO TEIXEIRA,43172490,EMEF PROF ANISIO TEIXEIRA,exata_normalizada,consolidado
CAEd,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,exata_normalizada,,ESC_040,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,exata_normalizada,consolidado
Contexto CAEd,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,exata_normalizada,,ESC_040,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,exata_normalizada,consolidado
CAEd,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,graziela,exata_normalizada,,ESC_041,EMEF PROF JUDITH MACEDO DE ARAUJO,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,exata_normalizada,consolidado
Contexto CAEd,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,graziela,exata_normalizada,,ESC_041,EMEF PROF JUDITH MACEDO DE ARAUJO,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,exata_normalizada,consolidado
CAEd,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,exata_normalizada,,ESC_042,EMEF PROF LARRY JOSE RIBEIRO ALVES,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,exata_normalizada,consolidado
