base,ordem_coluna,variavel,classe_r,valores_ausentes,valores_distintos
analise_carteiras_assessoras,36,contribuicao_educacional_total,numeric,0,13
analise_carteiras_assessoras,37,contribuicao_administrativa_total,numeric,0,4
analise_carteiras_assessoras,38,numero_escolas_faixa_1,integer,0,4
analise_carteiras_assessoras,39,numero_escolas_faixa_2,integer,0,3
analise_carteiras_assessoras,40,numero_escolas_faixa_3,integer,0,3
analise_carteiras_assessoras,41,numero_escolas_faixa_4,integer,0,4
analise_carteiras_assessoras,42,percentual_escolas_faixa_4,numeric,0,7
analise_carteiras_assessoras,43,numero_escolas_faixas_3_4,integer,0,4
analise_carteiras_assessoras,44,percentual_escolas_faixas_3_4,numeric,0,8
analise_carteiras_assessoras,45,numero_escolas_complexidade_administrativa,integer,0,3
analise_carteiras_assessoras,46,numero_escolas_interpretacao_cautelosa,integer,0,2
analise_carteiras_assessoras,47,numero_escolas_sensibilidade_elevada,integer,0,4
analise_carteiras_assessoras,48,numero_escolas_alerta_composicao,integer,0,6
analise_carteiras_assessoras,49,numero_escolas_participacao_2026_abaixo_80,integer,0,3
analise_carteiras_assessoras,50,numero_escolas_leitura_detalhada,integer,0,5
analise_carteiras_assessoras,51,participacao_maior_escola_carga_total_pct,numeric,0,13
analise_carteiras_assessoras,52,participacao_duas_maiores_escolas_carga_total_pct,numeric,0,12
analise_carteiras_assessoras,53,hhi_concentracao_carga_interna,numeric,0,13
analise_carteiras_assessoras,54,nome_escola_maior_indice,character,0,13
analise_carteiras_assessoras,55,maior_indice_escola,numeric,0,13
analise_carteiras_assessoras,56,participacao_volume_contribuicoes_pct,numeric,0,13
analise_carteiras_assessoras,57,participacao_estrutural_contribuicoes_pct,numeric,0,13
analise_carteiras_assessoras,58,participacao_educacional_contribuicoes_pct,numeric,0,13
analise_carteiras_assessoras,59,participacao_administrativa_contribuicoes_pct,numeric,0,6
analise_carteiras_assessoras,60,participacao_escolas_rede_pct,numeric,0,5
analise_carteiras_assessoras,61,participacao_matriculas_rede_pct,numeric,0,13
analise_carteiras_assessoras,62,participacao_turmas_rede_pct,numeric,1,11
analise_carteiras_assessoras,63,participacao_carga_potencial_rede_pct,numeric,0,13
analise_carteiras_assessoras,64,razao_participacao_carga_sobre_escolas,numeric,0,13
analise_carteiras_assessoras,65,diferenca_escolas_referencia_nominal,numeric,2,3
analise_carteiras_assessoras,66,razao_matriculas_referencia_nominal,numeric,2,11
analise_carteiras_assessoras,67,razao_turmas_referencia_nominal,numeric,2,10
analise_carteiras_assessoras,68,razao_carga_potencial_referencia_nominal,numeric,2,11
analise_carteiras_assessoras,69,diferenca_carga_potencial_referencia_nominal,numeric,2,11
analise_carteiras_assessoras,70,percentil_carga_total_entre_carteiras_nominais,numeric,2,11
analise_carteiras_assessoras,71,faixa_carga_total_entre_carteiras_nominais,character,2,4
analise_carteiras_assessoras,72,percentil_indice_medio_entre_carteiras_nominais,numeric,2,11
analise_carteiras_assessoras,73,faixa_indice_medio_entre_carteiras_nominais,character,2,4
carteira_escola_detalhe,1,assessora_gerencial,character,0,13
carteira_escola_detalhe,2,tipo_carteira,character,0,3
carteira_escola_detalhe,3,carteira_nominal,logical,0,2
carteira_escola_detalhe,4,ordem_interna_carga_potencial,integer,0,6
carteira_escola_detalhe,5,id_escola,character,0,56
carteira_escola_detalhe,6,codigo_inep,character,0,56
carteira_escola_detalhe,7,nome_canonico,character,0,56
carteira_escola_detalhe,8,matriculas_anos_iniciais,numeric,0,51
carteira_escola_detalhe,9,turmas_anos_iniciais,numeric,0,20
carteira_escola_detalhe,10,turmas_anos_iniciais_validas,numeric,1,19
carteira_escola_detalhe,11,numero_etapas_amplas_ofertadas,numeric,0,4
carteira_escola_detalhe,12,numero_series_resultado_2026,integer,0,2
carteira_escola_detalhe,13,numero_series_comparaveis,integer,0,4
carteira_escola_detalhe,14,painel_completo_cinco_series,logical,0,2
carteira_escola_detalhe,15,qualidade_evidencia_educacional,character,0,2
carteira_escola_detalhe,16,interpretacao_educacional_cautelosa,logical,0,2
carteira_escola_detalhe,17,score_dimensao_volume,numeric,0,56
carteira_escola_detalhe,18,score_dimensao_estrutural,numeric,0,56
carteira_escola_detalhe,19,score_dimensao_educacional,numeric,0,56
