ordem_coluna,variavel,classe_r,valores_ausentes,valores_vazios_texto,percentual_ausente,valores_distintos
101,tipo_localizacao_diferenciada,numeric,0,0,0,1
102,tipo_situacao_funcionamento,numeric,0,0,0,1
103,poder_publico_parceria,numeric,0,0,0,2
104,tipo_poder_publico_parceria,numeric,265,0,94.64285714285714,1
105,conveniada_poder_publico,logical,280,0,100,0
106,tipo_convenio_poder_publico,logical,280,0,100,0
107,porte_anos_iniciais,character,0,0,0,4
108,quartil_porte_anos_iniciais,numeric,0,0,0,4
109,ano,integer,0,0,0,1
110,sigla_uf,character,0,0,0,1
111,id_municipio,numeric,0,0,0,1
112,vinculo_secretaria_educacao,numeric,15,0,5.357142857142857,1
113,etapa_ensino_infantil,numeric,0,0,0,2
114,etapa_ensino_fundamental,numeric,0,0,0,1
115,etapa_ensino_fundamental_anos_iniciais,numeric,0,0,0,1
116,etapa_ensino_fundamental_anos_finais,numeric,0,0,0,2
117,etapa_ensino_medio,numeric,0,0,0,2
118,etapa_ensino_eja,numeric,0,0,0,2
119,etapa_ensino_especial,numeric,0,0,0,2
120,quantidade_matricula_educacao_basica,numeric,0,0,0,55
121,quantidade_matricula_infantil,numeric,0,0,0,34
122,quantidade_matricula_fundamental,numeric,0,0,0,55
123,quantidade_matricula_fundamental_anos_iniciais,numeric,0,0,0,51
124,quantidade_matricula_fundamental_1_ano,numeric,0,0,0,41
125,quantidade_matricula_fundamental_2_ano,numeric,0,0,0,35
126,quantidade_matricula_fundamental_3_ano,numeric,0,0,0,43
127,quantidade_matricula_fundamental_4_ano,numeric,0,0,0,43
128,quantidade_matricula_fundamental_5_ano,numeric,0,0,0,44
129,quantidade_matricula_fundamental_anos_finais,numeric,0,0,0,50
130,quantidade_matricula_eja,numeric,0,0,0,26
131,quantidade_matricula_especial,numeric,0,0,0,45
132,quantidade_matricula_especial_comum,numeric,0,0,0,45
133,quantidade_matricula_especial_exclusiva,numeric,0,0,0,1
134,quantidade_matricula_feminino,numeric,0,0,0,51
135,quantidade_matricula_masculino,numeric,0,0,0,55
136,quantidade_matricula_branca,numeric,0,0,0,53
137,quantidade_matricula_preta,numeric,0,0,0,48
138,quantidade_matricula_parda,numeric,0,0,0,51
139,quantidade_matricula_amarela,numeric,0,0,0,5
140,quantidade_matricula_indigena,numeric,0,0,0,6
141,quantidade_matricula_nao_declarada,numeric,0,0,0,47
142,quantidade_matricula_fundamental_integral,numeric,0,0,0,36
143,quantidade_matricula_fundamental_anos_iniciais_integral,numeric,0,0,0,35
144,quantidade_matricula_fundamental_anos_finais_integral,numeric,0,0,0,34
145,quantidade_matricula_utiliza_transporte_publico,numeric,0,0,0,31
146,quantidade_docente_educacao_basica,numeric,0,0,0,39
147,quantidade_docente_fundamental,numeric,0,0,0,31
148,quantidade_docente_fundamental_anos_iniciais,numeric,0,0,0,26
149,quantidade_docente_fundamental_anos_finais,numeric,0,0,0,23
150,quantidade_docente_especial,numeric,0,0,0,37
151,quantidade_turma_educacao_basica,numeric,0,0,0,35
152,quantidade_turma_fundamental,numeric,0,0,0,29
153,quantidade_turma_fundamental_anos_iniciais,numeric,0,0,0,20
154,quantidade_turma_fundamental_anos_finais,numeric,0,0,0,16
155,quantidade_turma_fundamental_integral,numeric,0,0,0,8
156,quantidade_sala_existente,logical,280,0,100,0
157,quantidade_sala_utilizada,numeric,0,0,0,24
158,quantidade_sala_utilizada_climatizada,numeric,0,0,0,9
159,quantidade_sala_utilizada_acessivel,numeric,0,0,0,14
160,agua_potavel,numeric,0,0,0,1
161,agua_rede_publica,numeric,0,0,0,1
162,energia_rede_publica,numeric,0,0,0,1
163,esgoto_rede_publica,numeric,0,0,0,2
164,biblioteca,numeric,0,0,0,2
165,biblioteca_sala_leitura,numeric,0,0,0,2
166,sala_leitura,numeric,0,0,0,2
167,laboratorio_ciencias,numeric,0,0,0,2
168,laboratorio_informatica,numeric,0,0,0,2
169,quadra_esportes,numeric,0,0,0,2
170,quadra_esportes_coberta,numeric,0,0,0,2
171,internet,numeric,0,0,0,1
172,internet_aprendizagem,numeric,0,0,0,2
173,internet_alunos,numeric,0,0,0,2
174,acessibilidade_rampas,numeric,0,0,0,2
175,acessibilidade_corrimao,numeric,0,0,0,2
176,acessibilidade_pisos_tateis,numeric,0,0,0,2
177,acessibilidade_elevador,numeric,0,0,0,2
178,acessibilidade_inexistente,numeric,0,0,0,2
179,banheiro,numeric,0,0,0,1
180,banheiro_pne,numeric,0,0,0,2
181,cozinha,numeric,0,0,0,1
182,refeitorio,numeric,0,0,0,2
183,alimentacao,numeric,0,0,0,2
184,sala_atendimento_especial,numeric,0,0,0,2
185,quantidade_computador,logical,280,0,100,0
186,quantidade_computador_aluno,logical,280,0,100,0
187,quantidade_computador_portatil_aluno,numeric,0,0,0,45
188,quantidade_tablet_aluno,numeric,0,0,0,9
189,quantidade_profissional_bibliotecario,numeric,0,0,0,5
190,quantidade_profissional_coordenador,numeric,0,0,0,6
191,quantidade_profissional_psicologo,numeric,0,0,0,3
192,quantidade_profissional_assistente_social,numeric,0,0,0,5
193,quantidade_profissional_monitor,numeric,0,0,0,3
194,quantidade_profissional_pedagogia,numeric,0,0,0,12
195,oferta_educacao_infantil,logical,0,0,0,2
196,oferta_anos_iniciais,logical,0,0,0,1
197,oferta_anos_finais,logical,0,0,0,2
198,oferta_eja,logical,0,0,0,2
199,oferta_educacao_especial,logical,0,0,0,2
200,numero_itens_infraestrutura_disponiveis,numeric,0,0,0,1
201,numero_itens_infraestrutura_presentes,numeric,0,0,0,5
202,possui_espaco_leitura,logical,0,0,0,2
203,possui_recurso_acessibilidade,logical,0,0,0,2
204,codigo_situacao_funcionamento,numeric,0,0,0,1
205,codigo_rede_2024,numeric,0,0,0,3
206,alerta_sem_linha_2024,logical,0,0,0,1
207,alerta_sem_matriculas_anos_iniciais,logical,0,0,0,1
208,alerta_sem_turmas_anos_iniciais,logical,0,0,0,1
209,alerta_sem_docentes_anos_iniciais,logical,0,0,0,1
210,alerta_matriculas_sem_turmas,logical,0,0,0,2
211,alerta_matriculas_sem_docentes,logical,0,0,0,2
212,alerta_nao_ativa_2024,logical,0,0,0,1
213,caso_historico_administrativo,character,0,0,0,5
214,requer_revisao_tecnica,logical,0,0,0,2
215,motivo_revisao_tecnica,character,275,0,98.21428571428571,1
216,escola_ativa_2024,logical,0,0,0,1
217,vinculo_privado_explicito,logical,0,0,0,2
218,grupo_administrativo_2024,character,0,0,0,5
219,divergencia_censo_cadastro,logical,0,0,0,2
220,tipo_divergencia_administrativa,character,265,0,94.64285714285714,3
221,incluir_contexto_descritivo_2024,logical,0,0,0,2
222,motivo_nao_inclusao_universo_estrito,character,250,0,89.28571428571429,3
223,decisao_manual,character,0,0,0,3
224,tipo_vinculo_rede_corrigido,character,265,0,94.64285714285714,3
225,status_rede_2025_corrigido,character,265,0,94.64285714285714,2
226,observacao_manual,character,265,0,94.64285714285714,3
227,observacao_administrativa_final,character,0,0,0,7
228,utilizar_indicadores_matriculas,logical,0,0,0,1
229,utilizar_indicadores_turmas_docentes,logical,0,0,0,2
230,utilizar_indicadores_infraestrutura,logical,0,0,0,1
231,log_matriculas_anos_iniciais,numeric,0,0,0,51
