id_escola,codigo_inep,nome_canonico,ano,avaliacao_id,elegivel_assessoramento,recebe_assessoramento,assessora_gerencial,status_carga_operacional,fonte_validacao,data_validacao,responsavel_validacao,observacao_validacao,status_homologacao,versao_regra
ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,2026,1a_avaliacao_formativa,SIM,SIM,amanda,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,2026,1a_avaliacao_formativa,SIM,SIM,amanda,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_034,43105521,EMEF PEPITA DE LEAO,2026,1a_avaliacao_formativa,SIM,SIM,nathalia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_035,43048200,EMEF PORTO NOVO,2026,1a_avaliacao_formativa,SIM,SIM,marian,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_036,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,2026,1a_avaliacao_formativa,SIM,SIM,marian,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_037,43105530,EMEF PRESIDENTE VARGAS,2026,1a_avaliacao_formativa,SIM,SIM,eliane,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_038,43109195,EMEF PROF ANA IRIS DO AMARAL,2026,1a_avaliacao_formativa,SIM,SIM,eliane,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,2026,1a_avaliacao_formativa,SIM,SIM,andreia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_040,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,2026,1a_avaliacao_formativa,SIM,SIM,ruti,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_041,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,2026,1a_avaliacao_formativa,SIM,SIM,graziela,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,2026,1a_avaliacao_formativa,SIM,SIM,amanda,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_043,43293050,EMEF RINCAO,2026,1a_avaliacao_formativa,SIM,SIM,jalize,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_044,43167179,EMEF SAINT HILAIRE,2026,1a_avaliacao_formativa,SIM,SIM,andreia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_045,43167535,EMEF SAO PEDRO,2026,1a_avaliacao_formativa,SIM,SIM,marian,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_046,43107842,EMEF SEN ALBERTO PASQUALINI,2026,1a_avaliacao_formativa,SIM,SIM,julia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_047,43189253,EMEF TIMBAUVA,2026,1a_avaliacao_formativa,SIM,SIM,nathalia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_048,43172482,EMEF VER ANTONIO GIUDICE,2026,1a_avaliacao_formativa,SIM,SIM,clarissa,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_049,43109080,EMEF VER CARLOS PESSOA DE BRUM,2026,1a_avaliacao_formativa,SIM,SIM,priscila,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_050,43109101,EMEF VER MARTIM ARANHA,2026,1a_avaliacao_formativa,SIM,SIM,priscila,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_051,43175120,EMEF VILA MONTE CRISTO,2026,1a_avaliacao_formativa,SIM,SIM,graziela,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_052,43173721,EMEF WENCESLAU FONTOURA,2026,1a_avaliacao_formativa,SIM,SIM,eliane,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_053,43105246,EMEM EMILIO MEYER,2026,1a_avaliacao_formativa,SIM,SIM,ruti,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_054,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,2026,1a_avaliacao_formativa,SIM,SIM,julia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_055,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,2026,1a_avaliacao_formativa,NAO,NAO,,ZERO_OU_TENDENTE_A_ZERO,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_056,43189768,EEF ALDEIA LUMIAR,2026,1a_avaliacao_formativa,NAO,NAO,,ZERO_OU_TENDENTE_A_ZERO,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
