id_escola,codigo_inep,nome_canonico,assessora_gerencial,indice_equilibrado,faixa_equilibrado,indice_operacional,faixa_operacional,diferenca_operacional_equilibrado,indice_desafio_educacional,faixa_desafio_educacional,diferenca_desafio_equilibrado,indice_transicao_administrativa,faixa_transicao_administrativa,diferenca_transicao_equilibrado,numero_cenarios_com_mudanca_faixa,sensibilidade_faixa
ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,clarissa,54.34469696969697,Faixa 4 — maior carga potencial relativa,65.74848484848485,Faixa 4 — maior carga potencial relativa,11.403787878787881,58.52996632996633,Faixa 4 — maior carga potencial relativa,4.185269360269359,46.47070707070707,Faixa 4 — maior carga potencial relativa,-7.8739898989898975,0,Estável nos cenários
ESC_007,43187560,EMEF CHAPEU DO SOL,ruti,53.79692760942761,Faixa 4 — maior carga potencial relativa,63.70151515151515,Faixa 4 — maior carga potencial relativa,9.90458754208754,59.71582491582492,Faixa 4 — maior carga potencial relativa,5.918897306397305,46.49520202020202,Faixa 4 — maior carga potencial relativa,-7.30172558922559,0,Estável nos cenários
ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,jalize,52.06818181818182,Faixa 4 — maior carga potencial relativa,64.29452861952862,Faixa 4 — maior carga potencial relativa,12.2263468013468,54.407323232323236,Faixa 4 — maior carga potencial relativa,2.339141414141416,44.06001683501684,Faixa 4 — maior carga potencial relativa,-8.008164983164981,0,Estável nos cenários
ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,andreia,50.76494107744108,Faixa 4 — maior carga potencial relativa,57.895538720538724,Faixa 4 — maior carga potencial relativa,7.130597643097644,57.48122895622896,Faixa 4 — maior carga potencial relativa,6.716287878787881,44.02188552188552,Faixa 4 — maior carga potencial relativa,-6.743055555555557,0,Estável nos cenários
ESC_046,43107842,EMEF SEN ALBERTO PASQUALINI,julia,50.533670033670035,Faixa 4 — maior carga potencial relativa,59.179966329966334,Faixa 4 — maior carga potencial relativa,8.646296296296299,55.4452861952862,Faixa 4 — maior carga potencial relativa,4.911616161616166,43.34957912457912,Faixa 4 — maior carga potencial relativa,-7.184090909090912,0,Estável nos cenários
ESC_008,43177581,EMEF CHICO MENDES,eliane,50.11447811447812,Faixa 4 — maior carga potencial relativa,59.0946127946128,Faixa 4 — maior carga potencial relativa,8.980134680134682,55.91582491582491,Faixa 4 — maior carga potencial relativa,5.801346801346796,43.38960437710438,Faixa 4 — maior carga potencial relativa,-6.724873737373741,0,Estável nos cenários
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,49.936447811447806,Faixa 4 — maior carga potencial relativa,57.965067340067336,Faixa 4 — maior carga potencial relativa,8.02861952861953,57.13745791245791,Faixa 4 — maior carga potencial relativa,7.201010101010105,43.653114478114475,Faixa 4 — maior carga potencial relativa,-6.283333333333331,0,Estável nos cenários
ESC_052,43173721,EMEF WENCESLAU FONTOURA,eliane,46.80429292929293,Faixa 3 — intermediária superior,52.330976430976435,Faixa 3 — intermediária superior,5.526683501683507,52.809427609427615,Faixa 3 — intermediária superior,6.005134680134688,40.38619528619529,Faixa 3 — intermediária superior,-6.418097643097639,0,Estável nos cenários
ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,45.60079966329967,Faixa 3 — intermediária superior,52.50816498316499,Faixa 3 — intermediária superior,6.90736531986532,52.409680134680144,Faixa 3 — intermediária superior,6.808880471380476,39.89739057239058,Faixa 3 — intermediária superior,-5.703409090909091,0,Estável nos cenários
ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,amanda,45.582070707070706,Faixa 3 — intermediária superior,51.192676767676765,Faixa 3 — intermediária superior,5.6106060606060595,51.58156565656566,Faixa 3 — intermediária superior,5.999494949494952,39.416792929292924,Faixa 3 — intermediária superior,-6.165277777777781,0,Estável nos cenários
ESC_045,43167535,EMEF SAO PEDRO,marian,41.15530303030303,Faixa 3 — intermediária superior,50.023737373737376,Faixa 3 — intermediária superior,8.868434343434345,45.60084175084175,Faixa 3 — intermediária superior,4.445538720538721,35.699873737373736,Faixa 3 — intermediária superior,-5.455429292929296,0,Estável nos cenários
