id_escola,codigo_inep,nome_canonico,assessora,ano_escolar,componente,presente_2025,presente_2026,painel_balanceado,painel_resultado_balanceado,previstos_2025,previstos_2026,variacao_relativa_previstos,avaliados_2025,avaliados_2026,taxa_participacao_2025,taxa_participacao_2026,delta_participacao,proficiencia_media_2025,proficiencia_media_2026,delta_proficiencia,observacao_composicao
ESC_020,,EMEF JOAO ANTONIO SATTE,eliane,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,57,61,7.017543859649122,35,50,61.40350877192982,81.9672131147541,20.56370434282428,64.14285714285714,51.2,-12.942857142857136,Aumento de participação igual ou superior a 10 p.p.
ESC_047,,EMEF TIMBAUVA,nathalia,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,60,57,-5,47,56,78.33333333333333,98.24561403508773,19.9122807017544,72.08510638297872,70.46428571428571,-1.620820668693014,Aumento de participação igual ou superior a 10 p.p.
ESC_027,,EMEF MARIO QUINTANA,ruti,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,49,44,-10.204081632653061,46,34,93.87755102040816,77.27272727272727,-16.604823747680896,49,34.029411764705884,-14.970588235294116,Queda de participação igual ou superior a 10 p.p.
ESC_005,,EMEF ARAMY SILVA,priscila,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,82,78,-4.878048780487805,59,69,71.95121951219512,88.46153846153847,16.510318949343343,63.016949152542374,49.53623188405797,-13.480717268484405,Aumento de participação igual ou superior a 10 p.p.
ESC_052,,EMEF WENCESLAU FONTOURA,eliane,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,106,97,-8.49056603773585,82,91,77.35849056603773,93.81443298969072,16.455942423652985,53.829268292682926,63.68131868131868,9.852050388635751,Aumento de participação igual ou superior a 10 p.p.
ESC_019,,EMEF JEAN PIAGET,clarissa,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,77,58,-24.675324675324674,54,50,70.12987012987013,86.20689655172414,16.077026421854015,53.18518518518518,53.08,-0.10518518518518503,Mudança relevante no público previsto e aumento de participação
ESC_025,,EMEF LEOCADIA FELIZARDO PRESTES,graziela,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,53,49,-7.547169811320755,36,41,67.9245283018868,83.6734693877551,15.74894108586831,67.69444444444444,44.26829268292683,-23.426151761517616,Aumento de participação igual ou superior a 10 p.p.
ESC_048,,EMEF VER ANTONIO GIUDICE,clarissa,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,67,87,29.850746268656717,48,76,71.64179104477611,87.356321839080465,15.714530794304352,57.291666666666664,69.52631578947368,12.23464912280702,Mudança relevante no público previsto e aumento de participação
ESC_037,,EMEF PRESIDENTE VARGAS,eliane,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,46,47,2.1739130434782608,32,40,69.56521739130434,85.1063829787234,15.54116558741906,57.375,50.05,-7.325000000000003,Aumento de participação igual ou superior a 10 p.p.
ESC_018,,EMEF HEITOR VILLA LOBOS,jalize,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,96,76,-20.833333333333332,73,69,76.04166666666667,90.78947368421052,14.747807017543847,58.47945205479452,41.2463768115942,-17.233075243200318,Mudança relevante no público previsto e aumento de participação
ESC_051,,EMEF VILA MONTE CRISTO,graziela,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,87,83,-4.597701149425287,68,77,78.16091954022988,92.7710843373494,14.61016479711951,56.48529411764706,46.76623376623377,-9.71906035141329,Aumento de participação igual ou superior a 10 p.p.
ESC_053,,EMEM EMILIO MEYER,ruti,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,76,75,-1.3157894736842106,63,73,82.89473684210526,97.33333333333331,14.438596491228068,46.904761904761905,46.95890410958904,0.05414220482713716,Aumento de participação igual ou superior a 10 p.p.
ESC_010,,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,108,92,-14.814814814814815,74,76,68.51851851851852,82.6086956521739,14.090177133655388,32.486486486486484,44.94736842105263,12.460881934566146,Aumento de participação igual ou superior a 10 p.p.
ESC_003,,EMEF AFONSO GUERREIRO LIMA,graziela,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,97,81,-16.49484536082474,74,73,76.28865979381443,90.12345679012346,13.834796996309024,70.14864864864865,47.83561643835616,-22.313032210292484,Aumento de participação igual ou superior a 10 p.p.
ESC_029,,EMEF MORADAS DA HIPICA,amanda,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,99,99,0,79,92,79.79797979797979,92.92929292929291,13.131313131313137,71.15189873417721,86.32608695652173,15.174188222344526,Aumento de participação igual ou superior a 10 p.p.
ESC_002,,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,88,81,-7.954545454545454,69,74,78.4090909090909,91.35802469135804,12.94893378226712,65.71014492753623,38.08108108108108,-27.629063846455153,Aumento de participação igual ou superior a 10 p.p.
