fonte,ano,ano_escolar,nome_original,nome_sem_codigo,chave_nome,arquivo_origem,nome_vinculo_original,assessora,status_correspondencia
CAEd,2025,1,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,EMEF CAMPOS DO CRISTAL,andreia,exata_normalizada
CAEd,2025,2,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,EMEF CAMPOS DO CRISTAL,andreia,exata_normalizada
CAEd,2025,3,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,EMEF CAMPOS DO CRISTAL,andreia,exata_normalizada
CAEd,2025,4,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,EMEF CAMPOS DO CRISTAL,andreia,exata_normalizada
CAEd,2025,5,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,EMEF CAMPOS DO CRISTAL,andreia,exata_normalizada
CAEd,2026,1,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,EMEF CAMPOS DO CRISTAL,andreia,exata_normalizada
CAEd,2026,2,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,EMEF CAMPOS DO CRISTAL,andreia,exata_normalizada
CAEd,2026,3,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,EMEF CAMPOS DO CRISTAL,andreia,exata_normalizada
CAEd,2026,4,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,EMEF CAMPOS DO CRISTAL,andreia,exata_normalizada
CAEd,2026,5,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,EMEF CAMPOS DO CRISTAL,andreia,exata_normalizada
CAEd,2025,1,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,EMEF CHAPEU DO SOL,ruti,exata_normalizada
CAEd,2025,2,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,EMEF CHAPEU DO SOL,ruti,exata_normalizada
CAEd,2025,3,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,EMEF CHAPEU DO SOL,ruti,exata_normalizada
CAEd,2025,4,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,EMEF CHAPEU DO SOL,ruti,exata_normalizada
CAEd,2025,5,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,EMEF CHAPEU DO SOL,ruti,exata_normalizada
CAEd,2026,1,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,EMEF CHAPEU DO SOL,ruti,exata_normalizada
CAEd,2026,2,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,EMEF CHAPEU DO SOL,ruti,exata_normalizada
CAEd,2026,3,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,EMEF CHAPEU DO SOL,ruti,exata_normalizada
CAEd,2026,4,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,EMEF CHAPEU DO SOL,ruti,exata_normalizada
CAEd,2026,5,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,EMEF CHAPEU DO SOL,ruti,exata_normalizada
CAEd,2025,1,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,EMEF CHICO MENDES,eliane,exata_normalizada
CAEd,2025,2,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,EMEF CHICO MENDES,eliane,exata_normalizada
CAEd,2025,3,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,EMEF CHICO MENDES,eliane,exata_normalizada
CAEd,2025,4,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,EMEF CHICO MENDES,eliane,exata_normalizada
CAEd,2025,5,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,EMEF CHICO MENDES,eliane,exata_normalizada
CAEd,2026,1,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,EMEF CHICO MENDES,eliane,exata_normalizada
CAEd,2026,2,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,EMEF CHICO MENDES,eliane,exata_normalizada
CAEd,2026,3,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,EMEF CHICO MENDES,eliane,exata_normalizada
CAEd,2026,4,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,EMEF CHICO MENDES,eliane,exata_normalizada
CAEd,2026,5,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,EMEF CHICO MENDES,eliane,exata_normalizada
CAEd,2025,1,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,EMEF DECIO MARTINS COSTA,nathalia,exata_normalizada
CAEd,2025,2,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,EMEF DECIO MARTINS COSTA,nathalia,exata_normalizada
CAEd,2025,3,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,EMEF DECIO MARTINS COSTA,nathalia,exata_normalizada
