id_escola,codigo_inep,nome_canonico,tipo_ficha,assessora_gerencial_2026,status_geracao,mensagem_erro,arquivo_html,arquivo_grafico_operacional,arquivo_grafico_participacao,arquivo_grafico_proficiencia,html_existe,grafico_operacional_existe,grafico_participacao_existe,grafico_proficiencia_existe
ESC_011,43109225,EMEF DEP VICTOR ISSLER,OPERACIONAL,clarissa,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_011_emef-dep-victor-issler.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_011_emef-dep-victor-issler_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_011_emef-dep-victor-issler_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_011_emef-dep-victor-issler_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,OPERACIONAL,jalize,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_012_emef-dolores-alcaraz-caldas.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_012_emef-dolores-alcaraz-caldas_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_012_emef-dolores-alcaraz-caldas_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_012_emef-dolores-alcaraz-caldas_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_013,43106331,EMEF ESPIRITO SANTO,OPERACIONAL,priscila,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_013_emef-espirito-santo.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_013_emef-espirito-santo_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_013_emef-espirito-santo_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_013_emef-espirito-santo_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_014,43106382,EMEF EVARISTO GONCALVES NETTO,OPERACIONAL,jalize,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_014_emef-evaristo-goncalves-netto.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_014_emef-evaristo-goncalves-netto_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_014_emef-evaristo-goncalves-netto_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_014_emef-evaristo-goncalves-netto_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_015,43109233,EMEF GABRIEL OBINO,OPERACIONAL,amanda,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_015_emef-gabriel-obino.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_015_emef-gabriel-obino_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_015_emef-gabriel-obino_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_015_emef-gabriel-obino_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,OPERACIONAL,clarissa,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_016_emef-gov-ildo-meneghetti.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_016_emef-gov-ildo-meneghetti_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_016_emef-gov-ildo-meneghetti_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_016_emef-gov-ildo-meneghetti_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,OPERACIONAL,andreia,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_017_emef-grande-oriente-do-rgs.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_017_emef-grande-oriente-do-rgs_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_017_emef-grande-oriente-do-rgs_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_017_emef-grande-oriente-do-rgs_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_018,43105548,EMEF HEITOR VILLA LOBOS,OPERACIONAL,jalize,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_018_emef-heitor-villa-lobos.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_018_emef-heitor-villa-lobos_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_018_emef-heitor-villa-lobos_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_018_emef-heitor-villa-lobos_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_019,43172474,EMEF JEAN PIAGET,OPERACIONAL,clarissa,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_019_emef-jean-piaget.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_019_emef-jean-piaget_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_019_emef-jean-piaget_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_019_emef-jean-piaget_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,OPERACIONAL,eliane,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_020_emef-joao-antonio-satte.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_020_emef-joao-antonio-satte_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_020_emef-joao-antonio-satte_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_020_emef-joao-antonio-satte_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,OPERACIONAL,julia,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_021_emef-joao-carlos-davila-paixao-cortes-lacador.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_021_emef-joao-carlos-davila-paixao-cortes-lacador_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_021_emef-joao-carlos-davila-paixao-cortes-lacador_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_021_emef-joao-carlos-davila-paixao-cortes-lacador_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,OPERACIONAL,jalize,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_022_emef-jose-loureiro-da-silva.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_022_emef-jose-loureiro-da-silva_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_022_emef-jose-loureiro-da-silva_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_022_emef-jose-loureiro-da-silva_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_023,43169490,EMEF JOSE MARIANO BECK,OPERACIONAL,nathalia,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_023_emef-jose-mariano-beck.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_023_emef-jose-mariano-beck_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_023_emef-jose-mariano-beck_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_023_emef-jose-mariano-beck_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_024,43109209,EMEF LAURO RODRIGUES,OPERACIONAL,clarissa,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_024_emef-lauro-rodrigues.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_024_emef-lauro-rodrigues_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_024_emef-lauro-rodrigues_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_024_emef-lauro-rodrigues_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,OPERACIONAL,graziela,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_025_emef-leocadia-felizardo-prestes.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_025_emef-leocadia-felizardo-prestes_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_025_emef-leocadia-felizardo-prestes_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_025_emef-leocadia-felizardo-prestes_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_026,43109144,EMEF LIDOVINO FANTON,OPERACIONAL,julia,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_026_emef-lidovino-fanton.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_026_emef-lidovino-fanton_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_026_emef-lidovino-fanton_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_026_emef-lidovino-fanton_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_027,43183018,EMEF MARIO QUINTANA,OPERACIONAL,ruti,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_027_emef-mario-quintana.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_027_emef-mario-quintana_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_027_emef-mario-quintana_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_027_emef-mario-quintana_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_028,43177018,EMEF MIGRANTES,OPERACIONAL,nathalia,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_028_emef-migrantes.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_028_emef-migrantes_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_028_emef-migrantes_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_028_emef-migrantes_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_029,43293069,EMEF MORADAS DA HIPICA,OPERACIONAL,amanda,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_029_emef-moradas-da-hipica.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_029_emef-moradas-da-hipica_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_029_emef-moradas-da-hipica_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_029_emef-moradas-da-hipica_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_030,43177034,EMEF MORRO DA CRUZ,OPERACIONAL,andreia,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_030_emef-morro-da-cruz.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_030_emef-morro-da-cruz_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_030_emef-morro-da-cruz_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_030_emef-morro-da-cruz_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,OPERACIONAL,julia,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_031_emef-neusa-goulart-brizola.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_031_emef-neusa-goulart-brizola_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_031_emef-neusa-goulart-brizola_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_031_emef-neusa-goulart-brizola_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,OPERACIONAL,amanda,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_032_emef-nossa-senhora-de-fatima.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_032_emef-nossa-senhora-de-fatima_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_032_emef-nossa-senhora-de-fatima_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_032_emef-nossa-senhora-de-fatima_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,OPERACIONAL,amanda,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_033_emef-nossa-senhora-do-carmo.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_033_emef-nossa-senhora-do-carmo_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_033_emef-nossa-senhora-do-carmo_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_033_emef-nossa-senhora-do-carmo_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_034,43105521,EMEF PEPITA DE LEAO,OPERACIONAL,nathalia,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_034_emef-pepita-de-leao.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_034_emef-pepita-de-leao_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_034_emef-pepita-de-leao_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_034_emef-pepita-de-leao_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_035,43048200,EMEF PORTO NOVO,OPERACIONAL,marian,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_035_emef-porto-novo.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_035_emef-porto-novo_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_035_emef-porto-novo_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_035_emef-porto-novo_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_036,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,OPERACIONAL,marian,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_036_emef-pres-joao-belchior-marques-goulart.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_036_emef-pres-joao-belchior-marques-goulart_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_036_emef-pres-joao-belchior-marques-goulart_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_036_emef-pres-joao-belchior-marques-goulart_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_037,43105530,EMEF PRESIDENTE VARGAS,OPERACIONAL,eliane,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_037_emef-presidente-vargas.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_037_emef-presidente-vargas_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_037_emef-presidente-vargas_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_037_emef-presidente-vargas_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_038,43109195,EMEF PROF ANA IRIS DO AMARAL,OPERACIONAL,eliane,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_038_emef-prof-ana-iris-do-amaral.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_038_emef-prof-ana-iris-do-amaral_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_038_emef-prof-ana-iris-do-amaral_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_038_emef-prof-ana-iris-do-amaral_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,OPERACIONAL,andreia,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_039_emef-prof-anisio-teixeira.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_039_emef-prof-anisio-teixeira_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_039_emef-prof-anisio-teixeira_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_039_emef-prof-anisio-teixeira_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_040,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,OPERACIONAL,ruti,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_040_emef-prof-gilberto-jorge-goncalves-da-silva.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_040_emef-prof-gilberto-jorge-goncalves-da-silva_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_040_emef-prof-gilberto-jorge-goncalves-da-silva_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_040_emef-prof-gilberto-jorge-goncalves-da-silva_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_041,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,OPERACIONAL,graziela,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_041_emef-prof-judith-macedo-de-araujo.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_041_emef-prof-judith-macedo-de-araujo_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_041_emef-prof-judith-macedo-de-araujo_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_041_emef-prof-judith-macedo-de-araujo_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,OPERACIONAL,amanda,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_042_emef-prof-larry-jose-ribeiro-alves.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_042_emef-prof-larry-jose-ribeiro-alves_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_042_emef-prof-larry-jose-ribeiro-alves_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_042_emef-prof-larry-jose-ribeiro-alves_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_043,43293050,EMEF RINCAO,OPERACIONAL,jalize,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_043_emef-rincao.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_043_emef-rincao_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_043_emef-rincao_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_043_emef-rincao_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_044,43167179,EMEF SAINT HILAIRE,OPERACIONAL,andreia,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_044_emef-saint-hilaire.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_044_emef-saint-hilaire_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_044_emef-saint-hilaire_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_044_emef-saint-hilaire_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_045,43167535,EMEF SAO PEDRO,OPERACIONAL,marian,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_045_emef-sao-pedro.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_045_emef-sao-pedro_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_045_emef-sao-pedro_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_045_emef-sao-pedro_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_046,43107842,EMEF SEN ALBERTO PASQUALINI,OPERACIONAL,julia,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_046_emef-sen-alberto-pasqualini.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_046_emef-sen-alberto-pasqualini_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_046_emef-sen-alberto-pasqualini_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_046_emef-sen-alberto-pasqualini_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_047,43189253,EMEF TIMBAUVA,OPERACIONAL,nathalia,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_047_emef-timbauva.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_047_emef-timbauva_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_047_emef-timbauva_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_047_emef-timbauva_proficiencia.png,TRUE,TRUE,TRUE,TRUE
ESC_048,43172482,EMEF VER ANTONIO GIUDICE,OPERACIONAL,clarissa,SUCESSO,,resultados/fichas_escolas/execucao_20260729_233939/html/ESC_048_emef-ver-antonio-giudice.html,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_048_emef-ver-antonio-giudice_dimensoes_operacionais.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_048_emef-ver-antonio-giudice_participacao.png,resultados/fichas_escolas/execucao_20260729_233939/graficos/ESC_048_emef-ver-antonio-giudice_proficiencia.png,TRUE,TRUE,TRUE,TRUE
