variavel_contexto,variavel_resultado,ano_escolar,numero_observacoes,correlacao
log_matriculas_anos_iniciais,delta_pct_adequado,5,52,-0.19381528542526463
log_matriculas_anos_iniciais,delta_pct_defasagem,1,54,-0.018499555950079856
log_matriculas_anos_iniciais,delta_pct_defasagem,2,53,-0.14331392832687073
log_matriculas_anos_iniciais,delta_pct_defasagem,3,53,0.11851174504449867
log_matriculas_anos_iniciais,delta_pct_defasagem,4,53,0.17094141077441294
log_matriculas_anos_iniciais,delta_pct_defasagem,5,52,0.26335830092510604
log_matriculas_anos_iniciais,delta_proficiencia,1,54,0.14814542503923975
log_matriculas_anos_iniciais,delta_proficiencia,2,53,0.1930813536529887
log_matriculas_anos_iniciais,delta_proficiencia,3,53,-0.12513445641725865
log_matriculas_anos_iniciais,delta_proficiencia,4,53,0.031139048371725722
log_matriculas_anos_iniciais,delta_proficiencia,5,52,-0.26811515034498057
log_matriculas_anos_iniciais,pct_adequado_2025,1,54,-0.3747210958442665
log_matriculas_anos_iniciais,pct_adequado_2025,2,53,-0.5147896780232849
log_matriculas_anos_iniciais,pct_adequado_2025,3,53,-0.2940985103213921
log_matriculas_anos_iniciais,pct_adequado_2025,4,53,-0.3696209974186466
log_matriculas_anos_iniciais,pct_adequado_2025,5,52,0.04236682481205969
log_matriculas_anos_iniciais,proficiencia_media_2025,1,54,-0.3583482153910858
log_matriculas_anos_iniciais,proficiencia_media_2025,2,53,-0.5048756489416367
log_matriculas_anos_iniciais,proficiencia_media_2025,3,53,-0.342236176173839
log_matriculas_anos_iniciais,proficiencia_media_2025,4,53,-0.42810901196205653
log_matriculas_anos_iniciais,proficiencia_media_2025,5,52,-0.012354604984496378
log_matriculas_anos_iniciais,taxa_participacao_2025,1,54,-0.059144719061186915
log_matriculas_anos_iniciais,taxa_participacao_2025,2,53,-0.22540928548077152
log_matriculas_anos_iniciais,taxa_participacao_2025,3,53,-0.31085492811131105
log_matriculas_anos_iniciais,taxa_participacao_2025,4,53,-0.11125312948372328
log_matriculas_anos_iniciais,taxa_participacao_2025,5,52,0.06720746307699312
numero_etapas_amplas_ofertadas,delta_participacao,1,54,-0.1480548407934281
numero_etapas_amplas_ofertadas,delta_participacao,2,53,-0.055364681811593645
numero_etapas_amplas_ofertadas,delta_participacao,3,53,-0.23038898918559744
numero_etapas_amplas_ofertadas,delta_participacao,4,53,-0.014515123625231347
numero_etapas_amplas_ofertadas,delta_participacao,5,52,-0.1277093781730097
numero_etapas_amplas_ofertadas,delta_pct_adequado,1,54,-0.025910985781484562
numero_etapas_amplas_ofertadas,delta_pct_adequado,2,53,-0.1755539839902347
numero_etapas_amplas_ofertadas,delta_pct_adequado,3,53,0.04771710347850119
numero_etapas_amplas_ofertadas,delta_pct_adequado,4,53,0.003959662221106678
numero_etapas_amplas_ofertadas,delta_pct_adequado,5,52,-9.485459494017224e-4
numero_etapas_amplas_ofertadas,delta_pct_defasagem,1,54,0.12067273483558322
numero_etapas_amplas_ofertadas,delta_pct_defasagem,2,53,0.23202210087074265
numero_etapas_amplas_ofertadas,delta_pct_defasagem,3,53,0.1006135948264969
numero_etapas_amplas_ofertadas,delta_pct_defasagem,4,53,0.06752533042284899
numero_etapas_amplas_ofertadas,delta_pct_defasagem,5,52,0.009220103797866171
numero_etapas_amplas_ofertadas,delta_proficiencia,1,54,-0.07364307585539186
numero_etapas_amplas_ofertadas,delta_proficiencia,2,53,-0.22017383248152494
numero_etapas_amplas_ofertadas,delta_proficiencia,3,53,-0.03770826903365327
numero_etapas_amplas_ofertadas,delta_proficiencia,4,53,-0.010250889687253267
numero_etapas_amplas_ofertadas,delta_proficiencia,5,52,-4.6719371782696803e-4
numero_etapas_amplas_ofertadas,pct_adequado_2025,1,54,-0.0493062654303864
numero_etapas_amplas_ofertadas,pct_adequado_2025,2,53,-0.13297294283027689
numero_etapas_amplas_ofertadas,pct_adequado_2025,3,53,-0.4184279227843163
numero_etapas_amplas_ofertadas,pct_adequado_2025,4,53,-0.25204764542403335
numero_etapas_amplas_ofertadas,pct_adequado_2025,5,52,-0.2032426869814414
numero_etapas_amplas_ofertadas,proficiencia_media_2025,1,54,-0.04064923794197247
numero_etapas_amplas_ofertadas,proficiencia_media_2025,2,53,-0.10864343980487162
numero_etapas_amplas_ofertadas,proficiencia_media_2025,3,53,-0.37148008127204823
numero_etapas_amplas_ofertadas,proficiencia_media_2025,4,53,-0.30041300759814127
numero_etapas_amplas_ofertadas,proficiencia_media_2025,5,52,-0.27343642370452764
numero_etapas_amplas_ofertadas,taxa_participacao_2025,1,54,-0.12617065423526608
numero_etapas_amplas_ofertadas,taxa_participacao_2025,2,53,-0.23259573220020888
numero_etapas_amplas_ofertadas,taxa_participacao_2025,3,53,-0.11202925062880785
numero_etapas_amplas_ofertadas,taxa_participacao_2025,4,53,-0.3200040566062334
numero_etapas_amplas_ofertadas,taxa_participacao_2025,5,52,-0.14935868661272833
pct_matriculas_anos_iniciais_integral,delta_participacao,1,54,0.29086003045285713
pct_matriculas_anos_iniciais_integral,delta_participacao,2,53,-0.0909568795416936
pct_matriculas_anos_iniciais_integral,delta_participacao,3,53,0.40044095261622764
pct_matriculas_anos_iniciais_integral,delta_participacao,4,53,0.19710765706773695
pct_matriculas_anos_iniciais_integral,delta_participacao,5,52,0.06564219512706902
pct_matriculas_anos_iniciais_integral,delta_pct_adequado,1,54,-0.019582968030588118
pct_matriculas_anos_iniciais_integral,delta_pct_adequado,2,53,-0.04182454066572177
pct_matriculas_anos_iniciais_integral,delta_pct_adequado,3,53,0.3396664718662903
pct_matriculas_anos_iniciais_integral,delta_pct_adequado,4,53,0.02575314282865707
pct_matriculas_anos_iniciais_integral,delta_pct_adequado,5,52,0.1554147142128345
pct_matriculas_anos_iniciais_integral,delta_pct_defasagem,1,54,-0.012517862540592896
pct_matriculas_anos_iniciais_integral,delta_pct_defasagem,2,53,-0.06150312833328593
pct_matriculas_anos_iniciais_integral,delta_pct_defasagem,3,53,-0.2592691370784305
pct_matriculas_anos_iniciais_integral,delta_pct_defasagem,4,53,-0.054474147718437047
pct_matriculas_anos_iniciais_integral,delta_pct_defasagem,5,52,-0.3379592142772753
pct_matriculas_anos_iniciais_integral,delta_proficiencia,1,54,-2.611737106297693e-4
pct_matriculas_anos_iniciais_integral,delta_proficiencia,2,53,0.008066012813441083
pct_matriculas_anos_iniciais_integral,delta_proficiencia,3,53,0.30686844668608715
pct_matriculas_anos_iniciais_integral,delta_proficiencia,4,53,0.04315373815477754
pct_matriculas_anos_iniciais_integral,delta_proficiencia,5,52,0.29341641336932456
pct_matriculas_anos_iniciais_integral,pct_adequado_2025,1,54,0.06790895773846423
pct_matriculas_anos_iniciais_integral,pct_adequado_2025,2,53,0.2087059900426585
