dimensao_contextual,categoria,ano_escolar,numero_escolas,participacao_2025_media,proficiencia_2025_media,adequado_2025_media,defasagem_2025_media,delta_participacao_media,delta_proficiencia_media,delta_proficiencia_mediana,delta_adequado_media,delta_defasagem_media
Porte da escola,150 a 299 matrículas,3,14,78.59116923319934,56.783045506918334,41.55857326739053,30.676907294163488,10.073551316671018,2.3075516729716634,2.3538567969560695,6.34237964533929,-6.19866374819126
Porte da escola,300 a 499 matrículas,3,24,76.78499572102021,54.6319208176447,37.91097446224132,31.799150323234066,8.341438349869247,-5.386531466721999,-9.130934783373807,0.34189936355382067,2.270668237949038
Porte da escola,500 matrículas ou mais,3,12,75.46604206181561,46.940992065805126,31.158256563520084,42.143606387565626,6.142288988440553,-3.1541004346030035,-4.437006087640338,1.246183193797076,-1.1162751537688007
Porte da escola,Até 149 matrículas,4,3,78.88198757763975,79.33333333333333,65.33333333333333,12.333333333333334,15.854854527623411,-13.666666666666666,-13,-13,2
Porte da escola,150 a 299 matrículas,4,14,82.6104388093519,64.80073331298823,51.112460203663645,23.621538688729526,7.488500997105745,-3.053885610612546,-0.7449864498644985,-2.861457109387243,0.43243390213494454
Porte da escola,300 a 499 matrículas,4,24,79.06097801765513,60.487332912377234,46.58358591706296,27.252635220720652,9.806878299620033,-4.85954312266169,-5.312342268275401,-4.175766557563661,3.4782813980121827
Porte da escola,500 matrículas ou mais,4,12,80.50273019395563,55.39208748382419,41.871020275009954,31.788063796714127,6.238122516145644,-8.553680528074569,-8.791227388318628,-6.202786640352912,10.245855012210615
Porte da escola,Até 149 matrículas,5,2,67.29323308270676,48.5,34,31.5,21.694862155388474,16.5,16.5,5.5,-21.5
Porte da escola,150 a 299 matrículas,5,14,83.78877114792263,65.10177661113644,53.67935389540031,20.273346030833903,8.096787842876243,-2.5937446970045084,0.17463514746123465,-10.210192972693061,-0.5125906513450139
Porte da escola,300 a 499 matrículas,5,24,80.06390648026768,63.00358214367757,52.40994510962885,21.918620813553478,9.496733915343786,-1.853526786880248,-1.127183009091965,-9.61757284915619,-1.0037835738825194
Porte da escola,500 matrículas ou mais,5,12,82.03796269290505,58.66082215878656,47.37045790935937,25.991083514650903,4.49264006738888,-2.7902514650773576,-3.9194719471947153,-11.474197925983736,0.6142811794501248
Situação administrativa em 2024,Fora da rede municipal direta em 2024,1,4,82.69021739130434,72.77083333333333,65.73611111111111,15.840277777777779,2.7730525848783465,-33.218201754385966,-24.853070175438596,-47.65716374269006,29.120248538011698
Situação administrativa em 2024,Rede municipal direta em 2024,1,50,72.41111419353577,58.71215212604157,48.29156575976611,27.388714385327948,10.05564431913318,-26.207434565169127,-27.519503149766308,-31.92681592319652,27.61450963058226
Situação administrativa em 2024,Fora da rede municipal direta em 2024,2,3,69.98079877112136,66.6902286902287,52.86139986139986,22.544698544698544,23.221409648478375,-1.0560823487652744,-3,-4.739448641887667,-3.308926186974966
Situação administrativa em 2024,Rede municipal direta em 2024,2,50,77.62938483144458,59.905754757924065,44.53843598410665,28.985231514869934,8.268372429920788,-6.895796947672701,-1.644562668498839,-7.680356433450401,4.128311749416785
Situação administrativa em 2024,Fora da rede municipal direta em 2024,3,3,81.46113146113146,69.84242424242424,61.60606060606061,16.98787878787879,16.951566951566956,-2.055672105672104,-3,-8.114180264180266,-2.6579642579642577
Situação administrativa em 2024,Rede municipal direta em 2024,3,50,77.11915283206824,53.36094429873129,36.586055426395596,33.900626695568846,7.526672600999758,-2.716141336635811,-4.395970695970696,3.1951435467937186,-0.8064409690123635
Situação administrativa em 2024,Fora da rede municipal direta em 2024,4,3,87.50664540138224,76.90579710144928,67.52898550724638,13.695652173913043,4.160021265284423,-3.916549789621319,-9,-7.534361851332399,3.5892940626460956
Situação administrativa em 2024,Rede municipal direta em 2024,4,50,79.8833680922178,60.61787829560863,46.58891583278365,27.242691919566788,9.002921262622518,-5.825559009209742,-6.251954441074762,-4.622183020863741,4.154304122815414
Situação administrativa em 2024,Fora da rede municipal direta em 2024,5,3,84.32183908045977,75.66666666666667,62.266666666666666,6.333333333333333,12.257108287961282,-3.5370370370370368,1,-6.072222222222222,5.5
Situação administrativa em 2024,Rede municipal direta em 2024,5,49,80.82965413951501,61.17225938591042,50.18357412406141,23.79115808434222,8.200137224981182,-1.4422239818980869,-1.216395717684378,-9.841595070256929,-1.701953076298146
