entrada,modulo,caminho,md5_esperado,md5_observado,aprovado,observacao
componentes_indice_csv,modulo_17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_indice_carga_potencial.csv,7a853ba2c301265c6c308dabe72a2eea,7a853ba2c301265c6c308dabe72a2eea,TRUE,
componentes_indice_rds,modulo_17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_indice_carga_potencial.rds,b6e7dad6279590c3c492966fd4544708,b6e7dad6279590c3c492966fd4544708,TRUE,
componentes_educacionais_csv,modulo_17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.csv,c6a452965a7398de2ea6892e1113a833,c6a452965a7398de2ea6892e1113a833,TRUE,
componentes_educacionais_rds,modulo_17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.rds,37996354b10460a4d2bcc3969a7ed667,37996354b10460a4d2bcc3969a7ed667,TRUE,
analise_carteiras_csv,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/analise_carteiras_assessoras.csv,09a39c8ff8e99a2e08fa8dcaf1934c8d,09a39c8ff8e99a2e08fa8dcaf1934c8d,TRUE,
analise_carteiras_rds,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/analise_carteiras_assessoras.rds,fd5e0f3a600d7effe9fb49b8f94ae43a,fd5e0f3a600d7effe9fb49b8f94ae43a,TRUE,
detalhe_carteiras_csv,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.csv,b67c3e52c04086242866809eed56089c,b67c3e52c04086242866809eed56089c,TRUE,
detalhe_carteiras_rds,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.rds,2ff7621b617715722b652d956d5e2b11,2ff7621b617715722b652d956d5e2b11,TRUE,
diagnostico_carteiras_csv,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/diagnostico_educacional_carteiras.csv,8526e7bb50d2a85ac34e60197ec94595,8526e7bb50d2a85ac34e60197ec94595,TRUE,
diagnostico_carteiras_rds,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/diagnostico_educacional_carteiras.rds,4f471bbb40ec0020ddea61a6cfec230b,4f471bbb40ec0020ddea61a6cfec230b,TRUE,
composicao_carteiras_csv,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/composicao_operacional_carteiras.csv,1381da73d8e195fd691e41ee8d873274,1381da73d8e195fd691e41ee8d873274,TRUE,
composicao_carteiras_rds,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/composicao_operacional_carteiras.rds,82d8ea30fb598c6a9380d500219fa79c,82d8ea30fb598c6a9380d500219fa79c,TRUE,
universo_carteiras_csv,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/universo_institucional_carteiras.csv,e2e9d076ae09d8f605c994a97afb722c,e2e9d076ae09d8f605c994a97afb722c,TRUE,
universo_carteiras_rds,modulo_18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/universo_institucional_carteiras.rds,36cb738f4233fdab02e38ca0344f0db4,36cb738f4233fdab02e38ca0344f0db4,TRUE,
indice_fichas_carteiras_csv,modulo_20,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_fichas_carteiras.csv,013d69c7dc6754239e7085664168c3c1,013d69c7dc6754239e7085664168c3c1,TRUE,
indice_fichas_carteiras_rds,modulo_20,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_fichas_carteiras.rds,503664ba7a60a26df40e5c3ee15da87e,503664ba7a60a26df40e5c3ee15da87e,TRUE,
modulo_21_t01,modulo_21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T01_universos_cobertura_estudo.csv,509ff1bd5ea0718ad32f3ae77e635e09,509ff1bd5ea0718ad32f3ae77e635e09,TRUE,
modulo_21_t02,modulo_21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T02_perfil_estrutural_universo_institucional.csv,2e3125073f5a5e86c57a39475846360f,2e3125073f5a5e86c57a39475846360f,TRUE,
modulo_21_t03,modulo_21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T03_participacao_composicao_resultados_por_ano.csv,ec4a37c8f360ccb74801e5607528b7a1,ec4a37c8f360ccb74801e5607528b7a1,TRUE,
modulo_21_t04,modulo_21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T04_sintese_nao_ordinal_carteiras_operacionais.csv,f171c224d0b7fabe0617374d4994fe6e,f171c224d0b7fabe0617374d4994fe6e,TRUE,
modulo_21_t05,modulo_21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T05_dimensoes_operacionais_carteiras.csv,1180c454cf2d92d2658572193e6f5fb3,1180c454cf2d92d2658572193e6f5fb3,TRUE,
modulo_21_t06,modulo_21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T06_cautelas_metodologicas.csv,fa5421007a31a68989f84ea785f30e9d,fa5421007a31a68989f84ea785f30e9d,TRUE,
modulo_21_validacao_universos,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/documentacao/relatorio/execucao_20260731_001044/05_validacao_universos.csv,,7a30ee62d8c599dd9537290bad244208,TRUE,Entrada sem manifesto anterior; hash incorporado pelo módulo 23.
modulo_21_session_info,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/documentacao/relatorio/execucao_20260731_001044/14_session_info.txt,,14696c06e6935b8533f13d8d5719b4e0,TRUE,Entrada sem manifesto anterior; hash incorporado pelo módulo 23.
modulo_21_resumo,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/documentacao/relatorio/execucao_20260731_001044/15_resumo_execucao.txt,,702ba14ae3e6894a0bd0cde09e8b6b1f,TRUE,Entrada sem manifesto anterior; hash incorporado pelo módulo 23.
modulo_22_qmd,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/22_relatorio_tecnico.qmd,,6b80b96ea944a64400bae5e27807d2a8,TRUE,Entrada sem manifesto anterior; hash incorporado pelo módulo 23.
modulo_22_html,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/22_relatorio_tecnico.html,,260a839ee053c6ded601cd3cc4b08569,TRUE,Entrada sem manifesto anterior; hash incorporado pelo módulo 23.
