id_produto,modulo_origem,caminho_origem,caminho_destino,formato,tamanho_esperado,md5_esperado,sha256_esperado,obrigatorio,publicacao,existe,eh_arquivo,tamanho_observado,md5_observado,sha256_observado,tamanho_aprovado,md5_aprovado,sha256_aprovado,aprovado
M21_1,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T01_universos_cobertura_estudo.csv,05_tabelas/corpo/T01_universos_cobertura_estudo.csv,csv,600,509ff1bd5ea0718ad32f3ae77e635e09,,TRUE,tabela_final,TRUE,TRUE,600,509ff1bd5ea0718ad32f3ae77e635e09,4617c8fd53fbd1f30c89fb8517af8d5a16999a2cfce66a73572b2831c060fac7,TRUE,TRUE,TRUE,TRUE
M21_2,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T02_perfil_estrutural_universo_institucional.csv,05_tabelas/corpo/T02_perfil_estrutural_universo_institucional.csv,csv,1022,2e3125073f5a5e86c57a39475846360f,,TRUE,tabela_final,TRUE,TRUE,1022,2e3125073f5a5e86c57a39475846360f,eeb7d6cdefe251b67c7a10eaba8110d5c6121b8074c22ede2a6a7fb43d25ee0e,TRUE,TRUE,TRUE,TRUE
M21_3,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T03_participacao_composicao_resultados_por_ano.csv,05_tabelas/corpo/T03_participacao_composicao_resultados_por_ano.csv,csv,1433,ec4a37c8f360ccb74801e5607528b7a1,,TRUE,tabela_final,TRUE,TRUE,1433,ec4a37c8f360ccb74801e5607528b7a1,0432f338395273381627236083d9361e3d322ee3e9dd4edb3ec3b504483d3b8c,TRUE,TRUE,TRUE,TRUE
M21_4,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T04_sintese_nao_ordinal_carteiras_operacionais.csv,05_tabelas/corpo/T04_sintese_nao_ordinal_carteiras_operacionais.csv,csv,2752,f171c224d0b7fabe0617374d4994fe6e,,TRUE,tabela_final,TRUE,TRUE,2752,f171c224d0b7fabe0617374d4994fe6e,249142302bc7711f602cfcdd8230bf59311bf36e4dc6931ba93c33541c9296f3,TRUE,TRUE,TRUE,TRUE
M21_5,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T05_dimensoes_operacionais_carteiras.csv,05_tabelas/corpo/T05_dimensoes_operacionais_carteiras.csv,csv,926,1180c454cf2d92d2658572193e6f5fb3,,TRUE,tabela_final,TRUE,TRUE,926,1180c454cf2d92d2658572193e6f5fb3,a4fd052d36440c3321386661154909d7ca93f9111454927f7efc78b294132544,TRUE,TRUE,TRUE,TRUE
M21_6,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/tabelas/T06_cautelas_metodologicas.csv,05_tabelas/corpo/T06_cautelas_metodologicas.csv,csv,940,fa5421007a31a68989f84ea785f30e9d,,TRUE,tabela_final,TRUE,TRUE,940,fa5421007a31a68989f84ea785f30e9d,03cad1205cfd84412f6401c918aed5ae2c0aac6461b8e3cbd1fe4394c82a5e43,TRUE,TRUE,TRUE,TRUE
M21_7,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G01_universos_estudo.png,06_graficos/G01_universos_estudo.png,png,103099,715b9ca8579811227bd4fd7ce4b943e8,,TRUE,grafico_final,TRUE,TRUE,103099,715b9ca8579811227bd4fd7ce4b943e8,c060a7c2a715d182df5f1f032d2a007f7fed01407e8ab20eb5c2e75143f0e75a,TRUE,TRUE,TRUE,TRUE
M21_8,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G02_composicao_institucional_rede.png,06_graficos/G02_composicao_institucional_rede.png,png,116336,5f7d36856d720bbbf8a84877446bfd54,,TRUE,grafico_final,TRUE,TRUE,116336,5f7d36856d720bbbf8a84877446bfd54,7140cbd27b8d29bfb2743082dcb0a3c27a4c8929f82fa754f401a190dc6527d1,TRUE,TRUE,TRUE,TRUE
M21_9,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G03_participacao_por_ano_escolar.png,06_graficos/G03_participacao_por_ano_escolar.png,png,97950,1ffa601c3d080fe40320e0b5f8f3575d,,TRUE,grafico_final,TRUE,TRUE,97950,1ffa601c3d080fe40320e0b5f8f3575d,53a27688ef5ecbcded34a5959408d939a11175288a6ea0c21e06e00f7ea68f08,TRUE,TRUE,TRUE,TRUE
M21_10,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G04_participacao_proficiencia_observada.png,06_graficos/G04_participacao_proficiencia_observada.png,png,116171,bca8807a76e2f9f9927b848020d6adf4,,TRUE,grafico_final,TRUE,TRUE,116171,bca8807a76e2f9f9927b848020d6adf4,171b657fc14a84b59e5d487674de8696275fefdaac5d41e15c981e004cc6f603,TRUE,TRUE,TRUE,TRUE
