id_escola,codigo_inep,nome_canonico,assessora_gerencial,status_geracao,mensagem_erro,arquivo_html,html_existe,grafico_dimensoes_existe,grafico_participacao_existe,grafico_proficiencia_existe
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_003_emef-afonso-guerreiro-lima.html,TRUE,TRUE,TRUE,TRUE
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,graziela,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_025_emef-leocadia-felizardo-prestes.html,TRUE,TRUE,TRUE,TRUE
ESC_041,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,graziela,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_041_emef-prof-judith-macedo-de-araujo.html,TRUE,TRUE,TRUE,TRUE
ESC_051,43175120,EMEF VILA MONTE CRISTO,graziela,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_051_emef-vila-monte-cristo.html,TRUE,TRUE,TRUE,TRUE
ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,jalize,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_012_emef-dolores-alcaraz-caldas.html,TRUE,TRUE,TRUE,TRUE
ESC_014,43106382,EMEF EVARISTO GONCALVES NETTO,jalize,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_014_emef-evaristo-goncalves-netto.html,TRUE,TRUE,TRUE,TRUE
ESC_018,43105548,EMEF HEITOR VILLA LOBOS,jalize,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_018_emef-heitor-villa-lobos.html,TRUE,TRUE,TRUE,TRUE
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,jalize,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_022_emef-jose-loureiro-da-silva.html,TRUE,TRUE,TRUE,TRUE
ESC_043,43293050,EMEF RINCAO,jalize,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_043_emef-rincao.html,TRUE,TRUE,TRUE,TRUE
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_021_emef-joao-carlos-davila-paixao-cortes-lacador.html,TRUE,TRUE,TRUE,TRUE
ESC_026,43109144,EMEF LIDOVINO FANTON,julia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_026_emef-lidovino-fanton.html,TRUE,TRUE,TRUE,TRUE
ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,julia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_031_emef-neusa-goulart-brizola.html,TRUE,TRUE,TRUE,TRUE
ESC_046,43107842,EMEF SEN ALBERTO PASQUALINI,julia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_046_emef-sen-alberto-pasqualini.html,TRUE,TRUE,TRUE,TRUE
ESC_054,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_054_esc-est-ens-fun-professora-leopolda-barnewitz.html,TRUE,TRUE,TRUE,TRUE
ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_010_emef-dep-marcirio-goulart-loureiro.html,TRUE,TRUE,TRUE,TRUE
ESC_035,43048200,EMEF PORTO NOVO,marian,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_035_emef-porto-novo.html,TRUE,TRUE,TRUE,TRUE
ESC_036,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_036_emef-pres-joao-belchior-marques-goulart.html,TRUE,TRUE,TRUE,TRUE
ESC_045,43167535,EMEF SAO PEDRO,marian,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_045_emef-sao-pedro.html,TRUE,TRUE,TRUE,TRUE
ESC_004,43105459,EMEF AMERICA,nathalia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_004_emef-america.html,TRUE,TRUE,TRUE,TRUE
ESC_009,43105475,EMEF DECIO MARTINS COSTA,nathalia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_009_emef-decio-martins-costa.html,TRUE,TRUE,TRUE,TRUE
ESC_023,43169490,EMEF JOSE MARIANO BECK,nathalia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_023_emef-jose-mariano-beck.html,TRUE,TRUE,TRUE,TRUE
ESC_028,43177018,EMEF MIGRANTES,nathalia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_028_emef-migrantes.html,TRUE,TRUE,TRUE,TRUE
ESC_034,43105521,EMEF PEPITA DE LEAO,nathalia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_034_emef-pepita-de-leao.html,TRUE,TRUE,TRUE,TRUE
ESC_047,43189253,EMEF TIMBAUVA,nathalia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_047_emef-timbauva.html,TRUE,TRUE,TRUE,TRUE
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,outras,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_001_eef-pequena-casa-da-crianca.html,TRUE,TRUE,TRUE,TRUE
ESC_055,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_055_escola-de-ensino-fundamental-madre-raffo.html,TRUE,TRUE,TRUE,TRUE
ESC_005,43105467,EMEF ARAMY SILVA,priscila,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_005_emef-aramy-silva.html,TRUE,TRUE,TRUE,TRUE
ESC_013,43106331,EMEF ESPIRITO SANTO,priscila,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_013_emef-espirito-santo.html,TRUE,TRUE,TRUE,TRUE
ESC_049,43109080,EMEF VER CARLOS PESSOA DE BRUM,priscila,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_049_emef-ver-carlos-pessoa-de-brum.html,TRUE,TRUE,TRUE,TRUE
ESC_050,43109101,EMEF VER MARTIM ARANHA,priscila,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_050_emef-ver-martim-aranha.html,TRUE,TRUE,TRUE,TRUE
ESC_007,43187560,EMEF CHAPEU DO SOL,ruti,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_007_emef-chapeu-do-sol.html,TRUE,TRUE,TRUE,TRUE
ESC_027,43183018,EMEF MARIO QUINTANA,ruti,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_027_emef-mario-quintana.html,TRUE,TRUE,TRUE,TRUE
ESC_040,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_040_emef-prof-gilberto-jorge-goncalves-da-silva.html,TRUE,TRUE,TRUE,TRUE
ESC_053,43105246,EMEM EMILIO MEYER,ruti,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_053_emem-emilio-meyer.html,TRUE,TRUE,TRUE,TRUE
