id_escola,codigo_inep,nome_canonico,assessora_gerencial,painel_incompleto,interpretacao_educacional_cautelosa,interpretacao_indice_cautelosa,possui_complexidade_administrativa,possui_alerta_composicao,sem_vinculacao_informada,sensibilidade_faixa,observacoes_composicao_limpa
ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,julia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação
ESC_046,43107842,EMEF SEN ALBERTO PASQUALINI,julia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Mudança relevante no público previsto e aumento de participação
ESC_054,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Sensibilidade elevada,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p.
ESC_035,43048200,EMEF PORTO NOVO,marian,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p.
ESC_036,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_045,43167535,EMEF SAO PEDRO,marian,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p. | Queda de participação igual ou superior a 10 p.p.
ESC_004,43105459,EMEF AMERICA,nathalia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p.
ESC_009,43105475,EMEF DECIO MARTINS COSTA,nathalia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p.
ESC_023,43169490,EMEF JOSE MARIANO BECK,nathalia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade elevada,Aumento de participação igual ou superior a 10 p.p.
ESC_028,43177018,EMEF MIGRANTES,nathalia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Baixo número de avaliados em pelo menos um ano | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação | Mudança relevante no público previsto e queda de participação
ESC_034,43105521,EMEF PEPITA DE LEAO,nathalia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos
ESC_047,43189253,EMEF TIMBAUVA,nathalia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p.
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,outras,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Sensibilidade elevada,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_055,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Sensibilidade elevada,Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação | Mudança relevante no público previsto e queda de participação
ESC_005,43105467,EMEF ARAMY SILVA,priscila,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação
ESC_013,43106331,EMEF ESPIRITO SANTO,priscila,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Sensibilidade elevada,Escola-série ausente em um dos anos
ESC_049,43109080,EMEF VER CARLOS PESSOA DE BRUM,priscila,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_050,43109101,EMEF VER MARTIM ARANHA,priscila,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_007,43187560,EMEF CHAPEU DO SOL,ruti,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos
ESC_027,43183018,EMEF MARIO QUINTANA,ruti,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p. | Queda de participação igual ou superior a 10 p.p.
ESC_040,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p.
ESC_053,43105246,EMEM EMILIO MEYER,ruti,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p.
