ordem_coluna,variavel,classe_r,valores_ausentes,valores_vazios_texto,percentual_ausente,valores_distintos
100,participacao_minima_70_ambos,logical,15,0,5.357142857142857,2
101,participacao_minima_80_ambos,logical,15,0,5.357142857142857,2
102,participacao_minima_90_ambos,logical,15,0,5.357142857142857,2
103,aumento_participacao_10pp,logical,15,0,5.357142857142857,2
104,queda_participacao_10pp,logical,15,0,5.357142857142857,2
105,mudanca_previstos_20pct,logical,15,0,5.357142857142857,2
106,turma_escola_pequena_2025,logical,11,0,3.9285714285714284,2
107,turma_escola_pequena_2026,logical,4,0,1.4285714285714286,2
108,nome_inep,character,0,0,0,56
109,metodo_correspondencia_inep,character,0,0,0,2
110,status_codigo_inep,character,0,0,0,1
111,observacao_codigo_inep,character,255,0,91.07142857142857,4
112,tipo_vinculo_rede,character,0,0,0,5
113,exposicao_2025_1av,integer,0,0,0,1
114,programa_iniciado_apos_2025_1av,logical,0,0,0,1
115,dose_assessoramento_observada,logical,0,0,0,1
116,possivel_municipalizacao_recente,logical,0,0,0,2
117,escola_nova_recente,character,0,0,0,2
118,status_rede_2025,character,0,0,0,3
119,observacao_historico,character,0,0,0,7
120,status_validacao,character,0,0,0,1
121,ano_contexto,numeric,0,0,0,1
122,fonte_contexto,character,0,0,0,1
123,contexto_pre_programa,logical,0,0,0,1
124,rede,numeric,0,0,0,3
125,tipo_categoria_escola_privada,numeric,265,0,94.64285714285714,1
126,tipo_localizacao,numeric,0,0,0,1
127,tipo_localizacao_diferenciada,numeric,0,0,0,1
128,tipo_situacao_funcionamento,numeric,0,0,0,1
129,poder_publico_parceria,numeric,0,0,0,2
130,tipo_poder_publico_parceria,numeric,265,0,94.64285714285714,1
131,conveniada_poder_publico,logical,280,0,100,0
132,tipo_convenio_poder_publico,logical,280,0,100,0
133,porte_anos_iniciais,character,0,0,0,4
134,quartil_porte_anos_iniciais,numeric,0,0,0,4
135,ano,integer,0,0,0,1
136,sigla_uf,character,0,0,0,1
137,id_municipio,numeric,0,0,0,1
138,vinculo_secretaria_educacao,numeric,15,0,5.357142857142857,1
139,etapa_ensino_infantil,numeric,0,0,0,2
140,etapa_ensino_fundamental,numeric,0,0,0,1
141,etapa_ensino_fundamental_anos_iniciais,numeric,0,0,0,1
142,etapa_ensino_fundamental_anos_finais,numeric,0,0,0,2
143,etapa_ensino_medio,numeric,0,0,0,2
144,etapa_ensino_eja,numeric,0,0,0,2
145,etapa_ensino_especial,numeric,0,0,0,2
146,quantidade_matricula_educacao_basica,numeric,0,0,0,55
147,quantidade_matricula_infantil,numeric,0,0,0,34
148,quantidade_matricula_fundamental,numeric,0,0,0,55
149,quantidade_matricula_fundamental_anos_iniciais,numeric,0,0,0,51
150,quantidade_matricula_fundamental_1_ano,numeric,0,0,0,41
151,quantidade_matricula_fundamental_2_ano,numeric,0,0,0,35
152,quantidade_matricula_fundamental_3_ano,numeric,0,0,0,43
153,quantidade_matricula_fundamental_4_ano,numeric,0,0,0,43
154,quantidade_matricula_fundamental_5_ano,numeric,0,0,0,44
155,quantidade_matricula_fundamental_anos_finais,numeric,0,0,0,50
156,quantidade_matricula_eja,numeric,0,0,0,26
157,quantidade_matricula_especial,numeric,0,0,0,45
158,quantidade_matricula_especial_comum,numeric,0,0,0,45
159,quantidade_matricula_especial_exclusiva,numeric,0,0,0,1
160,quantidade_matricula_feminino,numeric,0,0,0,51
161,quantidade_matricula_masculino,numeric,0,0,0,55
162,quantidade_matricula_branca,numeric,0,0,0,53
163,quantidade_matricula_preta,numeric,0,0,0,48
164,quantidade_matricula_parda,numeric,0,0,0,51
165,quantidade_matricula_amarela,numeric,0,0,0,5
166,quantidade_matricula_indigena,numeric,0,0,0,6
167,quantidade_matricula_nao_declarada,numeric,0,0,0,47
168,quantidade_matricula_fundamental_integral,numeric,0,0,0,36
169,quantidade_matricula_fundamental_anos_iniciais_integral,numeric,0,0,0,35
170,quantidade_matricula_fundamental_anos_finais_integral,numeric,0,0,0,34
171,quantidade_matricula_utiliza_transporte_publico,numeric,0,0,0,31
172,quantidade_docente_educacao_basica,numeric,0,0,0,39
173,quantidade_docente_fundamental,numeric,0,0,0,31
174,quantidade_docente_fundamental_anos_iniciais,numeric,0,0,0,26
175,quantidade_docente_fundamental_anos_finais,numeric,0,0,0,23
176,quantidade_docente_especial,numeric,0,0,0,37
177,quantidade_turma_educacao_basica,numeric,0,0,0,35
178,quantidade_turma_fundamental,numeric,0,0,0,29
179,quantidade_turma_fundamental_anos_iniciais,numeric,0,0,0,20
180,quantidade_turma_fundamental_anos_finais,numeric,0,0,0,16
181,quantidade_turma_fundamental_integral,numeric,0,0,0,8
182,quantidade_sala_existente,logical,280,0,100,0
183,quantidade_sala_utilizada,numeric,0,0,0,24
184,quantidade_sala_utilizada_climatizada,numeric,0,0,0,9
185,quantidade_sala_utilizada_acessivel,numeric,0,0,0,14
186,agua_potavel,numeric,0,0,0,1
187,agua_rede_publica,numeric,0,0,0,1
188,energia_rede_publica,numeric,0,0,0,1
189,esgoto_rede_publica,numeric,0,0,0,2
190,biblioteca,numeric,0,0,0,2
191,biblioteca_sala_leitura,numeric,0,0,0,2
192,sala_leitura,numeric,0,0,0,2
193,laboratorio_ciencias,numeric,0,0,0,2
194,laboratorio_informatica,numeric,0,0,0,2
195,quadra_esportes,numeric,0,0,0,2
196,quadra_esportes_coberta,numeric,0,0,0,2
197,internet,numeric,0,0,0,1
198,internet_aprendizagem,numeric,0,0,0,2
199,internet_alunos,numeric,0,0,0,2
200,acessibilidade_rampas,numeric,0,0,0,2
201,acessibilidade_corrimao,numeric,0,0,0,2
202,acessibilidade_pisos_tateis,numeric,0,0,0,2
203,acessibilidade_elevador,numeric,0,0,0,2
204,acessibilidade_inexistente,numeric,0,0,0,2
205,banheiro,numeric,0,0,0,1
206,banheiro_pne,numeric,0,0,0,2
207,cozinha,numeric,0,0,0,1
208,refeitorio,numeric,0,0,0,2
209,alimentacao,numeric,0,0,0,2
210,sala_atendimento_especial,numeric,0,0,0,2
211,quantidade_computador,logical,280,0,100,0
212,quantidade_computador_aluno,logical,280,0,100,0
213,quantidade_computador_portatil_aluno,numeric,0,0,0,45
214,quantidade_tablet_aluno,numeric,0,0,0,9
215,quantidade_profissional_bibliotecario,numeric,0,0,0,5
216,quantidade_profissional_coordenador,numeric,0,0,0,6
217,quantidade_profissional_psicologo,numeric,0,0,0,3
218,quantidade_profissional_assistente_social,numeric,0,0,0,5
219,quantidade_profissional_monitor,numeric,0,0,0,3
220,quantidade_profissional_pedagogia,numeric,0,0,0,12
221,oferta_educacao_infantil,logical,0,0,0,2
222,oferta_anos_iniciais,logical,0,0,0,1
223,oferta_anos_finais,logical,0,0,0,2
224,oferta_eja,logical,0,0,0,2
225,oferta_educacao_especial,logical,0,0,0,2
226,numero_itens_infraestrutura_disponiveis,numeric,0,0,0,1
227,numero_itens_infraestrutura_presentes,numeric,0,0,0,5
228,possui_espaco_leitura,logical,0,0,0,2
229,possui_recurso_acessibilidade,logical,0,0,0,2
230,codigo_situacao_funcionamento,numeric,0,0,0,1
231,codigo_rede_2024,numeric,0,0,0,3
232,alerta_sem_linha_2024,logical,0,0,0,1
233,alerta_sem_matriculas_anos_iniciais,logical,0,0,0,1
234,alerta_sem_turmas_anos_iniciais,logical,0,0,0,1
235,alerta_sem_docentes_anos_iniciais,logical,0,0,0,1
236,alerta_matriculas_sem_turmas,logical,0,0,0,2
237,alerta_matriculas_sem_docentes,logical,0,0,0,2
238,alerta_nao_ativa_2024,logical,0,0,0,1
239,caso_historico_administrativo,character,0,0,0,5
240,requer_revisao_tecnica,logical,0,0,0,2
241,motivo_revisao_tecnica,character,275,0,98.21428571428571,1
242,escola_ativa_2024,logical,0,0,0,1
243,vinculo_privado_explicito,logical,0,0,0,2
244,grupo_administrativo_2024,character,0,0,0,5
245,divergencia_censo_cadastro,logical,0,0,0,2
246,tipo_divergencia_administrativa,character,265,0,94.64285714285714,3
247,incluir_contexto_descritivo_2024,logical,0,0,0,2
248,motivo_nao_inclusao_universo_estrito,character,250,0,89.28571428571429,3
249,decisao_manual,character,0,0,0,3
250,tipo_vinculo_rede_corrigido,character,265,0,94.64285714285714,3
251,status_rede_2025_corrigido,character,265,0,94.64285714285714,2
252,observacao_manual,character,265,0,94.64285714285714,3
253,observacao_administrativa_final,character,0,0,0,7
254,utilizar_indicadores_matriculas,logical,0,0,0,1
255,utilizar_indicadores_turmas_docentes,logical,0,0,0,2
256,utilizar_indicadores_infraestrutura,logical,0,0,0,1
257,avaliacao_id_2025,character,0,0,0,1
258,avaliacao_id_2026,character,0,0,0,1
259,periodo_programa_2025,character,0,0,0,1
260,periodo_programa_2026,character,0,0,0,1
261,fonte_validacao_2025,character,0,0,0,1
262,fonte_validacao_2026,character,0,0,0,1
263,data_validacao_2025,Date,280,0,100,0
264,data_validacao_2026,Date,0,0,0,1
265,responsavel_validacao_2025,character,0,0,0,1
266,responsavel_validacao_2026,character,0,0,0,1
267,log_matriculas_anos_iniciais,numeric,0,0,0,51
