Avaliação;Rede;Ano Escolar;Componente Curricular;Estado;Regional;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%)
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21192411500000292;42;26;20;77;9;90%;5%;5%;41;41;22;23;25;11;21;19;33;33
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21192411500000293;43;25;18;72;82;11%;11%;78%;89;81;83;65;78;47;50;64;81;64
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21192411500000294;44;23;19;83;70;21%;26%;53%;74;74;67;70;61;63;67;66;70;66
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21192411500000323;41;24;22;92;59;23%;32%;45%;50;75;64;58;53;34;50;61;70;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21192411500000324;42;25;19;76;52;26%;42%;32%;71;71;47;58;60;32;68;42;70;22
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21192411500000325;43;24;16;67;47;25%;63%;13%;38;77;44;54;52;41;50;56;69;34
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21192411500000326;44;17;14;82;23;64%;36%;0%;50;32;26;45;36;35;36;46;40;46
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21192411500000350;41;23;20;87;73;15%;25%;60%;70;80;67;65;63;63;65;70;87;33
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21192411500000351;42;26;19;73;69;21%;16%;63%;58;84;70;74;63;58;58;68;72;42
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRESIDENTE VARGAS; 21192411500000368;41;25;19;76;69;16%;37%;47%;67;71;65;72;67;45;47;63;72;39
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRESIDENTE VARGAS; 21192411500000369;42;25;16;64;75;13%;31%;56%;81;94;67;67;63;47;81;56;81;34
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21192411500000391;41;28;25;89;72;16%;20%;64%;64;82;73;68;61;54;60;58;80;62
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21192411500000392;42;28;24;86;48;33%;33%;33%;42;69;50;56;43;38;43;73;65;35
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21192411500000393;43;28;26;93;60;23%;35%;42%;46;77;55;62;54;40;65;54;69;37
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21192411500000394;44;28;18;64;48;39%;28%;33%;41;69;48;52;35;47;72;75;56;39
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEB PROFESSORA LEOPOLDA BARNEWITZ; 21192411500000415;41;22;18;82;73;17%;22%;61%;44;89;76;70;65;56;78;67;81;47
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21192411500000432;41;29;26;90;51;35%;27%;38%;46;77;51;54;50;37;50;48;56;56
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21192411500000433;42;27;21;78;53;24%;52%;24%;42;74;49;54;62;33;48;57;71;45
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21192411500000434;43;27;21;78;57;33%;29%;38%;44;76;54;56;57;40;75;50;70;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21192411500000435;44;29;25;86;59;24%;36%;40%;64;80;51;55;51;44;56;64;75;40
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21192411500000469;41;28;25;89;61;28%;20%;52%;74;76;61;52;59;48;54;62;72;48
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21192411500000470;42;29;23;79;60;26%;22%;52%;70;74;52;57;65;46;61;65;67;39
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21192411500000471;43;28;26;93;39;54%;15%;31%;72;71;39;43;41;34;63;42;57;29
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21192411500000472;44;28;18;64;61;33%;17%;50%;61;83;61;59;56;44;61;67;67;44
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21192411500000506;41;18;12;67;63;25%;25%;50%;50;83;72;56;58;38;58;67;69;25
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21192411500000508;43;15;14;93;97;0%;0%;100%;71;93;79;90;79;64;79;89;95;57
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21192411500001848;45;34;29;85;75;14%;21%;66%;57;86;64;69;62;50;66;71;86;60
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000534;41;26;17;65;64;18%;35%;47%;53;76;57;73;65;41;47;76;75;56
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000535;42;27;16;59;59;25%;31%;44%;50;86;69;44;62;60;50;71;67;63
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000536;43;26;15;58;60;33%;27%;40%;43;80;69;47;60;43;73;53;69;53
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000537;44;29;27;93;36;52%;22%;26%;37;43;42;42;42;30;41;46;57;48
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21192411500000565;41;27;22;81;58;32%;27%;41%;59;70;62;58;56;43;62;66;67;41
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21192411500000566;42;27;23;85;53;26%;35%;39%;71;75;47;60;62;50;50;53;56;26
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21192411500000567;43;29;26;90;59;23%;38%;38%;38;71;56;64;64;40;48;50;77;40
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21192411500000589;41;27;19;70;60;26%;21%;53%;37;79;58;61;65;50;58;45;67;42
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21192411500000590;42;26;19;73;74;21%;11%;68%;58;84;65;72;65;68;68;74;75;55
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF GILBERTO JORGE GONCALVES DA SILVA; 21192411500000603;41;23;19;83;81;11%;21%;68%;58;89;75;77;68;47;79;79;88;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21192411500000623;41;26;14;54;35;50%;21%;29%;64;46;42;47;50;33;46;38;46;42
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21192411500000624;42;27;19;70;42;53%;11%;37%;47;63;56;40;47;37;37;47;56;37
