Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000075;23;19;19;100;32;63%;25%;13%;78;60;47;6;31;66;63;50;88;41;47;53;44
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000076;24;21;18;86;59;31%;19%;50%;88;75;57;63;75;75;88;59;63;31;59;64;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF AMERICA; 21912411500000107;21;20;17;85;58;19%;56%;25%;91;75;44;44;72;91;94;56;100;28;59;88;28
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF AMERICA; 21912411500000108;22;22;20;91;46;40%;30%;30%;85;73;53;29;60;68;95;58;89;33;58;79;25
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000128;21;18;17;94;45;44%;31%;25%;100;75;38;43;41;91;94;37;87;43;57;64;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000129;22;16;11;69;74;20%;10%;70%;95;95;80;50;75;90;80;80;100;40;70;80;25
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000130;23;23;20;87;51;33%;39%;28%;89;75;79;28;58;89;94;50;94;42;44;44;22
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000131;24;21;21;100;39;58%;21%;21%;94;61;71;25;25;84;83;47;94;50;55;71;21
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF CAMPOS DO CRISTAL; 21912411500000157;21;15;14;93;44;33%;33%;33%;45;83;55;46;63;42;82;50;92;54;50;80;33
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF CAMPOS DO CRISTAL; 21912411500000158;22;18;18;100;66;13%;44%;44%;97;97;50;44;69;100;100;69;81;50;59;50;31
