Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF RINCAO; 21912411500001095;21;23;20;87;71;0%;38%;63%;34;100;93;75;84;53;94;50;100;53;91;93;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF RINCAO; 21912411500001096;22;25;24;96;74;19%;14%;67%;86;81;89;67;79;86;95;66;95;75;90;83;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001115;21;24;19;79;33;50%;50%;0%;19;87;83;39;91;40;67;47;100;50;60;46;13
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001116;22;28;20;71;53;22%;50%;28%;81;91;53;53;39;83;100;41;89;32;68;53;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001117;23;22;17;77;38;53%;29%;18%;39;66;38;50;82;53;93;63;100;53;50;27;21
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001149;21;18;14;78;40;50%;21%;29%;75;61;42;36;46;75;79;61;92;32;58;42;23
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001150;22;20;19;95;30;58%;37%;5%;9;75;71;26;42;47;83;53;89;42;42;47;32
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001151;23;25;24;96;50;33%;33%;33%;79;79;42;50;27;73;88;54;100;40;58;79;27
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001152;24;23;19;83;52;29%;41%;29%;76;76;53;47;56;74;94;62;82;32;62;71;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001186;21;24;19;79;43;53%;12%;35%;88;65;47;41;44;74;100;44;65;38;50;53;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001187;22;21;15;71;63;23%;31%;46%;88;86;75;67;58;71;85;65;100;38;62;82;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001188;23;23;22;96;74;11%;21%;68%;95;87;95;50;76;95;95;66;95;34;63;83;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF TIMBAUVA; 21912411500001220;21;20;20;100;92;0%;5%;95%;98;95;100;78;63;93;95;85;100;73;90;80;68
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF TIMBAUVA; 21912411500001221;22;19;18;95;80;7%;33%;60%;93;97;100;53;77;87;93;63;93;37;83;100;57
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF TIMBAUVA; 21912411500001222;23;18;18;100;37;47%;40%;13%;89;53;50;27;50;88;93;54;79;32;36;71;21
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF VER ANTONIO GIUDICE; 21912411500001248;21;21;19;90;51;33%;27%;40%;79;68;58;33;57;77;93;39;87;47;73;86;20
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF VER ANTONIO GIUDICE; 21912411500001249;22;22;17;77;77;20%;7%;73%;93;90;100;83;63;83;92;81;93;82;70;92;82
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF VER ANTONIO GIUDICE; 21912411500001250;23;22;18;82;57;31%;31%;38%;84;87;86;50;63;59;93;60;94;40;50;86;54
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF VER ANTONIO GIUDICE; 21912411500001251;24;22;22;100;90;5%;5%;89%;95;87;82;89;87;87;100;81;95;82;87;79;79
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21912411500001277;21;28;19;68;67;16%;32%;53%;79;76;58;26;87;92;95;71;95;66;66;68;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21912411500001278;22;23;17;74;23;71%;18%;12%;72;50;44;15;56;56;71;29;75;22;29;38;26
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21912411500001279;23;24;20;83;50;30%;40%;30%;89;88;88;21;48;72;90;50;94;50;68;69;29
