Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001127;52;26;24;92;72;8%;29%;63%;52;69;92;40;75;33;85;63;79;38;83;54
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001128;53;26;25;96;60;21%;38%;42%;52;63;90;38;52;40;69;60;75;63;73;25
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001129;54;21;18;86;66;11%;39%;50%;61;72;83;56;78;36;78;56;64;44;75;11
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001162;51;27;21;78;53;30%;40%;30%;45;58;73;33;70;35;68;48;55;55;58;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001163;52;25;23;92;55;26%;43%;30%;61;59;78;43;52;46;67;50;61;39;76;30
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001164;53;26;25;96;50;22%;57%;22%;57;50;67;37;59;39;72;54;59;36;70;23
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001165;54;26;24;92;61;22%;35%;43%;61;61;74;41;61;50;89;48;65;52;67;22
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001198;51;28;23;82;59;29%;33%;38%;62;57;74;36;62;45;81;62;67;29;67;67
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001199;52;27;20;74;56;24%;41%;35%;53;59;82;29;47;44;85;53;68;29;68;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001200;53;27;24;89;47;39%;35%;26%;48;52;72;35;41;33;63;46;68;22;72;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001201;54;26;21;81;72;10%;30%;60%;60;78;80;53;63;55;73;68;75;50;80;35
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF TIMBAUVA; 21912411500001229;51;19;19;100;43;35%;35%;29%;44;69;74;32;47;38;59;56;53;13;50;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF TIMBAUVA; 21912411500001230;52;24;22;92;40;25%;60%;15%;45;50;50;43;45;25;60;48;53;20;75;35
