Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF AMERICA; 21912411500000110;32;25;21;84;50;40%;15%;45%;90;80;76;95;73;65;80;28;53;15;58;60;60
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000132;31;25;20;80;61;15%;30%;55%;75;88;90;89;71;73;89;40;73;35;79;85;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000133;32;24;20;83;42;40%;35%;25%;68;70;71;79;60;70;65;37;45;42;53;70;63
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000134;33;27;22;81;38;45%;27%;27%;55;64;74;68;57;59;80;34;43;33;57;64;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000135;34;23;17;74;74;13%;19%;69%;75;100;94;100;88;81;88;56;72;50;84;94;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF CAMPOS DO CRISTAL; 21912411500000159;31;26;25;96;77;5%;23%;73%;84;98;98;100;95;75;86;61;75;55;82;68;68
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF CAMPOS DO CRISTAL; 21912411500000160;32;26;24;92;64;20%;30%;50%;85;85;83;95;78;75;80;65;68;40;85;80;55
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000183;31;23;20;87;31;53%;18%;29%;50;74;50;59;47;47;47;26;44;35;44;47;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000184;32;25;24;96;32;39%;57%;4%;76;33;36;95;85;89;82;46;46;74;67;100;46
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000185;33;24;22;92;12;84%;11%;5%;61;61;41;63;39;37;47;36;28;28;37;44;32
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000186;34;24;20;83;33;68%;5%;26%;87;89;67;74;50;58;72;45;34;37;45;42;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000187;35;23;23;100;20;77%;14%;9%;80;48;55;77;31;52;58;25;32;27;43;58;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000220;31;25;17;68;40;38%;44%;19%;66;83;80;80;67;60;67;33;33;40;57;60;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000221;32;23;16;70;67;8%;33%;58%;96;96;92;100;79;75;100;75;71;0;63;75;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000222;33;28;23;82;38;55%;27%;18%;86;89;86;95;48;45;32;27;66;10;61;64;52
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000223;34;24;21;88;40;42%;37%;21%;79;76;63;79;66;68;47;45;53;42;58;74;55
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000259;31;24;22;92;58;32%;14%;55%;80;84;82;81;70;68;64;57;52;27;75;82;66
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000260;32;26;22;85;41;32%;50%;18%;75;73;85;81;76;64;95;30;50;24;59;71;26
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000261;33;21;19;90;35;67%;6%;28%;64;72;78;61;58;58;44;36;61;29;69;33;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000262;34;22;18;82;55;28%;33%;39%;86;88;71;76;68;76;76;71;47;65;50;76;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21912411500000293;31;27;23;85;33;57%;24%;19%;76;81;71;71;62;67;67;33;35;24;57;40;31
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21912411500000294;32;25;23;92;19;76%;10%;14%;50;55;45;60;38;38;53;36;29;37;45;32;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21912411500000295;33;25;20;80;58;25%;35%;40%;85;76;66;71;71;68;100;63;55;74;76;58;68
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21912411500000296;34;27;24;89;26;57%;30%;13%;54;61;67;64;50;50;64;22;30;29;48;38;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000328;31;24;24;100;37;48%;22%;30%;70;81;68;67;48;65;73;20;41;26;70;61;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000329;32;29;21;72;53;30%;25%;45%;75;73;80;90;70;75;75;38;48;20;73;79;68
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000330;33;27;23;85;33;57%;22%;22%;72;76;91;82;46;63;55;24;33;23;59;43;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000331;34;27;26;96;45;40%;32%;28%;68;76;82;84;72;62;80;46;32;36;66;52;62
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000332;35;27;26;96;57;19%;38%;42%;83;79;85;100;81;81;58;38;65;15;81;84;46
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000333;36;29;27;93;60;22%;26%;52%;70;81;70;100;70;81;89;44;69;30;74;78;72
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000369;31;24;21;88;65;19%;14%;67%;86;80;83;100;67;74;60;50;93;90;43;86;83
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000370;32;25;23;92;45;29%;43%;29%;76;71;81;81;55;64;81;52;64;24;50;76;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000371;33;26;22;85;52;28%;28%;44%;67;86;78;94;75;72;61;47;61;44;81;65;44
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000372;34;29;19;66;24;63%;26%;11%;47;55;68;89;63;53;63;34;42;16;58;42;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000373;35;24;21;88;61;29%;19%;52%;62;83;71;95;81;74;57;74;57;60;79;85;55
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000374;36;30;25;83;52;27%;41%;32%;82;89;82;91;77;68;91;36;57;18;61;64;64
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000375;37;24;19;79;18;68%;26%;5%;53;53;55;72;53;47;58;39;47;11;53;47;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF ESPIRITO SANTO; 21912411500001804;31;24;23;96;20;70%;26%;4%;57;61;72;70;46;41;61;26;43;22;41;61;37
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF EVARISTO GONCALVES NETTO; 21912411500001810;31;25;17;68;18;76%;18%;6%;62;78;71;55;25;47;59;19;28;19;59;53;59
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF GABRIEL OBINO; 21912411500000405;31;21;15;71;45;40%;33%;27%;83;68;77;92;57;67;77;47;37;31;65;80;67
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF GABRIEL OBINO; 21912411500000406;32;23;16;70;49;40%;13%;47%;57;67;70;93;53;75;67;68;50;57;80;71;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF GABRIEL OBINO; 21912411500000407;33;22;18;82;49;28%;28%;44%;78;89;83;100;81;67;67;50;58;17;36;61;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000429;31;22;16;73;42;40%;27%;33%;70;83;70;87;63;57;67;30;53;47;53;73;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000430;32;24;22;92;41;38%;33%;29%;69;78;66;89;55;65;86;52;53;35;52;75;35
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000431;33;26;23;88;38;41%;41%;18%;64;80;75;95;52;75;62;39;39;25;73;86;32
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000432;34;26;20;77;46;32%;37%;32%;66;83;81;94;59;74;82;24;50;56;66;67;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000433;35;26;21;81;68;20%;15%;65%;88;90;90;80;83;78;90;45;75;35;73;80;70
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000467;31;27;22;81;53;29%;24%;48%;83;67;86;86;60;63;76;45;57;33;71;80;52
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000468;32;25;22;88;13;79%;16%;5%;42;50;50;72;22;37;63;42;21;5;53;53;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000469;33;27;16;59;41;43%;29%;29%;50;79;89;100;68;61;57;39;50;43;68;79;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000470;34;27;24;89;63;17%;38%;46%;77;83;79;96;83;83;79;58;50;38;77;71;73
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000498;31;26;24;92;46;50%;9%;41%;70;77;77;86;61;50;59;39;61;62;55;73;73
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000499;32;26;23;88;29;52%;33%;14%;69;78;67;76;53;64;48;24;45;14;48;52;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000500;33;29;24;83;26;70%;9%;22%;65;78;70;73;45;35;91;43;35;19;43;50;24
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000501;34;28;24;86;26;65%;26%;9%;61;89;78;71;35;50;70;30;39;23;54;55;35
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000528;31;28;21;75;57;29%;24%;48%;88;71;78;85;83;79;70;38;57;52;76;67;60
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000529;32;26;22;85;46;40%;20%;40%;78;85;85;75;58;65;85;45;45;11;70;74;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000530;33;25;22;88;53;32%;27%;41%;86;80;84;82;66;82;91;43;61;18;77;77;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000554;31;17;15;88;90;0%;7%;93%;80;90;100;100;97;90;100;87;57;87;90;93;93
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000555;32;19;19;100;51;43%;7%;50%;75;64;73;67;75;61;93;57;50;69;69;77;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000556;33;25;19;76;59;20%;20%;60%;73;93;96;85;89;79;87;30;61;31;63;93;54
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR; 21912411500000578;31;24;22;92;77;0%;33%;67%;79;98;98;100;95;90;76;60;67;43;79;90;74
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000589;31;26;18;69;41;29%;47%;24%;56;65;71;76;76;62;82;41;44;35;68;76;59
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000590;32;24;20;83;21;63%;32%;5%;50;78;59;69;47;66;76;25;33;24;56;61;36
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000591;33;26;21;81;34;56%;22%;22%;58;69;69;83;58;56;65;26;56;44;33;61;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000592;34;27;17;63;52;40%;7%;53%;70;83;83;73;67;80;60;50;60;53;50;64;70
