Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000212;11;23;18;78;11;94%;0%;6%;29;60;31;0;64;23;36;14;24
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000213;12;23;21;91;10;89%;6%;6%;40;25;18;32;47;47;28;23;24
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000214;13;22;19;86;5;95%;5%;0%;38;38;14;30;36;42;19;19;19
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000215;14;24;20;83;29;56%;33%;11%;67;72;17;28;78;72;59;68;28
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000251;11;22;20;91;38;44%;39%;17%;54;54;51;21;61;79;71;47;46
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000252;12;20;18;90;21;69%;25%;6%;71;72;27;27;47;38;27;22;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000253;13;21;18;86;42;44%;33%;22%;59;18;48;47;92;82;67;59;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000254;14;20;15;75;29;57%;36%;7%;55;57;24;43;79;57;50;39;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21912411500000285;11;15;10;67;26;44%;56%;0%;63;56;37;6;50;39;52;50;81
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21912411500000286;12;23;16;70;6;87%;13%;0%;33;42;29;25;53;38;24;29;24
