Avaliação;Rede;Ano Escolar;Componente Curricular;Estado;Regional;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%)
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF GILBERTO JORGE GONCALVES DA SILVA; 21192411500000600;11;23;13;57;94;0%;8%;92%;87;96;92;77;96;92;88;85;73
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21192411500000609;11;25;19;76;53;16%;63%;21%;68;87;37;40;55;70;76;18;37
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21192411500000610;12;24;16;67;90;0%;19%;81%;83;84;71;65;100;69;84;59;84
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21192411500000611;13;24;15;63;49;20%;47%;33%;80;86;40;36;53;60;79;5;11
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21192411500000612;14;23;19;83;18;79%;16%;5%;47;60;31;7;27;28;55;21;29
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21192411500000613;15;24;17;71;37;35%;59%;6%;67;22;55;39;57;57;57;33;47
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21192411500000646;11;23;18;78;35;44%;39%;17%;67;65;44;20;58;24;50;25;36
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21192411500000647;12;20;12;60;61;8%;58%;33%;86;71;57;47;58;81;58;44;54
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21192411500000648;13;22;18;82;58;33%;22%;44%;65;81;59;51;59;70;63;57;75
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21192411500000649;14;21;13;62;21;77%;8%;15%;54;39;28;33;50;18;58;23;38
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER MARTIM ARANHA; 21192411500000675;11;19;16;84;54;31%;31%;38%;60;79;56;35;70;54;56;42;75
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER MARTIM ARANHA; 21192411500000676;12;18;11;61;68;9%;27%;64%;85;64;48;39;82;45;77;64;64
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER MARTIM ARANHA; 21192411500000677;13;18;11;61;54;27%;36%;36%;79;95;39;45;60;55;68;31;40
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21192411500000702;11;21;14;67;20;71%;29%;0%;69;71;26;5;25;36;31;9;42
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21192411500000703;12;24;17;71;36;41%;53%;6%;76;18;46;53;6;43;50;50;59
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21192411500000704;13;24;17;71;28;59%;35%;6%;60;54;29;43;30;40;57;39;67
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21192411500000705;14;26;18;69;12;83%;11%;6%;46;0;15;24;12;26;53;17;44
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LIDOVINO FANTON; 21192411500000734;11;24;21;88;37;48%;33%;19%;77;70;54;27;60;33;56;21;19
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LIDOVINO FANTON; 21192411500000735;12;26;20;77;32;65%;20%;15%;63;58;27;40;45;33;32;28;38
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LIDOVINO FANTON; 21192411500000736;13;22;16;73;26;69%;19%;13%;60;54;33;24;44;27;41;30;43
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LIDOVINO FANTON; 21192411500000737;14;25;20;80;61;15%;45%;40%;70;75;65;37;65;50;65;53;68
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF ANA IRIS DO AMARAL; 21192411500000770;11;23;16;70;79;6%;13%;81%;90;97;85;29;67;63;69;66;78
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF ANA IRIS DO AMARAL; 21192411500000771;12;25;17;68;46;29%;41%;29%;51;50;67;49;54;49;87;57;67
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21192411500000788;11;23;22;96;40;41%;36%;23%;75;61;37;45;58;36;68;17;43
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21192411500000789;12;20;16;80;86;6%;19%;75%;77;75;90;78;78;85;78;77;88
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21192411500000790;13;20;13;65;75;15%;15%;69%;90;81;58;56;65;69;92;50;75
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21192411500000814;11;20;15;75;72;7%;13%;80%;80;93;49;29;77;73;70;63;70
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21192411500000815;13;23;17;74;54;18%;53%;29%;63;88;73;35;71;49;38;47;53
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21192411500000816;14;18;13;72;98;0%;0%;100%;92;42;69;92;96;95;88;88;88
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21192411500000847;11;25;18;72;64;11%;44%;44%;69;89;63;57;50;54;67;61;64
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21192411500000848;12;23;20;87;46;40%;20%;40%;63;8;50;57;53;60;67;44;63
