Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000532;42;23;17;74;67;31%;0%;69%;75;72;63;69;63;72;63;87;63;53;59
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000533;43;23;21;91;80;14%;14%;71%;86;79;71;74;71;76;71;90;71;71;69
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000557;41;18;18;100;31;67%;7%;27%;60;33;43;53;47;40;27;57;23;50;27
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000558;42;18;13;72;68;18%;27%;55%;64;59;64;73;68;64;55;82;68;64;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000559;43;27;20;74;53;35%;24%;41%;65;53;62;62;47;53;56;65;56;59;34
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000560;44;20;18;90;78;7%;29%;64%;86;79;61;75;89;57;71;93;71;46;57
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR; 21912411500000579;41;24;24;100;78;9%;23%;68%;84;73;73;82;70;59;73;89;75;73;61
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000593;41;21;14;67;64;21%;29%;50%;86;50;43;79;71;54;57;82;64;71;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000594;42;26;19;73;48;33%;39%;28%;58;61;47;64;36;36;42;72;50;68;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000595;43;20;17;85;54;29%;35%;35%;62;53;44;65;56;59;50;68;71;53;35
