Avaliação;Rede;Ano Escolar;Componente Curricular;Estado;Regional;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%)
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21192411500000220;52;31;29;94;54;31%;28%;41%;48;64;64;60;55;47;50;68;40;33
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21192411500000221;53;31;26;84;63;27%;19%;54%;57;70;80;65;62;48;50;60;50;54
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21192411500000254;51;24;17;71;53;35%;24%;41%;59;35;76;65;53;50;47;59;47;35
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21192411500000255;52;25;19;76;51;37%;21%;42%;56;61;58;58;45;53;42;51;45;42
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21192411500000256;53;26;17;65;43;35%;41%;24%;41;56;68;59;44;29;35;63;35;35
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21192411500000257;54;25;19;76;47;47%;11%;42%;46;71;68;45;45;50;42;49;34;45
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21192411500000295;51;23;19;83;71;11%;26%;63%;60;87;79;58;50;58;50;63;47;68
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21192411500000296;52ALFA;20;14;70;32;50%;36%;14%;38;46;46;29;46;39;32;40;39;36
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21192411500000297;53;19;15;79;76;13%;7%;80%;58;80;77;83;60;57;57;80;70;46
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21192411500000298;54;20;14;70;75;7%;21%;71%;55;88;88;65;65;62;69;82;50;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21192411500000327;51;31;28;90;61;14%;50%;36%;58;66;71;63;52;54;54;61;45;39
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21192411500000328;52;25;24;96;64;17%;33%;50%;53;67;67;71;65;60;52;67;44;52
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21192411500000329;53;21;15;71;32;53%;40%;7%;36;43;53;43;33;37;40;38;53;37
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21192411500000352;51;22;15;68;59;20%;47%;33%;58;70;63;86;50;47;43;64;33;43
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21192411500000353;52;27;24;89;74;13%;21%;67%;63;73;79;73;65;67;54;74;50;58
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRESIDENTE VARGAS; 21192411500000370;51;27;22;81;77;9%;23%;68%;64;75;77;73;57;66;55;82;61;61
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRESIDENTE VARGAS; 21192411500000371;52;26;22;85;50;45%;9%;45%;47;66;70;39;32;45;34;67;55;43
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21192411500000395;51;27;22;81;56;27%;32%;41%;42;70;64;68;52;41;50;61;52;48
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21192411500000396;52;26;23;88;58;26%;26%;48%;55;59;70;52;54;43;48;70;50;48
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21192411500000397;53;24;20;83;64;25%;20%;55%;55;70;75;57;57;63;53;67;50;40
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21192411500000398;54;27;23;85;68;22%;4%;74%;58;76;70;67;57;46;52;72;57;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEB PROFESSORA LEOPOLDA BARNEWITZ; 21192411500000416;51;25;21;84;72;19%;19%;62%;59;71;81;62;62;60;60;79;57;43
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21192411500000436;51;27;24;89;60;25%;33%;42%;53;65;79;58;48;56;52;72;52;44
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21192411500000437;52;27;22;81;63;18%;27%;55%;61;77;80;52;43;50;48;64;61;39
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21192411500000438;53;20;19;95;68;16%;26%;58%;61;63;79;66;47;50;50;74;61;55
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21192411500000439;54;23;20;87;67;15%;25%;60%;55;65;80;73;55;50;50;82;55;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21192411500000440;55;22;16;73;16;81%;13%;6%;31;34;34;31;31;22;41;35;34;19
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21192411500000473;51;25;18;72;65;17%;33%;50%;63;72;78;61;42;53;53;70;56;47
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21192411500000474;52;25;18;72;68;22%;11%;67%;61;75;69;67;47;53;47;81;47;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21192411500000475;53;25;22;88;75;14%;23%;64%;70;70;80;70;48;70;50;79;66;48
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21192411500000476;54;25;19;76;79;5%;21%;74%;70;76;79;82;55;79;61;68;58;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21192411500000477;55;26;21;81;55;24%;48%;29%;57;71;67;62;40;55;52;57;48;31
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21192411500000510;51;20;12;60;58;8%;58%;33%;47;58;75;63;58;50;46;69;42;58
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21192411500000511;52;18;12;67;61;8%;58%;33%;67;54;83;67;33;38;50;78;38;54
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21192411500001844;55;12;12;100;51;33%;33%;33%;58;63;71;71;46;54;33;64;25;33
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000538;51;28;22;79;42;50%;14%;36%;48;55;45;48;35;41;53;50;52;43
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000539;52;27;21;78;62;33%;5%;62%;54;76;70;57;53;50;52;63;45;43
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000540;53;22;15;68;39;40%;33%;27%;38;64;54;40;37;53;39;56;23;40
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000541;54;22;18;82;55;33%;11%;56%;39;58;61;64;39;42;50;70;33;53
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21192411500000568;51;30;30;100;72;10%;23%;67%;68;68;75;77;52;63;62;76;57;48
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21192411500000569;52;30;27;90;81;7%;15%;78%;70;83;78;81;67;65;52;85;59;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21192411500000591;51;27;20;74;51;40%;15%;45%;44;55;63;58;50;57;45;62;55;28
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21192411500000592;52;28;22;79;61;27%;36%;36%;58;73;75;57;48;59;45;70;59;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21192411500000593;53ALFA;20;12;60;18;83%;8%;8%;31;29;42;25;23;33;36;28;42;32
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF GILBERTO JORGE GONCALVES DA SILVA; 21192411500000604;51;19;12;63;59;33%;8%;58%;39;71;79;63;54;54;42;67;46;38
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21192411500000628;51;26;23;88;41;52%;13%;35%;45;59;54;44;41;50;28;55;35;35
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21192411500000629;52;28;23;82;64;22%;22%;57%;59;83;74;63;48;37;63;70;41;57
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21192411500000630;53;30;25;83;61;16%;40%;44%;53;82;72;58;42;56;44;65;56;40
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21192411500000631;54;26;19;73;74;11%;26%;63%;61;84;97;76;53;50;66;77;47;39
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21192411500000660;51;27;20;74;68;25%;15%;60%;60;73;65;80;53;53;73;75;43;45
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21192411500000661;52;29;27;93;77;11%;15%;74%;54;72;87;67;67;69;52;80;57;57
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21192411500000662;53;29;24;83;59;29%;17%;54%;59;56;72;57;46;48;57;68;60;41
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER MARTIM ARANHA; 21192411500000687;51;26;20;77;60;25%;25%;50%;60;68;70;70;57;35;38;73;48;43
