id_escola,codigo_inep,nome_canonico,assessora,ano_escolar,componente,numero_turmas_2025,numero_turmas_2026,previstos_2025,previstos_2026,avaliados_2025,avaliados_2026,taxa_participacao_2025,taxa_participacao_2026,proficiencia_media_2025,proficiencia_media_2026,pct_defasagem_2025,pct_defasagem_2026,pct_intermediario_2025,pct_intermediario_2026,pct_adequado_2025,pct_adequado_2026,presente_2025,presente_2026,painel_balanceado,resultado_disponivel_2025,resultado_disponivel_2026,painel_resultado_balanceado,delta_numero_turmas,delta_previstos,delta_avaliados,delta_participacao,delta_proficiencia,delta_pct_defasagem,delta_pct_intermediario,delta_pct_adequado,variacao_relativa_previstos,variacao_relativa_avaliados,participacao_minima_70_ambos,participacao_minima_80_ambos,participacao_minima_90_ambos,aumento_participacao_10pp,queda_participacao_10pp,mudanca_previstos_20pct,turma_escola_pequena_2025,turma_escola_pequena_2026,observacao_composicao,peso_medio_avaliados,participacao_70_ambos,participacao_80_ambos,participacao_estavel_5pp,previstos_estaveis_20pct,faixa_delta_participacao,ano_escolar_fator,delta_proficiencia_predita_observada,delta_proficiencia_predita_participacao_estavel
ESC_022,,EMEF JOSE LOUREIRO DA SILVA,jalize,1,Língua Portuguesa,4,4,79,70,42,51,53.16455696202531,72.85714285714286,87.45238095238095,26.84313725490196,2.2857142857142856,54.21568627450981,7.214285714285714,39.80392156862745,90.5,6.549019607843137,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,-9,9,19.692585895117546,-60.60924369747899,51.92997198879552,32.589635854341736,-83.95098039215686,-11.39240506329114,21.428571428571427,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Aumento de participação igual ou superior a 10 p.p.,46.5,FALSE,FALSE,FALSE,TRUE,Aumento de 10 p.p. ou mais,1,-57.11415192043836,-63.69201279764438
ESC_023,,EMEF JOSE MARIANO BECK,nathalia,1,Língua Portuguesa,3,3,65,71,44,55,67.6923076923077,77.46478873239437,66.88636363636364,17.21818181818182,9.204545454545457,72.9090909090909,31.727272727272727,21.78181818181818,59.06818181818182,5.963636363636364,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,6,11,9.772481040086674,-49.66818181818182,63.70454545454545,-9.945454545454544,-53.10454545454546,9.23076923076923,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sem alerta principal de composição,49.5,FALSE,FALSE,FALSE,TRUE,Aumento entre 5 e 10 p.p.,1,-35.4033589448109,-38.66763419282501
ESC_024,,EMEF LAURO RODRIGUES,clarissa,1,Língua Portuguesa,3,5,63,88,51,79,80.95238095238095,89.77272727272727,63.35294117647059,57.30379746835443,23.392156862745097,23.64556962025317,25.313725490196077,37.607594936708864,51.03921568627451,39,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,25,28,8.820346320346317,-6.049143708116155,0.2534127575080696,12.293869446512788,-12.03921568627451,39.68253968253968,54.90196078431372,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Mudança relevante no número de estudantes previstos,65,TRUE,TRUE,FALSE,FALSE,Aumento entre 5 e 10 p.p.,1,-23.37798717695219,-26.324223455571087
ESC_025,,EMEF LEOCADIA FELIZARDO PRESTES,graziela,1,Língua Portuguesa,2,2,49,41,36,35,73.46938775510205,85.36585365853658,40,52.05714285714286,41.888888888888886,34.94285714285714,39,32.02857142857143,19.555555555555557,33.02857142857143,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,-8,-1,11.896465903434532,12.057142857142855,-6.946031746031743,-6.971428571428568,13.473015873015877,-16.3265306122449,-2.7777777777777777,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Aumento de participação igual ou superior a 10 p.p.,35.5,TRUE,FALSE,FALSE,TRUE,Aumento de 10 p.p. ou mais,1,-12.542018950193075,-16.51576308212139
ESC_026,,EMEF LIDOVINO FANTON,julia,1,Língua Portuguesa,4,4,97,92,77,64,79.38144329896907,69.56521739130434,39.64935064935065,48.9375,48.20779220779221,34.828125,29.83116883116883,38.296875,22.16883116883117,26.875,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,-5,-13,-9.81622590766473,9.288149350649348,-13.37966720779221,8.465706168831169,4.7061688311688314,-5.154639175257732,-16.883116883116884,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sem alerta principal de composição,70.5,FALSE,FALSE,FALSE,TRUE,Queda entre 5 e 10 p.p.,1,-15.252806190741506,-11.973918963653016
ESC_027,,EMEF MARIO QUINTANA,ruti,1,Língua Portuguesa,2,2,45,46,32,41,71.11111111111111,89.1304347826087,16.5,3.7560975609756095,81.5,91.92682926829268,6.5,8.073170731707316,12.5,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,9,18.019323671497588,-12.74390243902439,10.426829268292678,1.5731707317073162,-12.5,2.2222222222222223,28.125,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Aumento de participação igual ou superior a 10 p.p.,36.5,TRUE,FALSE,FALSE,TRUE,Aumento de 10 p.p. ou mais,1,5.424528759796971,-0.594416890293793
ESC_028,,EMEF MIGRANTES,nathalia,1,Língua Portuguesa,1,2,18,23,14,18,77.77777777777777,78.26086956521739,74,35,14,36.666666666666664,14,58,71,5.333333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,5,4,0.4830917874396192,-39,22.666666666666664,44,-65.66666666666667,27.77777777777778,28.571428571428573,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Mudança relevante no número de estudantes previstos,16,TRUE,FALSE,TRUE,FALSE,Variação entre -5 e 5 p.p.,1,-36.29648202286012,-36.45784785798318
ESC_029,,EMEF MORADAS DA HIPICA,amanda,1,Língua Portuguesa,4,4,88,91,66,81,75,89.01098901098901,68.51515151515152,47.75308641975309,12.257575757575758,38.28395061728395,30.39393939393939,33.27160493827161,57.57575757575758,28.69135802469136,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,3,15,14.010989010989007,-20.762065095398427,26.02637485970819,2.8776655443322134,-28.88439955106622,3.409090909090909,22.727272727272727,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Aumento de participação igual ou superior a 10 p.p.,73.5,TRUE,FALSE,FALSE,TRUE,Aumento de 10 p.p. ou mais,1,-30.542126343511825,-35.222178874814915
ESC_030,,EMEF MORRO DA CRUZ,andreia,1,Língua Portuguesa,4,4,84,93,61,67,72.61904761904762,72.04301075268818,17.60655737704918,38.6865671641791,76.98360655737704,42.61194029850746,14.901639344262296,40.92537313432836,8.114754098360656,16.46268656716418,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,9,6,-0.5760368663594448,21.08000978712992,-34.37166625886958,26.023733790066068,8.347932468803524,10.714285714285714,9.836065573770492,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sem alerta principal de composição,64,TRUE,FALSE,TRUE,TRUE,Variação entre -5 e 5 p.p.,1,-0.2854612597414103,-0.09304923283774252
ESC_031,,EMEF NEUSA GOULART BRIZOLA,julia,1,Língua Portuguesa,2,3,42,63,30,52,71.42857142857143,82.53968253968254,79.5,38.92307692307692,7,54.65384615384615,20,21.442307692307693,73.5,23.903846153846153,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,21,22,11.111111111111114,-40.57692307692308,47.65384615384615,1.4423076923076934,-49.59615384615385,50,73.33333333333333,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Mudança relevante no público previsto e aumento de participação,41,TRUE,FALSE,FALSE,FALSE,Aumento de 10 p.p. ou mais,1,-40.08449810156291,-43.79591230939368
