ano,periodo_programa,exposicao_programa,id_escola,codigo_inep,nome_canonico,assessora,ano_escolar,componente,avaliacao,numero_turmas,previstos,avaliados,proficiencia_min_turma,proficiencia_max_turma,desvio_proficiencia_entre_turmas,cv_proficiencia_entre_turmas,menor_participacao_turma,maior_participacao_turma,taxa_participacao,proficiencia_media,pct_defasagem,pct_intermediario,pct_adequado,soma_niveis_aprendizagem,diferenca_soma_100,participacao_70,participacao_80,participacao_90,presente_2025,presente_2026,painel_balanceado
2026,pos_inicio_programa,1,ESC_003,,EMEF AFONSO GUERREIRO LIMA,graziela,3,Língua Portuguesa,1ª Avaliação Formativa,5,120,94,40,70,13.026895255585652,23.5994479267856,60.869565217391305,96.15384615384616,78.33333333333333,56.702127659574465,23.48936170212766,31.606382978723403,44.712765957446805,99.80851063829786,0.19148936170213915,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2025,linha_base_pre_programa,0,ESC_003,,EMEF AFONSO GUERREIRO LIMA,graziela,4,Língua Portuguesa,1ª Avaliação Formativa,5,131,109,55,82,11.157956802210698,16.40876000325103,73.07692307692308,89.28571428571429,83.20610687022901,68.1743119266055,19.24770642201835,24.71559633027523,56.03669724770642,100,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2026,pos_inicio_programa,1,ESC_003,,EMEF AFONSO GUERREIRO LIMA,graziela,4,Língua Portuguesa,1ª Avaliação Formativa,5,108,94,58,68,4.06201920231798,6.5516438747064205,79.16666666666667,100,87.03703703703704,62.07446808510638,22.79787234042553,28.872340425531913,48.53191489361702,100.20212765957447,0.20212765957447232,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2025,linha_base_pre_programa,0,ESC_003,,EMEF AFONSO GUERREIRO LIMA,graziela,5,Língua Portuguesa,1ª Avaliação Formativa,3,81,69,56,64,4.041451884327381,6.698539034796763,77.77777777777777,92.5925925925926,85.18518518518519,60.10144927536232,23.26086956521739,21.884057971014492,55.18840579710145,100.33333333333334,0.3333333333333428,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2026,pos_inicio_programa,1,ESC_003,,EMEF AFONSO GUERREIRO LIMA,graziela,5,Língua Portuguesa,1ª Avaliação Formativa,5,117,105,55,75,8.899438184514796,13.243211584099399,78.26086956521739,100,89.74358974358974,66.44761904761904,15.904761904761905,33.63809523809524,50.00952380952381,99.55238095238096,0.4476190476190425,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2025,linha_base_pre_programa,0,ESC_004,,EMEF AMERICA,nathalia,1,Língua Portuguesa,1ª Avaliação Formativa,2,47,38,25,27,1.4142135623730951,5.439282932204212,78.26086956521739,83.33333333333333,80.85106382978724,26.05263157894737,55.473684210526315,41.89473684210526,2.6315789473684212,100,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2026,pos_inicio_programa,1,ESC_004,,EMEF AMERICA,nathalia,1,Língua Portuguesa,1ª Avaliação Formativa,3,38,35,25,50,13.428824718989125,38.7369943816994,80,95,92.10526315789474,30.02857142857143,55.857142857142854,32.22857142857143,11.571428571428571,99.65714285714286,0.34285714285714164,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2025,linha_base_pre_programa,0,ESC_004,,EMEF AMERICA,nathalia,2,Língua Portuguesa,1ª Avaliação Formativa,2,52,44,51,55,2.8284271247461903,5.336654952351302,76.92307692307692,92.3076923076923,84.61538461538461,53.18181818181818,31.90909090909091,34.18181818181818,33.90909090909091,100,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2026,pos_inicio_programa,1,ESC_004,,EMEF AMERICA,nathalia,2,Língua Portuguesa,1ª Avaliação Formativa,2,42,37,46,58,8.48528137423857,16.317848796612633,85,90.9090909090909,88.0952380952381,51.513513513513516,30.35135135135135,41.945945945945944,27.7027027027027,100,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2025,linha_base_pre_programa,0,ESC_004,,EMEF AMERICA,nathalia,3,Língua Portuguesa,1ª Avaliação Formativa,2,57,43,75,76,0.7071067811865476,0.936565273094765,68.96551724137932,82.14285714285714,75.43859649122807,75.53488372093024,11.604651162790697,23.3953488372093,65,100,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2026,pos_inicio_programa,1,ESC_004,,EMEF AMERICA,nathalia,3,Língua Portuguesa,1ª Avaliação Formativa,2,50,40,50,51,0.7071067811865476,1.4002114478941536,76,84,80,50.475,36.2,20.225,43.575,100,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2025,linha_base_pre_programa,0,ESC_004,,EMEF AMERICA,nathalia,4,Língua Portuguesa,1ª Avaliação Formativa,2,53,44,61,61,0,0,77.77777777777777,88.46153846153847,83.01886792452831,61,20.636363636363637,45.31818181818182,34.04545454545455,100,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2026,pos_inicio_programa,1,ESC_004,,EMEF AMERICA,nathalia,4,Língua Portuguesa,1ª Avaliação Formativa,2,53,48,64,71,4.949747468305833,7.332959212304938,85.18518518518519,96.15384615384616,90.56603773584905,67.35416666666667,14.5625,31.208333333333332,54.229166666666664,100,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2025,linha_base_pre_programa,0,ESC_004,,EMEF AMERICA,nathalia,5,Língua Portuguesa,1ª Avaliação Formativa,2,54,46,46,59,9.192388155425117,17.50931077223832,76.92307692307692,92.85714285714286,85.18518518518519,53.34782608695652,30.47826086956522,32.65217391304348,36.869565217391305,100,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2026,pos_inicio_programa,1,ESC_004,,EMEF AMERICA,nathalia,5,Língua Portuguesa,1ª Avaliação Formativa,2,46,44,51,56,3.5355339059327378,6.608474590528481,95,96.15384615384616,95.65217391304348,53.84090909090909,20.431818181818183,52.11363636363637,27.454545454545453,100,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2025,linha_base_pre_programa,0,ESC_005,,EMEF ARAMY SILVA,priscila,1,Língua Portuguesa,1ª Avaliação Formativa,4,83,64,57,95,18.384776310850235,24.513035081133644,68.18181818181819,90,77.10843373493977,75.3125,15.578125,15.875,68.5625,100.015625,0.015625,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2026,pos_inicio_programa,1,ESC_005,,EMEF ARAMY SILVA,priscila,1,Língua Portuguesa,1ª Avaliação Formativa,5,83,69,3,42,19.60357110324545,80.34250452149774,73.33333333333333,88.23529411764706,83.13253012048193,25.55072463768116,66.52173913043478,22.07246376811594,11.405797101449275,100,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
