ano,periodo_programa,exposicao_programa,id_escola,codigo_inep,nome_canonico,nome_escola_caed,assessora,ano_escolar,componente,avaliacao,codigo_turma,turma,Estado,Regional,Município,arquivo_origem,previstos,avaliados,taxa_participacao_caed,proficiencia_media,pct_defasagem,pct_intermediario,pct_adequado,nome_sem_codigo,chave_nome_caed,taxa_participacao_calculada,possivel_municipalizacao_recente,status_rede_2025
2025,linha_base_pre_programa,0,ESC_015,,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,amanda,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000893,32,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,26,19,73,33,63,16,21,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,73.07692307692308,FALSE,
2025,linha_base_pre_programa,0,ESC_015,,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,amanda,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000894,33,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,22,19,86,45,47,32,21,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,86.36363636363636,FALSE,
2025,linha_base_pre_programa,0,ESC_044,,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,andreia,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000916,31,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,19,14,74,79,0,43,57,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,73.6842105263158,FALSE,
2025,linha_base_pre_programa,0,ESC_044,,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,andreia,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000917,32,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,20,11,55,43,55,9,36,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,55,FALSE,
2025,linha_base_pre_programa,0,ESC_044,,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,andreia,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000918,33,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,22,16,73,21,69,19,13,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,72.72727272727273,FALSE,
2025,linha_base_pre_programa,0,ESC_044,,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,andreia,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000919,34,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,25,20,80,47,50,15,35,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,80,FALSE,
2025,linha_base_pre_programa,0,ESC_044,,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,andreia,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000920,35,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,27,24,89,38,46,38,17,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,88.88888888888889,FALSE,
2025,linha_base_pre_programa,0,ESC_045,,EMEF SAO PEDRO,EMEF SAO PEDRO,marian,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000955,31,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,24,22,92,71,14,32,55,EMEF SAO PEDRO,EMEF SAO PEDRO,91.66666666666667,FALSE,
2025,linha_base_pre_programa,0,ESC_045,,EMEF SAO PEDRO,EMEF SAO PEDRO,marian,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000956,32,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,24,21,88,53,29,48,24,EMEF SAO PEDRO,EMEF SAO PEDRO,87.5,FALSE,
2025,linha_base_pre_programa,0,ESC_045,,EMEF SAO PEDRO,EMEF SAO PEDRO,marian,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000957,33,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,24,24,100,71,21,21,58,EMEF SAO PEDRO,EMEF SAO PEDRO,100,FALSE,
2025,linha_base_pre_programa,0,ESC_045,,EMEF SAO PEDRO,EMEF SAO PEDRO,marian,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000958,34,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,21,17,81,78,6,35,59,EMEF SAO PEDRO,EMEF SAO PEDRO,80.95238095238095,FALSE,
2025,linha_base_pre_programa,0,ESC_045,,EMEF SAO PEDRO,EMEF SAO PEDRO,marian,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000959,35,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,19,15,79,63,27,27,47,EMEF SAO PEDRO,EMEF SAO PEDRO,78.94736842105263,FALSE,
2025,linha_base_pre_programa,0,ESC_023,,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,nathalia,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000990,31,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,23,20,87,54,30,35,35,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,86.95652173913044,FALSE,
2025,linha_base_pre_programa,0,ESC_023,,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,nathalia,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000991,32,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,23,19,83,22,68,32,0,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,82.6086956521739,FALSE,
2025,linha_base_pre_programa,0,ESC_023,,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,nathalia,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000992,33,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,22,15,68,39,47,40,13,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,68.18181818181819,FALSE,
2025,linha_base_pre_programa,0,ESC_019,,EMEF JEAN PIAGET,EMEF JEAN PIAGET,clarissa,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001017,31,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,26,16,62,79,6,25,69,EMEF JEAN PIAGET,EMEF JEAN PIAGET,61.53846153846154,FALSE,
2025,linha_base_pre_programa,0,ESC_019,,EMEF JEAN PIAGET,EMEF JEAN PIAGET,clarissa,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001018,32,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,25,20,80,40,30,65,5,EMEF JEAN PIAGET,EMEF JEAN PIAGET,80,FALSE,
2025,linha_base_pre_programa,0,ESC_019,,EMEF JEAN PIAGET,EMEF JEAN PIAGET,clarissa,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001019,33,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,26,18,69,72,11,28,61,EMEF JEAN PIAGET,EMEF JEAN PIAGET,69.23076923076923,FALSE,
2025,linha_base_pre_programa,0,ESC_048,,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,clarissa,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001047,31,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,25,20,80,48,30,50,20,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,80,FALSE,
2025,linha_base_pre_programa,0,ESC_048,,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,clarissa,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001048,32,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,25,22,88,52,27,41,32,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,88,FALSE,
2025,linha_base_pre_programa,0,ESC_048,,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,clarissa,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001049,33,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,25,21,84,31,52,38,10,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,84,FALSE,
2025,linha_base_pre_programa,0,ESC_039,,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,andreia,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001076,31,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,22,19,86,90,0,16,84,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,86.36363636363636,FALSE,
2025,linha_base_pre_programa,0,ESC_039,,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,andreia,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001077,32,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,26,22,85,73,9,27,64,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,84.61538461538461,FALSE,
2025,linha_base_pre_programa,0,ESC_039,,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,andreia,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001078,33,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,25,21,84,64,19,33,48,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,84,FALSE,
2025,linha_base_pre_programa,0,ESC_039,,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,andreia,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001079,34,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,28,18,64,84,0,28,72,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,64.28571428571429,FALSE,
2025,linha_base_pre_programa,0,ESC_006,,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,andreia,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001109,31,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,26,21,81,47,33,33,33,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,80.76923076923077,FALSE,
2025,linha_base_pre_programa,0,ESC_006,,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,andreia,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001110,32,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,28,26,93,57,31,23,46,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,92.85714285714286,FALSE,
2025,linha_base_pre_programa,0,ESC_052,,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,eliane,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001131,31,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,24,15,63,36,67,13,20,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,62.5,FALSE,
2025,linha_base_pre_programa,0,ESC_052,,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,eliane,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001132,32,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,25,18,72,71,11,33,56,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,72,FALSE,
2025,linha_base_pre_programa,0,ESC_052,,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,eliane,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001133,33,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,28,23,82,68,17,35,48,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,82.14285714285714,FALSE,
2025,linha_base_pre_programa,0,ESC_052,,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,eliane,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001134,34ALFA,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,26,20,77,24,70,30,0,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,76.92307692307692,FALSE,
2025,linha_base_pre_programa,0,ESC_051,,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,graziela,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001162,31,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,21,19,90,66,26,11,63,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,90.47619047619048,FALSE,
2025,linha_base_pre_programa,0,ESC_051,,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,graziela,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001163,32,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,25,22,88,65,23,27,50,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,88,FALSE,
2025,linha_base_pre_programa,0,ESC_051,,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,graziela,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001164,33,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,23,17,74,48,41,29,29,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,73.91304347826087,FALSE,
2025,linha_base_pre_programa,0,ESC_051,,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,graziela,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500001165,34,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,23,14,61,74,21,14,64,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,60.869565217391305,FALSE,
