ordem_coluna,variavel,classe_r,valores_ausentes,valores_vazios_texto,percentual_ausente,valores_distintos
97,amplitude_participacao_series_2025,numeric,2,0,3.5714285714285716,54
98,amplitude_participacao_series_2026,numeric,0,0,0,55
99,desvio_participacao_series_2025,numeric,2,0,3.5714285714285716,54
100,desvio_participacao_series_2026,numeric,1,0,1.7857142857142858,55
101,amplitude_proficiencia_series_2025,numeric,2,0,3.5714285714285716,54
102,amplitude_proficiencia_series_2026,numeric,0,0,0,56
103,desvio_proficiencia_series_2025,numeric,2,0,3.5714285714285716,54
104,desvio_proficiencia_series_2026,numeric,1,0,1.7857142857142858,55
105,numero_series_delta_proficiencia_positivo,integer,0,0,0,5
106,numero_series_delta_proficiencia_negativo,integer,0,0,0,6
107,proporcao_series_delta_proficiencia_positivo,numeric,2,0,3.5714285714285716,6
108,numero_series_participacao_abaixo_70_2025,integer,0,0,0,5
109,numero_series_participacao_abaixo_70_2026,integer,0,0,0,4
110,numero_series_participacao_abaixo_80_2025,integer,0,0,0,6
111,numero_series_participacao_abaixo_80_2026,integer,0,0,0,6
112,numero_series_participacao_abaixo_90_2025,integer,0,0,0,5
113,numero_series_participacao_abaixo_90_2026,integer,0,0,0,6
114,numero_series_aumento_participacao_10pp,integer,0,0,0,6
115,numero_series_queda_participacao_10pp,integer,0,0,0,3
116,numero_series_mudanca_previstos_20pct,integer,0,0,0,6
117,numero_series_alerta_composicao,integer,0,0,0,6
118,possui_alerta_composicao,logical,0,0,0,2
119,observacoes_composicao,character,0,0,0,19
