id_escola,codigo_inep,nome_canonico,assessora_gerencial,numero_series_comparaveis,numero_series_aumento_participacao_10pp,numero_series_queda_participacao_10pp,numero_series_mudanca_previstos_20pct,numero_series_alerta_composicao,variacao_relativa_previstos_escola,variacao_relativa_avaliados_escola,delta_participacao_escola,observacoes_composicao
ESC_018,43105548,EMEF HEITOR VILLA LOBOS,jalize,5,3,0,1,3,-4.948453608247423,7.2727272727272725,10.206409195607932,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação | Sem alerta principal de composição
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,4,2,0,2,3,45.55555555555556,68.05555555555556,12.36641221374046,Aumento de participação igual ou superior a 10 p.p. | Baixo número de avaliados em pelo menos um ano | Escola-série ausente em um dos anos | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_024,43109209,EMEF LAURO RODRIGUES,clarissa,5,1,0,2,3,-1.8716577540106951,4.716981132075472,5.7089568549738345,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Sem alerta principal de composição
ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,julia,5,3,0,2,3,11.574074074074074,27.4390243902439,10.796065775318894,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação | Sem alerta principal de composição
ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,amanda,5,1,0,3,3,-3.875968992248062,-1.3333333333333333,2.050512628157037,Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação | Sem alerta principal de composição
ESC_034,43105521,EMEF PEPITA DE LEAO,nathalia,5,1,0,2,3,-0.3412969283276451,8.67579908675799,6.762822011314228,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Sem alerta principal de composição
ESC_044,43167179,EMEF SAINT HILAIRE,andreia,5,3,0,0,3,-6.846473029045643,2.150537634408602,7.454093467271676,Aumento de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
ESC_045,43167535,EMEF SAO PEDRO,marian,5,1,2,0,3,-4.00763358778626,-3.8990825688073394,0.09409193692805218,Aumento de participação igual ou superior a 10 p.p. | Queda de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
ESC_050,43109101,EMEF VER MARTIM ARANHA,priscila,5,2,0,2,3,-6.906077348066298,0.36363636363636365,5.932258963555583,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação | Sem alerta principal de composição
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,5,2,0,1,2,-2.412280701754386,5.785123966942149,6.686871673565932,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação | Sem alerta principal de composição
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,5,1,0,1,2,0.5802707930367504,7.263922518159807,5.308361850915048,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Sem alerta principal de composição
ESC_004,43105459,EMEF AMERICA,nathalia,5,2,0,0,2,-12.927756653992395,-5.116279069767442,7.333920002656626,Aumento de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
ESC_006,43173713,EMEF CAMPOS DO CRISTAL,andreia,5,2,0,1,2,-8,0,7.652173913043484,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação | Sem alerta principal de composição
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,jalize,5,2,0,0,2,-5.689277899343545,5.2631578947368425,7.7251519290033315,Aumento de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
ESC_023,43169490,EMEF JOSE MARIANO BECK,nathalia,5,2,0,0,2,5.031446540880503,24.017467248908297,13.017361503408281,Aumento de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
ESC_027,43183018,EMEF MARIO QUINTANA,ruti,5,1,1,0,2,-4.8979591836734695,-2.926829268292683,1.7342559341333015,Aumento de participação igual ou superior a 10 p.p. | Queda de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,amanda,5,0,0,2,2,4.390243902439025,6.017191977077364,1.3266469113289219,Mudança relevante no número de estudantes previstos | Sem alerta principal de composição
ESC_038,43109195,EMEF PROF ANA IRIS DO AMARAL,eliane,5,2,0,0,2,-6.4935064935064934,4.123711340206185,9.535834535834539,Aumento de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
ESC_041,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,graziela,5,1,0,1,2,6.788511749347259,6.287425149700598,-0.4092003038679337,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Sem alerta principal de composição
ESC_046,43107842,EMEF SEN ALBERTO PASQUALINI,julia,5,2,0,2,2,-3.9447731755424065,6.434316353887399,7.949487462992437,Mudança relevante no público previsto e aumento de participação | Sem alerta principal de composição
ESC_056,43189768,EEF ALDEIA LUMIAR,Sem vinculação informada,1,0,1,0,1,-78.0952380952381,-80.48780487804878,-8.530020703933758,Escola-série ausente em um dos anos | Queda de participação igual ou superior a 10 p.p.
ESC_009,43105475,EMEF DECIO MARTINS COSTA,nathalia,5,1,0,0,1,-7.195571955719557,2.7522935779816513,8.622801933784743,Aumento de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,clarissa,5,1,0,0,1,2.5817555938037864,8.114035087719298,4.23275075373401,Aumento de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
ESC_026,43109144,EMEF LIDOVINO FANTON,julia,5,0,1,0,1,-7.439446366782007,-11.764705882352942,-3.5733919736118764,Queda de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,5,0,0,1,1,-5.811623246492986,-7.30478589420655,-1.2612458960474129,Mudança relevante no número de estudantes previstos | Sem alerta principal de composição
ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,5,1,0,0,1,4.212860310421286,9.695290858725762,4.21097325093173,Aumento de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
ESC_053,43105246,EMEM EMILIO MEYER,ruti,5,1,0,0,1,-0.5,7.961783439490445,6.675879396984925,Aumento de participação igual ou superior a 10 p.p. | Sem alerta principal de composição
