id_escola,codigo_inep,nome_inep,nome_canonico,nome_vinculo_original,chave_nome,assessora,metodo_correspondencia_inep,status_codigo_inep,observacao_codigo_inep,tipo_vinculo_rede,exposicao_2025_1av,programa_iniciado_apos_2025_1av,dose_assessoramento_observada,possivel_municipalizacao_recente,escola_nova_recente,status_rede_2025,observacao_historico,status_validacao
ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_011,43109225,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,clarissa,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,jalize,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_013,43106331,ESC EST ENS FUN ESPIRITO SANTO,EMEF ESPIRITO SANTO,EMEF ESPIRITO SANTO,EMEF ESPIRITO SANTO,priscila,aceite_manual,consolidado,municipalização recente,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,TRUE,FALSE,vinculo_estadual_em_2025_a_confirmar,municipalização recente,codigo_inep_consolidado
ESC_014,43106382,ESC EST ENS FUN EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,jalize,aceite_manual,consolidado,municipalização recente,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,TRUE,FALSE,vinculo_estadual_em_2025_a_confirmar,municipalização recente,codigo_inep_consolidado
ESC_015,43109233,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,amanda,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,clarissa,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,andreia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_018,43105548,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,jalize,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_019,43172474,EMEF JEAN PIAGET,EMEF JEAN PIAGET,EMEF JEAN PIAGET,EMEF JEAN PIAGET,clarissa,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,eliane,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,julia,aceite_manual,consolidado,escola nova,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,TRUE,existencia_ou_funcionamento_em_2025_a_confirmar,escola nova,codigo_inep_consolidado
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,jalize,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_023,43169490,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,nathalia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_024,43109209,EMEF LAURO RODRIGUES,EMEF LAURO RODRIGUES,EMEF LAURO RODRIGUES,EMEF LAURO RODRIGUES,clarissa,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,EMEF LEOCADIA FELIZARDO PRESTES,EMEF LEOCADIA FELIZARDO PRESTES,EMEF LEOCADIA FELIZARDO PRESTES,graziela,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_026,43109144,EMEF LIDOVINO FANTON,EMEF LIDOVINO FANTON,EMEF LIDOVINO FANTON,EMEF LIDOVINO FANTON,julia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_027,43183018,EMEF MARIO QUINTANA,EMEF MARIO QUINTANA,EMEF MARIO QUINTANA,EMEF MARIO QUINTANA,ruti,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_028,43177018,EMEF MIGRANTES,EMEF MIGRANTES,EMEF MIGRANTES,EMEF MIGRANTES,nathalia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_029,43293069,EMEF MORADAS DA HIPICA,EMEF MORADAS DA HIPICA,EMEF MORADAS DA HIPICA,EMEF MORADAS DA HIPICA,amanda,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_030,43177034,EMEF MORRO DA CRUZ,EMEF MORRO DA CRUZ,EMEF MORRO DA CRUZ,EMEF MORRO DA CRUZ,andreia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,julia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,amanda,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,amanda,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_034,43105521,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,nathalia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_035,43048200,EMEF PORTO NOVO,EMEF PORTO NOVO,EMEF PORTO NOVO,EMEF PORTO NOVO,marian,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_036,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_037,43105530,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,eliane,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_038,43109195,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,eliane,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,andreia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_040,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_041,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,graziela,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_043,43293050,EMEF RINCAO,EMEF RINCAO,EMEF RINCAO,EMEF RINCAO,jalize,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_044,43167179,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,andreia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_045,43167535,EMEF SAO PEDRO,EMEF SAO PEDRO,EMEF SAO PEDRO,EMEF SAO PEDRO,marian,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_046,43107842,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,julia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_047,43189253,EMEF TIMBAUVA,EMEF TIMBAUVA,EMEF TIMBAUVA,EMEF TIMBAUVA,nathalia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_048,43172482,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,clarissa,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_049,43109080,EMEF VER CARLOS PESSOA DE BRUM,EMEF VER CARLOS PESSOA DE BRUM,EMEF VER CARLOS PESSOA DE BRUM,EMEF VER CARLOS PESSOA DE BRUM,priscila,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_050,43109101,EMEF VER MARTIM ARANHA,EMEF VER MARTIM ARANHA,EMEF VER MARTIM ARANHA,EMEF VER MARTIM ARANHA,priscila,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_051,43175120,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,graziela,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_052,43173721,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,eliane,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_053,43105246,EMEM EMILIO MEYER,EMEM EMILIO MEYER,EMEM EMILIO MEYER,EMEM EMILIO MEYER,ruti,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_054,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_055,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
