variavel,classe_r,valores_ausentes,valores_vazios_texto,percentual_ausente,valores_distintos
versao_regra_2026,character,0,0,0,1
numero_series_esperadas,integer,0,0,0,1
numero_componentes,integer,0,0,0,1
numero_series_presentes_2025,integer,0,0,0,3
numero_series_presentes_2026,integer,0,0,0,2
numero_series_resultado_2025,integer,0,0,0,3
numero_series_resultado_2026,integer,0,0,0,2
numero_series_comparaveis,integer,0,0,0,4
painel_completo_cinco_series,logical,0,0,0,2
previstos_total_2025,numeric,2,0,3.5714285714285716,51
avaliados_total_2025,numeric,2,0,3.5714285714285716,46
taxa_participacao_escola_2025,numeric,2,0,3.5714285714285716,54
proficiencia_multisserie_ponderada_2025,numeric,2,0,3.5714285714285716,54
pct_defasagem_multisserie_ponderado_2025,numeric,2,0,3.5714285714285716,54
pct_intermediario_multisserie_ponderado_2025,numeric,2,0,3.5714285714285716,54
pct_adequado_multisserie_ponderado_2025,numeric,2,0,3.5714285714285716,54
previstos_total_2026,numeric,0,0,0,52
avaliados_total_2026,numeric,0,0,0,53
taxa_participacao_escola_2026,numeric,0,0,0,56
proficiencia_multisserie_ponderada_2026,numeric,0,0,0,56
pct_defasagem_multisserie_ponderado_2026,numeric,0,0,0,56
pct_intermediario_multisserie_ponderado_2026,numeric,0,0,0,56
pct_adequado_multisserie_ponderado_2026,numeric,0,0,0,55
delta_participacao_escola,numeric,2,0,3.5714285714285716,54
delta_proficiencia_multisserie_ponderada,numeric,2,0,3.5714285714285716,54
delta_pct_defasagem_multisserie_ponderado,numeric,2,0,3.5714285714285716,54
delta_pct_intermediario_multisserie_ponderado,numeric,2,0,3.5714285714285716,54
delta_pct_adequado_multisserie_ponderado,numeric,2,0,3.5714285714285716,54
variacao_relativa_previstos_escola,numeric,2,0,3.5714285714285716,54
variacao_relativa_avaliados_escola,numeric,2,0,3.5714285714285716,53
mediana_participacao_series_2025,numeric,2,0,3.5714285714285716,49
mediana_participacao_series_2026,numeric,0,0,0,53
amplitude_participacao_series_2025,numeric,2,0,3.5714285714285716,54
amplitude_participacao_series_2026,numeric,0,0,0,55
desvio_participacao_series_2025,numeric,2,0,3.5714285714285716,54
desvio_participacao_series_2026,numeric,1,0,1.7857142857142858,55
mediana_proficiencia_series_2025,numeric,2,0,3.5714285714285716,53
mediana_proficiencia_series_2026,numeric,0,0,0,55
amplitude_proficiencia_series_2025,numeric,2,0,3.5714285714285716,54
amplitude_proficiencia_series_2026,numeric,0,0,0,56
desvio_proficiencia_series_2025,numeric,2,0,3.5714285714285716,54
desvio_proficiencia_series_2026,numeric,1,0,1.7857142857142858,55
numero_series_aumento_diagnostico_proficiencia,integer,0,0,0,4
numero_series_queda_diagnostica_proficiencia,integer,0,0,0,6
numero_series_oscilacao_proficiencia,integer,0,0,0,3
numero_series_aumento_diagnostico_participacao,integer,0,0,0,6
numero_series_queda_diagnostica_participacao,integer,0,0,0,4
numero_series_oscilacao_participacao,integer,0,0,0,5
numero_series_participacao_abaixo_70_2025,integer,0,0,0,5
numero_series_participacao_abaixo_70_2026,integer,0,0,0,4
numero_series_participacao_abaixo_80_2025,integer,0,0,0,6
numero_series_participacao_abaixo_80_2026,integer,0,0,0,6
numero_series_participacao_abaixo_90_2025,integer,0,0,0,5
numero_series_participacao_abaixo_90_2026,integer,0,0,0,6
numero_series_aumento_participacao_10pp,integer,0,0,0,6
numero_series_queda_participacao_10pp,integer,0,0,0,3
numero_series_mudanca_previstos_20pct,integer,0,0,0,6
numero_series_alerta_composicao,integer,0,0,0,6
possui_alerta_composicao,logical,0,0,0,2
observacoes_composicao,character,0,0,0,19
faixa_participacao_escola_2025,character,2,0,3.5714285714285716,4
faixa_participacao_escola_2026,character,0,0,0,4
direcao_delta_participacao_escola,character,0,0,0,4
direcao_delta_proficiencia_multisserie,character,0,0,0,4
proporcao_series_comparaveis,numeric,0,0,0,4
proporcao_series_aumento_diagnostico_proficiencia,numeric,2,0,3.5714285714285716,5
